transaction_id,receipt_number,store_id,register_id,employee_id,customer_id,transaction_datetime,transaction_type,subtotal,discount_amount,tax_amount,total_amount,payment_method,item_count,prescription_included,loyalty_used,manager_override,status
TXN-0000019,RCP-00000019,PH-005,REG-03,EMP-0107,CUS-04811,2026-05-04 19:09:24,Sale,172.7,4.05,13.91,182.56,Cash,6,False,True,False,Completed
TXN-0000020,RCP-00000020,PH-001,REG-01,EMP-0012,CUS-00572,2026-05-05 11:16:05,Sale,49.5,0,4.08,53.58,Debit Card,1,False,True,False,Completed
TXN-0000021,RCP-00000021,PH-003,REG-01,EMP-0064,CUS-01283,2026-05-02 13:58:05,Sale,224.49,4.7,18.13,237.92,Credit Card,4,False,True,False,Completed
TXN-0000022,RCP-00000022,PH-003,REG-04,EMP-0059,CUS-03882,2026-07-18 20:22:48,Sale,146.37,1.62,11.95,156.7,Debit Card,5,False,True,False,Completed
TXN-0000023,RCP-00000023,PH-005,REG-05,EMP-0107,CUS-02462,2026-05-29 09:11:52,Sale,209.13,5.42,16.8,220.51,Debit Card,8,False,True,False,Completed
TXN-0000024,RCP-00000024,PH-003,REG-01,EMP-0063,CUS-00873,2026-06-20 09:29:00,Sale,248.11,0,20.47,268.58,Credit Card,6,False,True,False,Completed
TXN-0000025,RCP-00000025,PH-002,REG-04,EMP-0035,CUS-02922,2026-07-29 09:17:18,Sale,208.59,0,17.21,225.8,Split Payment,3,False,True,False,Completed
TXN-0000026,RCP-00000026,PH-001,REG-04,EMP-0013,CUS-00011,2026-07-19 11:46:14,Sale,254.22,0,20.97,275.19,Cash,7,False,True,False,Completed
TXN-0000027,RCP-00000027,PH-003,REG-05,EMP-0047,,2026-07-04 11:53:39,Sale,102.78,9.86,7.67,100.59,Credit Card,3,False,False,False,Completed
TXN-0000028,RCP-00000028,PH-001,REG-01,EMP-0013,CUS-01027,2026-06-16 21:14:52,Sale,76.4,5.35,5.86,76.91,Credit Card,3,False,True,False,Completed
TXN-0000029,RCP-00000029,PH-003,REG-01,EMP-0058,CUS-01891,2026-07-04 18:41:20,Sale,172.42,0,14.23,186.65,Cash,3,False,True,False,Completed
TXN-0000030,RCP-00000030,PH-003,REG-06,EMP-0059,,2026-05-03 17:59:11,Sale,150.38,5.68,11.94,156.64,Cash,4,False,False,False,Completed
TXN-0000031,RCP-00000031,PH-005,REG-06,EMP-0100,CUS-04556,2026-05-09 10:05:54,Sale,132.33,0,10.92,143.25,Cash,2,False,True,False,Completed
TXN-0000032,RCP-00000032,PH-005,REG-02,EMP-0100,CUS-01787,2026-07-23 14:30:08,Sale,219.41,9.66,17.3,227.05,Debit Card,4,False,True,False,Completed
TXN-0000033,RCP-00000033,PH-002,REG-02,EMP-0024,CUS-03258,2026-05-03 14:13:48,Sale,161.59,0,13.33,174.92,Cash,5,False,True,False,Completed
TXN-0000034,RCP-00000034,PH-002,REG-02,EMP-0042,CUS-01869,2026-07-16 17:42:04,Sale,111.48,0,9.2,120.68,Debit Card,4,False,True,False,Completed
TXN-0000035,RCP-00000035,PH-002,REG-06,EMP-0037,CUS-02115,2026-05-31 10:58:39,Sale,191.56,19.03,14.24,186.77,Credit Card,4,False,True,False,Completed
TXN-0000036,RCP-00000036,PH-001,REG-06,EMP-0019,,2026-07-15 18:58:24,Sale,204.12,10.76,15.96,209.32,Cash,7,False,False,False,Completed
TXN-0000037,RCP-00000037,PH-004,REG-01,EMP-0080,,2026-07-29 20:36:12,Sale,233.34,22.95,17.36,227.75,Credit Card,6,False,False,False,Completed
TXN-0000038,RCP-00000038,PH-005,REG-06,EMP-0089,CUS-04163,2026-05-05 13:25:15,Sale,301.72,1.7,24.76,324.78,Debit Card,3,False,True,False,Completed
TXN-0000039,RCP-00000039,PH-005,REG-03,EMP-0107,CUS-03497,2026-06-21 11:05:10,Sale,277.27,8.26,22.19,291.2,Debit Card,8,False,True,False,Completed
TXN-0000040,RCP-00000040,PH-002,REG-05,EMP-0034,CUS-00106,2026-05-13 14:56:11,Sale,125.02,22.55,8.46,110.93,Cash,4,False,True,True,Completed
TXN-0000041,RCP-00000041,PH-001,REG-01,EMP-0016,CUS-04966,2026-06-12 20:36:09,Sale,230.49,27.35,16.77,219.91,Cash,6,False,True,False,Completed
TXN-0000042,RCP-00000042,PH-004,REG-05,EMP-0081,,2026-06-09 12:09:37,Sale,209.89,0,17.31,227.2,Cash,6,False,False,False,Completed
TXN-0000043,RCP-00000043,PH-001,REG-01,EMP-0006,,2026-06-01 16:53:35,Sale,62.95,0,5.2,68.15,Credit Card,3,False,False,False,Completed
TXN-0000044,RCP-00000044,PH-001,REG-05,EMP-0013,CUS-03567,2026-05-12 13:49:10,Sale,38.33,0,3.16,41.49,Credit Card,2,False,True,False,Completed
TXN-0000045,RCP-00000045,PH-001,REG-01,EMP-0013,,2026-05-24 08:16:58,Sale,35.63,0,2.94,38.57,Debit Card,1,False,False,False,Completed
TXN-0000046,RCP-00000046,PH-003,REG-05,EMP-0056,CUS-02691,2026-07-20 10:11:38,Sale,121.82,0,10.05,131.87,Split Payment,4,False,True,False,Completed
TXN-0000047,RCP-00000047,PH-002,REG-02,EMP-0036,CUS-01170,2026-05-03 19:19:48,Sale,191.45,0,15.8,207.25,Credit Card,3,False,True,False,Completed
TXN-0000048,RCP-00000048,PH-002,REG-05,EMP-0037,CUS-04211,2026-06-07 19:33:38,Sale,80.02,3.07,6.36,83.31,Credit Card,5,False,True,True,Completed
TXN-0000049,RCP-00000049,PH-004,REG-01,EMP-0069,CUS-04595,2026-07-12 16:56:33,Sale,447.21,10.44,36.04,472.81,Credit Card,6,False,True,True,Completed
TXN-0000050,RCP-00000050,PH-004,REG-05,EMP-0069,CUS-01110,2026-06-09 17:57:53,Sale,114.46,0,9.44,123.9,Credit Card,3,False,True,False,Completed
TXN-0000051,RCP-00000051,PH-005,REG-03,EMP-0107,CUS-04651,2026-05-21 17:33:21,Sale,102.33,0,8.44,110.77,Credit Card,4,False,True,False,Completed
TXN-0000052,RCP-00000052,PH-001,REG-03,EMP-0001,,2026-06-17 21:44:13,Sale,129.87,0,10.71,140.58,Cash,2,False,False,False,Completed
TXN-0000053,RCP-00000053,PH-001,REG-06,EMP-0016,CUS-03178,2026-07-02 18:00:31,Sale,178.57,0,14.73,193.3,Gift Card,4,False,True,False,Completed
TXN-0000054,RCP-00000054,PH-004,REG-06,EMP-0078,CUS-02712,2026-05-31 11:10:29,Sale,255.07,6.45,20.52,269.14,Credit Card,4,False,True,False,Completed
TXN-0000055,RCP-00000055,PH-004,REG-03,EMP-0081,CUS-02061,2026-05-05 10:02:02,Sale,234.27,3.15,19.06,250.18,Debit Card,6,False,True,False,Completed
TXN-0000056,RCP-00000056,PH-004,REG-03,EMP-0086,CUS-00036,2026-05-30 12:26:35,Sale,141.92,11.22,10.78,141.48,Debit Card,5,False,True,False,Completed
TXN-0000057,RCP-00000057,PH-004,REG-04,EMP-0086,CUS-02001,2026-05-04 08:33:11,Sale,140.7,8.91,10.87,142.66,Gift Card,3,False,True,False,Completed
TXN-0000058,RCP-00000058,PH-001,REG-02,EMP-0018,CUS-00317,2026-07-29 19:04:21,Sale,242.44,0,20.01,262.45,Cash,6,False,True,False,Completed
TXN-0000059,RCP-00000059,PH-001,REG-06,EMP-0014,CUS-00456,2026-06-16 09:10:11,Sale,93.65,0,7.73,101.38,Debit Card,5,False,True,False,Completed
TXN-0000060,RCP-00000060,PH-001,REG-06,EMP-0016,CUS-02385,2026-05-09 10:26:36,Sale,128.06,0,10.57,138.63,Credit Card,4,False,True,False,Completed
TXN-0000061,RCP-00000061,PH-003,REG-04,EMP-0058,CUS-03712,2026-07-29 21:21:11,Sale,83.89,0,6.92,90.81,Credit Card,2,False,True,False,Completed
TXN-0000062,RCP-00000062,PH-004,REG-02,EMP-0081,CUS-04211,2026-06-14 20:55:03,Sale,88.48,2.02,7.13,93.59,Credit Card,4,False,True,False,Completed
TXN-0000063,RCP-00000063,PH-004,REG-03,EMP-0067,CUS-03259,2026-05-08 18:33:27,Sale,153.37,0,12.65,166.02,Debit Card,4,False,True,False,Completed
TXN-0000064,RCP-00000064,PH-002,REG-01,EMP-0024,,2026-06-06 18:43:17,Sale,184.21,18.28,13.7,179.63,Credit Card,4,False,False,True,Completed
TXN-0000065,RCP-00000065,PH-004,REG-06,EMP-0067,CUS-02337,2026-06-15 18:06:46,Sale,216.66,9.17,17.12,224.61,Debit Card,6,False,True,False,Completed
TXN-0000066,RCP-00000066,PH-002,REG-05,EMP-0023,CUS-01411,2026-07-08 18:39:11,Sale,127.5,0,10.52,138.02,Debit Card,5,False,True,False,Completed
TXN-0000067,RCP-00000067,PH-003,REG-03,EMP-0057,CUS-02329,2026-07-05 18:10:03,Sale,285.21,0,23.53,308.74,Debit Card,7,False,True,False,Completed
TXN-0000068,RCP-00000068,PH-005,REG-05,EMP-0105,CUS-02254,2026-05-30 17:46:25,Sale,285.9,1.62,23.44,307.72,Credit Card,7,False,True,False,Completed
TXN-0000069,RCP-00000069,PH-003,REG-02,EMP-0061,CUS-02634,2026-06-10 18:27:57,Sale,21.44,0,1.77,23.21,Debit Card,1,False,True,False,Completed
TXN-0000070,RCP-00000070,PH-001,REG-04,EMP-0019,CUS-02253,2026-07-19 18:29:46,Sale,58.63,0,4.84,63.47,Credit Card,2,False,True,False,Completed
TXN-0000071,RCP-00000071,PH-002,REG-03,EMP-0035,CUS-01344,2026-05-02 13:54:21,Sale,327.06,0,26.99,354.05,Credit Card,6,False,True,False,Completed
TXN-0000072,RCP-00000072,PH-005,REG-04,EMP-0091,CUS-01483,2026-05-05 20:17:22,Sale,50.11,0,4.13,54.24,Debit Card,2,False,True,False,Completed
TXN-0000073,RCP-00000073,PH-003,REG-02,EMP-0057,,2026-05-29 12:21:32,Sale,340.49,0,28.1,368.59,Credit Card,5,False,False,False,Completed
TXN-0000074,RCP-00000074,PH-005,REG-06,EMP-0101,,2026-06-28 08:07:09,Sale,50.45,0,4.16,54.61,Credit Card,1,False,False,False,Completed
TXN-0000075,RCP-00000075,PH-003,REG-04,EMP-0046,,2026-06-09 09:58:56,Sale,45.58,0,3.76,49.34,Cash,1,False,False,False,Completed
TXN-0000076,RCP-00000076,PH-001,REG-01,EMP-0012,CUS-02590,2026-07-04 14:21:39,Sale,129.34,0,10.67,140.01,Cash,6,False,True,False,Completed
TXN-0000077,RCP-00000077,PH-002,REG-03,EMP-0042,CUS-04461,2026-07-01 09:13:34,Sale,257.83,1.49,21.16,277.5,Credit Card,6,False,True,False,Completed
TXN-0000078,RCP-00000078,PH-005,REG-06,EMP-0108,CUS-02541,2026-05-27 14:37:59,Sale,86.93,10.11,6.34,83.16,Credit Card,2,False,True,False,Completed
TXN-0000079,RCP-00000079,PH-002,REG-05,EMP-0038,CUS-01373,2026-07-19 17:34:35,Sale,123.73,0,10.21,133.94,Credit Card,5,False,True,False,Completed
TXN-0000080,RCP-00000080,PH-004,REG-06,EMP-0079,CUS-00656,2026-06-13 16:14:53,Sale,337.39,0,27.83,365.22,Debit Card,6,False,True,False,Completed
TXN-0000081,RCP-00000081,PH-005,REG-05,EMP-0104,CUS-01037,2026-06-15 11:03:08,Sale,259.9,0,21.43,281.33,Debit Card,5,False,True,False,Completed
TXN-0000082,RCP-00000082,PH-005,REG-04,EMP-0106,CUS-02339,2026-07-23 09:23:50,Sale,511.66,30.27,39.72,521.11,Debit Card,6,False,True,False,Completed
TXN-0000083,RCP-00000083,PH-002,REG-04,EMP-0036,CUS-04857,2026-05-24 18:39:16,Sale,108.64,2.2,8.78,115.22,Credit Card,4,False,True,False,Completed
TXN-0000084,RCP-00000084,PH-002,REG-06,EMP-0037,CUS-00437,2026-06-23 11:15:22,Sale,128.95,0,10.64,139.59,Credit Card,3,False,True,False,Completed
TXN-0000085,RCP-00000085,PH-004,REG-03,EMP-0082,CUS-02612,2026-06-18 10:32:49,Sale,290.4,0,23.97,314.37,Cash,6,False,True,False,Completed
TXN-0000086,RCP-00000086,PH-001,REG-03,EMP-0003,CUS-01074,2026-06-24 11:39:22,Sale,225.73,5.63,18.16,238.26,Debit Card,4,False,True,False,Completed
TXN-0000087,RCP-00000087,PH-002,REG-06,EMP-0041,CUS-03160,2026-05-07 20:13:02,Sale,153.85,5.42,12.24,160.67,Credit Card,5,False,True,False,Completed
TXN-0000088,RCP-00000088,PH-001,REG-03,EMP-0013,CUS-01350,2026-07-20 16:57:02,Sale,11.4,0,0.94,12.34,Debit Card,1,False,True,False,Completed
TXN-0000089,RCP-00000089,PH-004,REG-05,EMP-0085,CUS-01261,2026-06-29 12:05:08,Sale,96.37,4.61,7.57,99.33,Debit Card,4,False,True,False,Completed
TXN-0000090,RCP-00000090,PH-004,REG-01,EMP-0079,,2026-05-09 10:31:15,Sale,251.26,0,20.72,271.98,Credit Card,6,False,False,False,Completed
TXN-0000091,RCP-00000091,PH-005,REG-01,EMP-0106,CUS-01263,2026-05-11 18:36:55,Sale,283.35,10.36,22.51,295.5,Cash,6,False,True,False,Completed
TXN-0000092,RCP-00000092,PH-001,REG-02,EMP-0003,CUS-02040,2026-05-24 19:13:50,Sale,152.61,0,12.59,165.2,Cash,5,False,True,False,Completed
TXN-0000093,RCP-00000093,PH-001,REG-05,EMP-0018,CUS-04128,2026-06-08 08:53:12,Sale,238.81,0,19.71,258.52,Credit Card,4,False,True,False,Completed
TXN-0000094,RCP-00000094,PH-004,REG-04,EMP-0086,CUS-02031,2026-06-08 18:38:15,Sale,101.94,6.93,7.84,102.85,Cash,4,False,True,False,Completed
TXN-0000095,RCP-00000095,PH-003,REG-01,EMP-0057,CUS-04438,2026-07-26 16:49:31,Sale,182.38,26.59,12.85,168.64,Credit Card,4,False,True,True,Completed
TXN-0000096,RCP-00000096,PH-002,REG-05,EMP-0040,,2026-06-30 20:07:57,Sale,220.52,0,18.19,238.71,Credit Card,2,False,False,False,Completed
TXN-0000097,RCP-00000097,PH-002,REG-02,EMP-0023,CUS-01929,2026-05-15 11:34:01,Sale,116.8,0,9.63,126.43,Credit Card,3,False,True,False,Completed
TXN-0000098,RCP-00000098,PH-001,REG-01,EMP-0003,CUS-03939,2026-06-14 13:22:56,Sale,175.07,0,14.44,189.51,Cash,6,False,True,False,Completed
TXN-0000099,RCP-00000099,PH-001,REG-01,EMP-0019,CUS-02727,2026-06-20 17:10:25,Sale,161.75,0,13.35,175.1,Credit Card,3,False,True,False,Completed
TXN-0000100,RCP-00000100,PH-002,REG-02,EMP-0041,CUS-02301,2026-05-29 20:43:17,Sale,385.46,0,31.78,417.24,Cash,7,False,True,False,Completed
TXN-0000101,RCP-00000101,PH-003,REG-03,EMP-0062,CUS-02955,2026-05-04 20:45:38,Sale,127.14,0,10.49,137.63,Debit Card,5,False,True,False,Completed
TXN-0000102,RCP-00000102,PH-002,REG-05,EMP-0040,CUS-03505,2026-06-27 13:16:18,Sale,439.37,9.02,35.5,465.85,Credit Card,5,False,True,False,Completed
TXN-0000103,RCP-00000103,PH-003,REG-05,EMP-0047,CUS-00963,2026-07-08 20:20:37,Sale,153.75,3.37,12.41,162.79,Cash,6,False,True,False,Completed
TXN-0000104,RCP-00000104,PH-003,REG-04,EMP-0057,CUS-02009,2026-06-24 12:05:44,Sale,22.95,0,1.9,24.85,Debit Card,2,False,True,False,Completed
TXN-0000105,RCP-00000105,PH-003,REG-01,EMP-0062,,2026-07-23 14:42:31,Sale,275.12,0,22.69,297.81,Cash,5,False,False,False,Completed
TXN-0000106,RCP-00000106,PH-004,REG-06,EMP-0068,CUS-03288,2026-07-10 17:07:07,Sale,141.28,0,11.66,152.94,Cash,5,False,True,False,Completed
TXN-0000107,RCP-00000107,PH-002,REG-02,EMP-0038,,2026-05-24 15:46:42,Sale,22.69,1.13,1.78,23.34,Credit Card,1,False,False,False,Completed
TXN-0000108,RCP-00000108,PH-003,REG-02,EMP-0063,CUS-04546,2026-07-30 09:10:05,Sale,116.47,8.8,8.88,116.55,Debit Card,3,False,True,False,Completed
TXN-0000109,RCP-00000109,PH-005,REG-05,EMP-0102,CUS-03358,2026-05-22 21:36:41,Sale,287.42,13.32,22.61,296.71,Debit Card,3,False,True,False,Completed
TXN-0000110,RCP-00000110,PH-004,REG-01,EMP-0084,CUS-00300,2026-07-29 19:45:48,Sale,317.57,8.48,25.51,334.6,Debit Card,8,False,True,False,Completed
TXN-0000111,RCP-00000111,PH-001,REG-02,EMP-0003,CUS-00500,2026-05-20 12:21:48,Sale,317.18,4.62,25.78,338.34,Credit Card,7,False,True,False,Completed
TXN-0000112,RCP-00000112,PH-003,REG-06,EMP-0063,CUS-00203,2026-07-09 16:12:30,Sale,321.23,1.34,26.38,346.27,Credit Card,9,False,True,False,Completed
TXN-0000113,RCP-00000113,PH-004,REG-01,EMP-0078,,2026-05-02 12:12:12,Sale,188.23,18.16,14.03,184.1,Credit Card,5,False,False,False,Completed
TXN-0000114,RCP-00000114,PH-004,REG-02,EMP-0080,CUS-01181,2026-05-30 13:54:45,Sale,94.89,0,7.83,102.72,Cash,5,False,True,False,Completed
TXN-0000115,RCP-00000115,PH-005,REG-01,EMP-0106,CUS-04942,2026-06-24 11:40:51,Sale,240.0,0,19.8,259.8,Debit Card,1,False,True,False,Completed
TXN-0000116,RCP-00000116,PH-003,REG-05,EMP-0062,CUS-04765,2026-05-03 11:10:06,Sale,169.28,0.2,13.95,183.03,Credit Card,6,False,True,False,Completed
TXN-0000117,RCP-00000117,PH-005,REG-02,EMP-0108,CUS-04324,2026-06-05 19:39:05,Sale,118.93,0,9.81,128.74,Credit Card,4,False,True,False,Completed
TXN-0000118,RCP-00000118,PH-005,REG-06,EMP-0108,CUS-02968,2026-06-24 13:20:50,Sale,242.96,6.6,19.5,255.86,Credit Card,6,False,True,False,Completed
TXN-0000119,RCP-00000119,PH-002,REG-05,EMP-0040,CUS-00536,2026-05-29 16:28:17,Sale,196.79,2.69,16.02,210.12,Cash,3,False,True,False,Completed
TXN-0000120,RCP-00000120,PH-005,REG-06,EMP-0104,CUS-02975,2026-07-01 19:12:42,Sale,175.85,0,14.52,190.37,Cash,5,False,True,False,Completed
TXN-0000121,RCP-00000121,PH-003,REG-05,EMP-0057,CUS-04045,2026-06-10 14:36:53,Sale,381.02,0,31.43,412.45,Debit Card,5,False,True,False,Completed
TXN-0000122,RCP-00000122,PH-005,REG-05,EMP-0101,CUS-04967,2026-05-24 15:17:15,Sale,73.17,0,6.03,79.2,Credit Card,2,False,True,False,Completed
TXN-0000123,RCP-00000123,PH-005,REG-04,EMP-0103,,2026-07-20 18:24:17,Sale,441.64,11.69,35.47,465.42,Credit Card,6,False,False,False,Completed
TXN-0000124,RCP-00000124,PH-003,REG-05,EMP-0062,CUS-00672,2026-06-14 14:47:58,Sale,139.41,0,11.5,150.91,Credit Card,4,False,True,False,Completed
TXN-0000125,RCP-00000125,PH-001,REG-03,EMP-0002,CUS-04934,2026-05-05 20:53:19,Sale,119.74,1.58,9.73,127.89,Debit Card,5,False,True,False,Completed
TXN-0000126,RCP-00000126,PH-005,REG-05,EMP-0107,,2026-05-06 14:47:58,Sale,196.33,5.42,15.75,206.66,Debit Card,6,False,False,False,Completed
TXN-0000127,RCP-00000127,PH-002,REG-01,EMP-0025,CUS-04576,2026-06-28 21:13:45,Sale,392.37,15.95,31.05,407.47,Debit Card,9,False,True,False,Completed
TXN-0000128,RCP-00000128,PH-002,REG-05,EMP-0023,,2026-05-12 09:35:27,Sale,71.46,0.95,5.82,76.33,Debit Card,2,False,False,False,Completed
TXN-0000129,RCP-00000129,PH-002,REG-03,EMP-0036,CUS-04162,2026-05-20 08:11:20,Sale,363.33,0,29.98,393.31,Gift Card,5,False,True,False,Completed
TXN-0000130,RCP-00000130,PH-001,REG-03,EMP-0003,CUS-01779,2026-06-03 10:05:04,Sale,101.67,0,8.39,110.06,Credit Card,2,False,True,False,Completed
TXN-0000131,RCP-00000131,PH-004,REG-03,EMP-0086,CUS-00838,2026-07-21 08:56:34,Sale,322.02,18.56,25.04,328.5,Debit Card,4,False,True,False,Completed
TXN-0000132,RCP-00000132,PH-004,REG-06,EMP-0085,CUS-04476,2026-06-12 17:35:14,Sale,412.55,6.23,33.5,439.82,Split Payment,8,False,True,False,Completed
TXN-0000133,RCP-00000133,PH-004,REG-06,EMP-0069,,2026-07-26 16:20:37,Sale,457.1,0,37.71,494.81,Cash,6,False,False,False,Completed
TXN-0000134,RCP-00000134,PH-003,REG-02,EMP-0058,,2026-05-05 10:04:57,Sale,207.44,27.05,14.88,195.27,Credit Card,4,False,False,False,Completed
TXN-0000135,RCP-00000135,PH-001,REG-02,EMP-0020,CUS-02949,2026-06-05 21:03:21,Sale,281.3,3.9,22.88,300.28,Credit Card,8,False,True,False,Completed
TXN-0000136,RCP-00000136,PH-004,REG-06,EMP-0069,CUS-02489,2026-07-25 21:30:37,Sale,91.23,3.48,7.23,94.98,Debit Card,2,False,True,False,Completed
TXN-0000137,RCP-00000137,PH-005,REG-02,EMP-0089,,2026-05-09 16:06:41,Sale,510.78,0,42.14,552.92,Debit Card,5,False,False,False,Completed
TXN-0000138,RCP-00000138,PH-002,REG-02,EMP-0025,CUS-01660,2026-07-20 18:09:20,Sale,79.32,0,6.55,85.87,Credit Card,2,False,True,False,Completed
TXN-0000139,RCP-00000139,PH-003,REG-02,EMP-0064,CUS-04185,2026-06-02 13:14:35,Sale,514.56,20.8,40.74,534.5,Cash,6,False,True,False,Completed
TXN-0000140,RCP-00000140,PH-004,REG-02,EMP-0067,CUS-02422,2026-05-13 09:42:41,Sale,126.05,0,10.39,136.44,Gift Card,4,False,True,False,Completed
TXN-0000141,RCP-00000141,PH-001,REG-03,EMP-0015,CUS-01004,2026-06-28 20:39:54,Sale,207.67,2.58,16.92,222.01,Debit Card,4,False,True,False,Completed
TXN-0000142,RCP-00000142,PH-005,REG-02,EMP-0108,CUS-04150,2026-07-09 14:40:04,Sale,120.52,4.59,9.57,125.5,Credit Card,3,False,True,False,Completed
TXN-0000143,RCP-00000143,PH-005,REG-04,EMP-0106,,2026-05-13 15:57:18,Sale,162.74,4.6,13.05,171.19,Credit Card,6,False,False,True,Completed
TXN-0000144,RCP-00000144,PH-003,REG-04,EMP-0060,CUS-01141,2026-06-09 08:00:43,Sale,437.66,0,36.11,473.77,Credit Card,4,False,True,False,Completed
TXN-0000145,RCP-00000145,PH-003,REG-01,EMP-0056,CUS-00091,2026-07-09 20:13:38,Sale,452.84,0,37.36,490.2,Credit Card,7,False,True,False,Completed
TXN-0000146,RCP-00000146,PH-001,REG-03,EMP-0015,CUS-00724,2026-07-25 14:47:15,Sale,71.72,0,5.92,77.64,Debit Card,3,False,True,False,Completed
TXN-0000147,RCP-00000147,PH-005,REG-05,EMP-0106,,2026-07-18 18:45:23,Sale,184.13,0,15.19,199.32,Credit Card,6,False,False,False,Completed
TXN-0000148,RCP-00000148,PH-001,REG-04,EMP-0012,CUS-04026,2026-06-23 18:34:51,Sale,230.41,4.62,18.62,244.41,Credit Card,7,False,True,False,Completed
TXN-0000149,RCP-00000149,PH-003,REG-02,EMP-0045,CUS-04939,2026-07-20 15:45:38,Sale,76.97,1.57,6.23,81.63,Credit Card,4,False,True,False,Completed
TXN-0000150,RCP-00000150,PH-002,REG-04,EMP-0037,CUS-03595,2026-05-06 13:32:51,Sale,110.06,6.52,8.55,112.09,Debit Card,4,False,True,False,Completed
TXN-0000151,RCP-00000151,PH-004,REG-06,EMP-0086,,2026-05-21 18:51:11,Sale,28.54,0,2.35,30.89,Debit Card,1,False,False,False,Completed
TXN-0000152,RCP-00000152,PH-005,REG-03,EMP-0105,CUS-04956,2026-06-11 20:04:02,Sale,290.61,8.08,23.31,305.84,Credit Card,6,False,True,False,Completed
TXN-0000153,RCP-00000153,PH-005,REG-04,EMP-0103,CUS-04779,2026-06-13 18:47:24,Sale,37.77,0,3.12,40.89,Credit Card,1,False,True,False,Completed
TXN-0000154,RCP-00000154,PH-003,REG-01,EMP-0064,CUS-02075,2026-07-24 13:41:02,Sale,41.12,0,3.39,44.51,Debit Card,1,False,True,False,Completed
TXN-0000155,RCP-00000155,PH-005,REG-02,EMP-0108,CUS-03264,2026-07-10 12:43:53,Sale,193.77,6.43,15.46,202.8,Debit Card,4,False,True,False,Completed
TXN-0000156,RCP-00000156,PH-005,REG-04,EMP-0103,CUS-04300,2026-05-13 11:26:38,Sale,164.1,10.07,12.71,166.74,Gift Card,6,False,True,False,Completed
