snapshot_id,snapshot_date,store_id,product_id,system_quantity,counted_quantity,variance_quantity,variance_value,expired_quantity,status
SNP-00000025,2026-07-31,PH-001,PRD-00362,93,94,1,29.24,0,Minor Variance
SNP-00000026,2026-07-31,PH-001,PRD-00346,57,59,2,52.3,0,Minor Variance
SNP-00000027,2026-07-31,PH-001,PRD-00135,6,7,1,1.01,0,Minor Variance
SNP-00000028,2026-07-31,PH-001,PRD-00451,2,1,-1,-9.8,0,Minor Variance
SNP-00000029,2026-07-31,PH-001,PRD-00240,42,43,1,2.93,0,Minor Variance
SNP-00000030,2026-07-31,PH-001,PRD-00200,0,0,0,0.0,0,Out of Stock
SNP-00000031,2026-07-31,PH-001,PRD-00269,47,45,-2,-40.2,0,Minor Variance
SNP-00000032,2026-07-31,PH-001,PRD-00704,72,70,-2,-17.68,0,Minor Variance
SNP-00000033,2026-07-31,PH-001,PRD-00677,63,65,2,39.88,0,Minor Variance
SNP-00000034,2026-07-31,PH-001,PRD-00675,55,54,-1,-31.02,0,Minor Variance
SNP-00000035,2026-07-31,PH-001,PRD-00688,25,23,-2,-57.82,0,Minor Variance
SNP-00000036,2026-07-31,PH-001,PRD-00588,83,85,2,2.82,0,Minor Variance
SNP-00000037,2026-07-31,PH-001,PRD-00480,2,4,2,48.32,0,Minor Variance
SNP-00000038,2026-07-31,PH-001,PRD-00228,99,97,-2,-24.16,0,Minor Variance
SNP-00000039,2026-07-31,PH-001,PRD-00409,12,10,-2,-61.78,0,Minor Variance
SNP-00000040,2026-07-31,PH-001,PRD-00703,54,55,1,3.01,0,Minor Variance
SNP-00000041,2026-07-31,PH-001,PRD-00195,2,1,-1,-21.92,0,Minor Variance
SNP-00000042,2026-07-31,PH-001,PRD-00427,100,97,-3,-76.35,0,Minor Variance
SNP-00000043,2026-07-31,PH-001,PRD-00768,1,0,-1,-15.99,0,Out of Stock
SNP-00000044,2026-07-31,PH-001,PRD-00545,5,8,3,54.72,0,Minor Variance
SNP-00000045,2026-07-31,PH-001,PRD-00180,12,11,-1,-29.82,0,Minor Variance
SNP-00000046,2026-07-31,PH-001,PRD-00585,24,26,2,45.76,0,Minor Variance
SNP-00000047,2026-07-31,PH-001,PRD-00767,48,51,3,97.29,0,Minor Variance
SNP-00000048,2026-07-31,PH-001,PRD-00439,39,39,0,0.0,0,Matched
SNP-00000049,2026-07-31,PH-001,PRD-00297,0,2,2,8.26,0,Minor Variance
SNP-00000050,2026-07-31,PH-001,PRD-00417,55,54,-1,-7.57,0,Minor Variance
SNP-00000051,2026-07-31,PH-001,PRD-00590,62,59,-3,-45.42,0,Minor Variance
SNP-00000052,2026-07-31,PH-001,PRD-00122,54,52,-2,-18.96,0,Minor Variance
SNP-00000053,2026-07-31,PH-001,PRD-00639,21,21,0,0.0,0,Matched
SNP-00000054,2026-07-31,PH-001,PRD-00432,59,60,1,16.63,0,Minor Variance
SNP-00000055,2026-07-31,PH-001,PRD-00496,32,32,0,0.0,0,Matched
SNP-00000056,2026-07-31,PH-001,PRD-00171,68,71,3,37.05,0,Minor Variance
SNP-00000057,2026-07-31,PH-001,PRD-00408,1,1,0,0.0,0,Matched
SNP-00000058,2026-07-31,PH-001,PRD-00413,86,86,0,0.0,0,Matched
SNP-00000059,2026-07-31,PH-001,PRD-00032,88,91,3,56.82,0,Minor Variance
SNP-00000060,2026-07-31,PH-001,PRD-00438,43,45,2,66.58,0,Minor Variance
SNP-00000061,2026-07-31,PH-001,PRD-00475,52,54,2,29.78,0,Minor Variance
SNP-00000062,2026-07-31,PH-001,PRD-00321,41,43,2,60.9,0,Minor Variance
SNP-00000063,2026-07-31,PH-001,PRD-00207,37,39,2,10.88,0,Minor Variance
SNP-00000064,2026-07-31,PH-001,PRD-00306,69,70,1,7.5,0,Minor Variance
SNP-00000065,2026-07-31,PH-001,PRD-00793,94,94,0,0.0,0,Matched
SNP-00000066,2026-07-31,PH-001,PRD-00572,54,54,0,0.0,0,Matched
SNP-00000067,2026-07-31,PH-001,PRD-00039,3,0,-3,-30.3,0,Out of Stock
SNP-00000068,2026-07-31,PH-001,PRD-00578,37,38,1,10.48,0,Minor Variance
SNP-00000069,2026-07-31,PH-001,PRD-00448,56,54,-2,-68.16,0,Minor Variance
SNP-00000070,2026-07-31,PH-001,PRD-00579,96,93,-3,-90.66,0,Minor Variance
SNP-00000071,2026-07-31,PH-001,PRD-00756,31,32,1,8.3,0,Minor Variance
SNP-00000072,2026-07-31,PH-001,PRD-00684,10,11,1,14.09,0,Minor Variance
SNP-00000073,2026-07-31,PH-001,PRD-00310,88,86,-2,-30.48,0,Minor Variance
SNP-00000074,2026-07-31,PH-001,PRD-00302,86,88,2,65.2,0,Minor Variance
SNP-00000075,2026-07-31,PH-001,PRD-00224,46,43,-3,-8.34,0,Minor Variance
SNP-00000076,2026-07-31,PH-001,PRD-00062,24,25,1,14.47,0,Minor Variance
SNP-00000077,2026-07-31,PH-001,PRD-00173,81,84,3,98.16,0,Minor Variance
SNP-00000078,2026-07-31,PH-001,PRD-00023,45,42,-3,-9.45,0,Minor Variance
SNP-00000079,2026-07-31,PH-001,PRD-00380,31,28,-3,-38.4,0,Minor Variance
SNP-00000080,2026-07-31,PH-001,PRD-00710,81,80,-1,-14.59,0,Minor Variance
SNP-00000081,2026-07-31,PH-001,PRD-00449,31,31,0,0.0,0,Matched
SNP-00000082,2026-07-31,PH-001,PRD-00428,10,12,2,41.44,0,Minor Variance
SNP-00000083,2026-07-31,PH-001,PRD-00149,31,33,2,64.38,0,Minor Variance
SNP-00000084,2026-07-31,PH-001,PRD-00307,63,61,-2,-43.38,0,Minor Variance
SNP-00000085,2026-07-31,PH-001,PRD-00275,39,40,1,20.16,0,Minor Variance
SNP-00000086,2026-07-31,PH-001,PRD-00575,4,7,3,90.03,0,Minor Variance
SNP-00000087,2026-07-31,PH-001,PRD-00088,28,28,0,0.0,0,Matched
SNP-00000088,2026-07-31,PH-001,PRD-00483,82,82,0,0.0,0,Matched
SNP-00000089,2026-07-31,PH-001,PRD-00360,38,39,1,16.45,0,Minor Variance
SNP-00000090,2026-07-31,PH-001,PRD-00721,29,28,-1,-19.22,0,Minor Variance
SNP-00000091,2026-07-31,PH-001,PRD-00611,62,60,-2,-8.16,0,Minor Variance
SNP-00000092,2026-07-31,PH-001,PRD-00521,24,24,0,0.0,0,Matched
SNP-00000093,2026-07-31,PH-001,PRD-00181,88,91,3,39.45,0,Minor Variance
SNP-00000094,2026-07-31,PH-001,PRD-00672,94,94,0,0.0,0,Matched
SNP-00000095,2026-07-31,PH-001,PRD-00598,2,3,1,17.87,0,Minor Variance
SNP-00000096,2026-07-31,PH-001,PRD-00237,44,42,-2,-31.76,0,Minor Variance
SNP-00000097,2026-07-31,PH-001,PRD-00033,4,3,-1,-31.48,0,Minor Variance
SNP-00000098,2026-07-31,PH-001,PRD-00778,88,86,-2,-39.76,0,Minor Variance
SNP-00000099,2026-07-31,PH-001,PRD-00110,31,28,-3,-90.15,0,Minor Variance
SNP-00000100,2026-07-31,PH-001,PRD-00456,42,44,2,34.56,0,Minor Variance
SNP-00000101,2026-07-31,PH-001,PRD-00724,87,89,2,40.74,0,Minor Variance
SNP-00000102,2026-07-31,PH-001,PRD-00121,24,22,-2,-24.72,0,Minor Variance
SNP-00000103,2026-07-31,PH-001,PRD-00031,45,48,3,55.47,0,Minor Variance
SNP-00000104,2026-07-31,PH-001,PRD-00447,100,99,-1,-21.91,0,Minor Variance
SNP-00000105,2026-07-31,PH-001,PRD-00679,41,39,-2,-51.12,0,Minor Variance
SNP-00000106,2026-07-31,PH-001,PRD-00400,84,82,-2,-62.8,0,Minor Variance
SNP-00000107,2026-07-31,PH-001,PRD-00735,96,95,-1,-34.77,0,Minor Variance
SNP-00000108,2026-07-31,PH-001,PRD-00733,8,8,0,0.0,0,Matched
SNP-00000109,2026-07-31,PH-001,PRD-00139,35,38,3,47.01,0,Minor Variance
SNP-00000110,2026-07-31,PH-001,PRD-00044,8,10,2,15.16,0,Minor Variance
SNP-00000111,2026-07-31,PH-001,PRD-00163,98,98,0,0.0,0,Matched
SNP-00000112,2026-07-31,PH-001,PRD-00273,82,85,3,94.65,0,Minor Variance
SNP-00000113,2026-07-31,PH-001,PRD-00493,73,70,-3,-32.7,0,Minor Variance
SNP-00000114,2026-07-31,PH-001,PRD-00411,43,40,-3,-26.67,0,Minor Variance
SNP-00000115,2026-07-31,PH-001,PRD-00162,52,54,2,35.88,0,Minor Variance
SNP-00000116,2026-07-31,PH-001,PRD-00177,72,73,1,11.75,0,Minor Variance
SNP-00000117,2026-07-31,PH-001,PRD-00270,78,77,-1,-13.74,0,Minor Variance
SNP-00000118,2026-07-31,PH-001,PRD-00372,18,15,-3,-24.3,0,Minor Variance
SNP-00000119,2026-07-31,PH-001,PRD-00227,14,15,1,19.36,0,Minor Variance
SNP-00000120,2026-07-31,PH-001,PRD-00370,27,24,-3,-47.82,0,Minor Variance
SNP-00000121,2026-07-31,PH-001,PRD-00628,91,89,-2,-34.92,0,Minor Variance
SNP-00000122,2026-07-31,PH-001,PRD-00696,45,46,1,11.45,0,Minor Variance
SNP-00000123,2026-07-31,PH-001,PRD-00230,56,59,3,71.01,0,Minor Variance
SNP-00000124,2026-07-31,PH-001,PRD-00223,89,89,0,0.0,0,Matched
SNP-00000125,2026-07-31,PH-001,PRD-00074,43,43,0,0.0,0,Matched
SNP-00000126,2026-07-31,PH-001,PRD-00741,80,79,-1,-6.84,0,Minor Variance
SNP-00000127,2026-07-31,PH-001,PRD-00510,92,90,-2,-51.7,0,Minor Variance
SNP-00000128,2026-07-31,PH-001,PRD-00350,25,27,2,12.94,0,Minor Variance
SNP-00000129,2026-07-31,PH-001,PRD-00108,82,83,1,23.71,0,Minor Variance
SNP-00000130,2026-07-31,PH-001,PRD-00706,83,84,1,27.17,0,Minor Variance
SNP-00000131,2026-07-31,PH-001,PRD-00430,54,52,-2,-52.26,0,Minor Variance
SNP-00000132,2026-07-31,PH-001,PRD-00694,5,6,1,11.41,0,Minor Variance
SNP-00000133,2026-07-31,PH-001,PRD-00193,84,86,2,7.9,0,Minor Variance
SNP-00000134,2026-07-31,PH-001,PRD-00700,58,61,3,51.09,0,Minor Variance
SNP-00000135,2026-07-31,PH-001,PRD-00537,66,67,1,9.44,0,Minor Variance
SNP-00000136,2026-07-31,PH-001,PRD-00441,85,86,1,34.84,0,Minor Variance
SNP-00000137,2026-07-31,PH-001,PRD-00624,14,15,1,18.71,0,Minor Variance
SNP-00000138,2026-07-31,PH-001,PRD-00153,95,95,0,0.0,0,Matched
SNP-00000139,2026-07-31,PH-001,PRD-00279,79,81,2,46.76,0,Minor Variance
SNP-00000140,2026-07-31,PH-001,PRD-00709,44,44,0,0.0,0,Matched
SNP-00000141,2026-07-31,PH-001,PRD-00264,8,8,0,0.0,0,Matched
SNP-00000142,2026-07-31,PH-001,PRD-00260,48,47,-1,-26.14,0,Minor Variance
SNP-00000143,2026-07-31,PH-001,PRD-00640,44,43,-1,-12.17,0,Minor Variance
SNP-00000144,2026-07-31,PH-001,PRD-00606,42,40,-2,-9.06,0,Minor Variance
SNP-00000145,2026-07-31,PH-001,PRD-00107,77,74,-3,-33.51,0,Minor Variance
SNP-00000146,2026-07-31,PH-001,PRD-00729,16,18,2,51.24,0,Minor Variance
SNP-00000147,2026-07-31,PH-001,PRD-00732,59,61,2,47.98,0,Minor Variance
SNP-00000148,2026-07-31,PH-001,PRD-00419,34,31,-3,-88.32,0,Minor Variance
SNP-00000149,2026-07-31,PH-001,PRD-00345,99,99,0,0.0,0,Matched
SNP-00000150,2026-07-31,PH-001,PRD-00196,79,79,0,0.0,0,Matched
SNP-00000151,2026-07-31,PH-001,PRD-00309,95,97,2,9.52,0,Minor Variance
SNP-00000152,2026-07-31,PH-001,PRD-00644,10,12,2,30.72,0,Minor Variance
SNP-00000153,2026-07-31,PH-001,PRD-00612,40,43,3,99.6,0,Minor Variance
SNP-00000154,2026-07-31,PH-001,PRD-00632,93,90,-3,-40.65,0,Minor Variance
SNP-00000155,2026-07-31,PH-001,PRD-00167,45,48,3,61.35,0,Minor Variance
SNP-00000156,2026-07-31,PH-001,PRD-00056,79,77,-2,-41.34,0,Minor Variance
SNP-00000157,2026-07-31,PH-001,PRD-00071,81,82,1,21.23,0,Minor Variance
SNP-00000158,2026-07-31,PH-001,PRD-00020,12,15,3,36.27,0,Minor Variance
SNP-00000159,2026-07-31,PH-001,PRD-00363,70,67,-3,-13.44,0,Minor Variance
SNP-00000160,2026-07-31,PH-001,PRD-00562,9,7,-2,-43.48,0,Minor Variance
SNP-00000161,2026-07-31,PH-001,PRD-00604,62,62,0,0.0,0,Matched
SNP-00000162,2026-07-31,PH-001,PRD-00317,82,80,-2,-25.38,0,Minor Variance
SNP-00000163,2026-07-31,PH-001,PRD-00209,72,75,3,56.94,0,Minor Variance
SNP-00000164,2026-07-31,PH-001,PRD-00042,61,60,-1,-26.51,0,Minor Variance
SNP-00000165,2026-07-31,PH-001,PRD-00605,41,39,-2,-48.3,0,Minor Variance
SNP-00000166,2026-07-31,PH-001,PRD-00629,48,47,-1,-27.35,0,Minor Variance
SNP-00000167,2026-07-31,PH-001,PRD-00369,12,14,2,65.72,0,Minor Variance
SNP-00000168,2026-07-31,PH-001,PRD-00536,87,88,1,7.79,0,Minor Variance
SNP-00000169,2026-07-31,PH-001,PRD-00516,89,92,3,48.09,0,Minor Variance
SNP-00000170,2026-07-31,PH-001,PRD-00374,88,88,0,0.0,0,Matched
SNP-00000171,2026-07-31,PH-001,PRD-00748,19,22,3,80.4,0,Minor Variance
SNP-00000172,2026-07-31,PH-001,PRD-00034,2,0,-2,-44.44,0,Out of Stock
SNP-00000173,2026-07-31,PH-001,PRD-00563,63,66,3,39.84,0,Minor Variance
SNP-00000174,2026-07-31,PH-001,PRD-00525,43,42,-1,-2.23,0,Minor Variance
SNP-00000175,2026-07-31,PH-001,PRD-00690,95,95,0,0.0,0,Matched
SNP-00000176,2026-07-31,PH-001,PRD-00723,38,41,3,5.88,0,Minor Variance
SNP-00000177,2026-07-31,PH-001,PRD-00745,17,20,3,2.64,0,Minor Variance
SNP-00000178,2026-07-31,PH-001,PRD-00019,34,36,2,28.8,0,Minor Variance
SNP-00000179,2026-07-31,PH-001,PRD-00526,18,18,0,0.0,0,Matched
SNP-00000180,2026-07-31,PH-001,PRD-00683,100,98,-2,-67.92,0,Minor Variance
SNP-00000181,2026-07-31,PH-001,PRD-00535,48,49,1,25.04,0,Minor Variance
SNP-00000182,2026-07-31,PH-001,PRD-00445,66,67,1,19.49,0,Minor Variance
SNP-00000183,2026-07-31,PH-001,PRD-00357,74,75,1,1.57,0,Minor Variance
SNP-00000184,2026-07-31,PH-001,PRD-00424,5,2,-3,-3.0,0,Minor Variance
SNP-00000185,2026-07-31,PH-001,PRD-00378,25,28,3,86.13,0,Minor Variance
SNP-00000186,2026-07-31,PH-001,PRD-00773,61,62,1,8.28,0,Minor Variance
SNP-00000187,2026-07-31,PH-001,PRD-00004,21,23,2,42.26,0,Minor Variance
SNP-00000188,2026-07-31,PH-001,PRD-00046,46,43,-3,-4.89,0,Minor Variance
SNP-00000189,2026-07-31,PH-001,PRD-00120,80,81,1,21.49,0,Minor Variance
SNP-00000190,2026-07-31,PH-001,PRD-00746,5,4,-1,-0.86,0,Minor Variance
SNP-00000191,2026-07-31,PH-001,PRD-00755,93,94,1,16.37,0,Minor Variance
SNP-00000192,2026-07-31,PH-001,PRD-00157,81,78,-3,-31.53,0,Minor Variance
SNP-00000193,2026-07-31,PH-001,PRD-00093,14,13,-1,-3.45,0,Minor Variance
SNP-00000194,2026-07-31,PH-001,PRD-00412,55,54,-1,-10.35,0,Minor Variance
SNP-00000195,2026-07-31,PH-001,PRD-00159,82,79,-3,-84.57,0,Minor Variance
SNP-00000196,2026-07-31,PH-001,PRD-00112,80,77,-3,-27.27,0,Minor Variance
SNP-00000197,2026-07-31,PH-001,PRD-00114,25,22,-3,-27.99,0,Minor Variance
SNP-00000198,2026-07-31,PH-001,PRD-00060,52,50,-2,-39.4,0,Minor Variance
SNP-00000199,2026-07-31,PH-001,PRD-00187,84,83,-1,-8.43,0,Minor Variance
SNP-00000200,2026-07-31,PH-001,PRD-00398,95,92,-3,-46.2,0,Minor Variance
SNP-00000201,2026-07-31,PH-001,PRD-00532,59,58,-1,-13.44,0,Minor Variance
SNP-00000202,2026-07-31,PH-001,PRD-00075,24,22,-2,-21.24,0,Minor Variance
SNP-00000203,2026-07-31,PH-001,PRD-00117,79,78,-1,-25.66,0,Minor Variance
SNP-00000204,2026-07-31,PH-001,PRD-00278,1,2,1,27.59,0,Minor Variance
SNP-00000205,2026-07-31,PH-001,PRD-00403,21,18,-3,-59.13,0,Minor Variance
SNP-00000206,2026-07-31,PH-001,PRD-00304,89,91,2,62.0,0,Minor Variance
SNP-00000207,2026-07-31,PH-001,PRD-00727,56,57,1,9.7,0,Minor Variance
SNP-00000208,2026-07-31,PH-001,PRD-00479,53,51,-2,-37.3,0,Minor Variance
SNP-00000209,2026-07-31,PH-001,PRD-00511,20,19,-1,-6.77,0,Minor Variance
SNP-00000210,2026-07-31,PH-001,PRD-00051,84,86,2,42.08,0,Minor Variance
SNP-00000211,2026-07-31,PH-001,PRD-00382,46,48,2,64.38,0,Minor Variance
SNP-00000212,2026-07-31,PH-001,PRD-00027,87,88,1,8.07,0,Minor Variance
SNP-00000213,2026-07-31,PH-001,PRD-00344,93,90,-3,-67.41,0,Minor Variance
SNP-00000214,2026-07-31,PH-001,PRD-00166,66,64,-2,-45.26,0,Minor Variance
SNP-00000215,2026-07-31,PH-001,PRD-00490,71,73,2,46.94,0,Minor Variance
SNP-00000216,2026-07-31,PH-001,PRD-00053,41,43,2,25.8,0,Minor Variance
SNP-00000217,2026-07-31,PH-001,PRD-00444,25,22,-3,-70.26,0,Minor Variance
SNP-00000218,2026-07-31,PH-001,PRD-00780,13,10,-3,-62.22,0,Minor Variance
SNP-00000219,2026-07-31,PH-001,PRD-00436,27,28,1,26.82,0,Minor Variance
SNP-00000220,2026-07-31,PH-001,PRD-00495,68,69,1,19.17,0,Minor Variance
SNP-00000221,2026-07-31,PH-001,PRD-00670,20,22,2,54.14,0,Minor Variance
SNP-00000222,2026-07-31,PH-001,PRD-00231,22,24,2,17.64,0,Minor Variance
SNP-00000223,2026-07-31,PH-001,PRD-00169,8,5,-3,-6.72,0,Minor Variance
SNP-00000224,2026-07-31,PH-001,PRD-00701,49,46,-3,-15.33,0,Minor Variance
SNP-00000225,2026-07-31,PH-001,PRD-00740,98,99,1,27.49,0,Minor Variance
SNP-00000226,2026-07-31,PH-001,PRD-00512,22,20,-2,-62.22,0,Minor Variance
SNP-00000227,2026-07-31,PH-001,PRD-00673,67,68,1,21.46,0,Minor Variance
SNP-00000228,2026-07-31,PH-001,PRD-00627,31,30,-1,-9.74,0,Minor Variance
SNP-00000229,2026-07-31,PH-001,PRD-00291,41,43,2,13.82,0,Minor Variance
SNP-00000230,2026-07-31,PH-001,PRD-00266,11,9,-2,-37.96,0,Minor Variance
SNP-00000231,2026-07-31,PH-001,PRD-00251,31,28,-3,-44.19,0,Minor Variance
SNP-00000232,2026-07-31,PH-001,PRD-00698,17,19,2,50.14,0,Minor Variance
SNP-00000233,2026-07-31,PH-001,PRD-00332,50,49,-1,-28.74,0,Minor Variance
SNP-00000234,2026-07-31,PH-001,PRD-00358,27,25,-2,-59.66,0,Minor Variance
SNP-00000235,2026-07-31,PH-001,PRD-00714,8,6,-2,-69.82,0,Minor Variance
SNP-00000236,2026-07-31,PH-001,PRD-00066,6,9,3,20.1,0,Minor Variance
SNP-00000237,2026-07-31,PH-001,PRD-00210,98,95,-3,-102.93,0,Minor Variance
SNP-00000238,2026-07-31,PH-001,PRD-00148,0,0,0,0.0,0,Out of Stock
SNP-00000239,2026-07-31,PH-001,PRD-00035,97,100,3,94.02,0,Minor Variance
SNP-00000240,2026-07-31,PH-001,PRD-00494,82,83,1,1.0,0,Minor Variance
SNP-00000241,2026-07-31,PH-001,PRD-00665,22,19,-3,-100.92,0,Minor Variance
SNP-00000242,2026-07-31,PH-001,PRD-00587,57,54,-3,-21.0,0,Minor Variance
SNP-00000243,2026-07-31,PH-001,PRD-00361,15,15,0,0.0,0,Matched
SNP-00000244,2026-07-31,PH-001,PRD-00263,92,89,-3,-52.41,0,Minor Variance
SNP-00000245,2026-07-31,PH-001,PRD-00615,40,38,-2,-53.84,0,Minor Variance
SNP-00000246,2026-07-31,PH-001,PRD-00226,12,15,3,92.34,0,Minor Variance
SNP-00000247,2026-07-31,PH-001,PRD-00343,90,92,2,22.72,0,Minor Variance
SNP-00000248,2026-07-31,PH-001,PRD-00152,61,58,-3,-40.95,0,Minor Variance
SNP-00000249,2026-07-31,PH-001,PRD-00657,60,61,1,18.43,0,Minor Variance
SNP-00000250,2026-07-31,PH-001,PRD-00327,36,38,2,44.4,0,Minor Variance
SNP-00000251,2026-07-31,PH-001,PRD-00463,70,70,0,0.0,0,Matched
SNP-00000252,2026-07-31,PH-001,PRD-00550,12,15,3,84.75,0,Minor Variance
SNP-00000253,2026-07-31,PH-001,PRD-00753,83,85,2,17.46,0,Minor Variance
SNP-00000254,2026-07-31,PH-001,PRD-00600,40,42,2,14.72,0,Minor Variance
SNP-00000255,2026-07-31,PH-001,PRD-00613,75,76,1,24.81,0,Minor Variance
SNP-00000256,2026-07-31,PH-001,PRD-00668,30,27,-3,-69.36,0,Minor Variance
SNP-00000257,2026-07-31,PH-001,PRD-00390,11,8,-3,-27.9,0,Minor Variance
SNP-00000258,2026-07-31,PH-001,PRD-00399,99,99,0,0.0,0,Matched
SNP-00000259,2026-07-31,PH-001,PRD-00737,33,36,3,65.88,0,Minor Variance
SNP-00000260,2026-07-31,PH-001,PRD-00100,0,2,2,4.2,0,Minor Variance
SNP-00000261,2026-07-31,PH-001,PRD-00095,17,19,2,66.24,0,Minor Variance
SNP-00000262,2026-07-31,PH-001,PRD-00293,82,81,-1,-23.31,0,Minor Variance
SNP-00000263,2026-07-31,PH-001,PRD-00751,10,11,1,22.79,0,Minor Variance
SNP-00000264,2026-07-31,PH-001,PRD-00492,60,61,1,13.97,0,Minor Variance
SNP-00000265,2026-07-31,PH-001,PRD-00559,4,6,2,28.76,0,Minor Variance
SNP-00000266,2026-07-31,PH-001,PRD-00012,54,57,3,2.61,0,Minor Variance
SNP-00000267,2026-07-31,PH-001,PRD-00189,23,25,2,50.74,0,Minor Variance
SNP-00000268,2026-07-31,PH-001,PRD-00144,67,68,1,3.09,0,Minor Variance
SNP-00000269,2026-07-31,PH-001,PRD-00500,66,63,-3,-33.21,0,Minor Variance
SNP-00000270,2026-07-31,PH-001,PRD-00730,75,73,-2,-12.98,0,Minor Variance
SNP-00000271,2026-07-31,PH-001,PRD-00365,18,18,0,0.0,0,Matched
SNP-00000272,2026-07-31,PH-001,PRD-00789,67,64,-3,-42.39,0,Minor Variance
SNP-00000273,2026-07-31,PH-001,PRD-00544,72,72,0,0.0,0,Matched
SNP-00000274,2026-07-31,PH-001,PRD-00256,95,98,3,100.59,0,Minor Variance
SNP-00000275,2026-07-31,PH-001,PRD-00489,32,34,2,55.36,0,Minor Variance
SNP-00000276,2026-07-31,PH-001,PRD-00118,70,70,0,0.0,0,Matched
SNP-00000277,2026-07-31,PH-001,PRD-00705,45,47,2,8.18,0,Minor Variance
SNP-00000278,2026-07-31,PH-001,PRD-00589,1,3,2,50.5,0,Minor Variance
SNP-00000279,2026-07-31,PH-001,PRD-00218,56,57,1,19.35,0,Minor Variance
SNP-00000280,2026-07-31,PH-001,PRD-00502,63,61,-2,-62.26,0,Minor Variance
SNP-00000281,2026-07-31,PH-001,PRD-00289,49,48,-1,-7.63,0,Minor Variance
SNP-00000282,2026-07-31,PH-001,PRD-00198,5,4,-1,-34.16,0,Minor Variance
SNP-00000283,2026-07-31,PH-001,PRD-00174,32,35,3,90.84,0,Minor Variance
SNP-00000284,2026-07-31,PH-001,PRD-00182,33,31,-2,-31.9,0,Minor Variance
SNP-00000285,2026-07-31,PH-001,PRD-00311,86,85,-1,-5.56,0,Minor Variance
SNP-00000286,2026-07-31,PH-001,PRD-00126,30,27,-3,-38.22,0,Minor Variance
SNP-00000287,2026-07-31,PH-001,PRD-00191,56,55,-1,-29.23,0,Minor Variance
SNP-00000288,2026-07-31,PH-001,PRD-00573,69,71,2,12.6,0,Minor Variance
SNP-00000289,2026-07-31,PH-001,PRD-00022,100,98,-2,-18.94,0,Minor Variance
SNP-00000290,2026-07-31,PH-001,PRD-00016,51,52,1,34.19,0,Minor Variance
SNP-00000291,2026-07-31,PH-001,PRD-00528,37,39,2,44.2,0,Minor Variance
SNP-00000292,2026-07-31,PH-001,PRD-00795,52,49,-3,-81.33,0,Minor Variance
SNP-00000293,2026-07-31,PH-001,PRD-00208,86,88,2,23.32,0,Minor Variance
SNP-00000294,2026-07-31,PH-001,PRD-00722,12,10,-2,-36.62,0,Minor Variance
SNP-00000295,2026-07-31,PH-001,PRD-00094,87,88,1,22.6,0,Minor Variance
SNP-00000296,2026-07-31,PH-001,PRD-00481,63,64,1,4.26,0,Minor Variance
SNP-00000297,2026-07-31,PH-001,PRD-00744,92,93,1,22.68,0,Minor Variance
SNP-00000298,2026-07-31,PH-001,PRD-00377,9,10,1,27.01,0,Minor Variance
SNP-00000299,2026-07-31,PH-001,PRD-00662,42,42,0,0.0,0,Matched
