movement_id,store_id,product_id,movement_datetime,movement_type,quantity_change,reference_id,employee_id
MOV-00000120,PH-003,PRD-00110,2026-07-04 11:53:39,SALE,-1,TXN-0000027,EMP-0047
MOV-00000121,PH-001,PRD-00141,2026-06-16 21:14:52,SALE,-1,TXN-0000028,EMP-0013
MOV-00000122,PH-001,PRD-00144,2026-06-16 21:14:52,SALE,-1,TXN-0000028,EMP-0013
MOV-00000123,PH-001,PRD-00439,2026-06-16 21:14:52,SALE,-1,TXN-0000028,EMP-0013
MOV-00000124,PH-003,PRD-00750,2026-07-04 18:41:20,SALE,-1,TXN-0000029,EMP-0058
MOV-00000125,PH-003,PRD-00156,2026-07-04 18:41:20,SALE,-3,TXN-0000029,EMP-0058
MOV-00000126,PH-003,PRD-00541,2026-07-04 18:41:20,SALE,-1,TXN-0000029,EMP-0058
MOV-00000127,PH-003,PRD-00009,2026-05-03 17:59:11,SALE,-1,TXN-0000030,EMP-0059
MOV-00000128,PH-003,PRD-00060,2026-05-03 17:59:11,SALE,-1,TXN-0000030,EMP-0059
MOV-00000129,PH-003,PRD-00755,2026-05-03 17:59:11,SALE,-1,TXN-0000030,EMP-0059
MOV-00000130,PH-003,PRD-00097,2026-05-03 17:59:11,SALE,-1,TXN-0000030,EMP-0059
MOV-00000131,PH-005,PRD-00221,2026-05-09 10:05:54,SALE,-4,TXN-0000031,EMP-0100
MOV-00000132,PH-005,PRD-00606,2026-05-09 10:05:54,SALE,-1,TXN-0000031,EMP-0100
MOV-00000133,PH-005,PRD-00089,2026-07-23 14:30:08,SALE,-1,TXN-0000032,EMP-0100
MOV-00000134,PH-005,PRD-00074,2026-07-23 14:30:08,SALE,-1,TXN-0000032,EMP-0100
MOV-00000135,PH-005,PRD-00298,2026-07-23 14:30:08,SALE,-3,TXN-0000032,EMP-0100
MOV-00000136,PH-005,PRD-00754,2026-07-23 14:30:08,SALE,-1,TXN-0000032,EMP-0100
MOV-00000137,PH-002,PRD-00434,2026-05-03 14:13:48,SALE,-2,TXN-0000033,EMP-0024
MOV-00000138,PH-002,PRD-00076,2026-05-03 14:13:48,SALE,-1,TXN-0000033,EMP-0024
MOV-00000139,PH-002,PRD-00726,2026-05-03 14:13:48,SALE,-1,TXN-0000033,EMP-0024
MOV-00000140,PH-002,PRD-00715,2026-05-03 14:13:48,SALE,-1,TXN-0000033,EMP-0024
MOV-00000141,PH-002,PRD-00713,2026-05-03 14:13:48,SALE,-1,TXN-0000033,EMP-0024
MOV-00000142,PH-002,PRD-00747,2026-07-16 17:42:04,SALE,-1,TXN-0000034,EMP-0042
MOV-00000143,PH-002,PRD-00206,2026-07-16 17:42:04,SALE,-1,TXN-0000034,EMP-0042
MOV-00000144,PH-002,PRD-00388,2026-07-16 17:42:04,SALE,-1,TXN-0000034,EMP-0042
MOV-00000145,PH-002,PRD-00164,2026-07-16 17:42:04,SALE,-1,TXN-0000034,EMP-0042
MOV-00000146,PH-002,PRD-00281,2026-05-31 10:58:39,SALE,-1,TXN-0000035,EMP-0037
MOV-00000147,PH-002,PRD-00715,2026-05-31 10:58:39,SALE,-2,TXN-0000035,EMP-0037
MOV-00000148,PH-002,PRD-00490,2026-05-31 10:58:39,SALE,-1,TXN-0000035,EMP-0037
MOV-00000149,PH-002,PRD-00795,2026-05-31 10:58:39,SALE,-1,TXN-0000035,EMP-0037
MOV-00000150,PH-001,PRD-00548,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000151,PH-001,PRD-00606,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000152,PH-001,PRD-00545,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000153,PH-001,PRD-00695,2026-07-15 18:58:24,SALE,-3,TXN-0000036,EMP-0019
MOV-00000154,PH-001,PRD-00064,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000155,PH-001,PRD-00198,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000156,PH-001,PRD-00404,2026-07-15 18:58:24,SALE,-1,TXN-0000036,EMP-0019
MOV-00000157,PH-004,PRD-00393,2026-07-29 20:36:12,SALE,-1,TXN-0000037,EMP-0080
MOV-00000158,PH-004,PRD-00082,2026-07-29 20:36:12,SALE,-1,TXN-0000037,EMP-0080
MOV-00000159,PH-004,PRD-00641,2026-07-29 20:36:12,SALE,-3,TXN-0000037,EMP-0080
MOV-00000160,PH-004,PRD-00731,2026-07-29 20:36:12,SALE,-1,TXN-0000037,EMP-0080
MOV-00000161,PH-004,PRD-00170,2026-07-29 20:36:12,SALE,-1,TXN-0000037,EMP-0080
MOV-00000162,PH-004,PRD-00287,2026-07-29 20:36:12,SALE,-1,TXN-0000037,EMP-0080
MOV-00000163,PH-005,PRD-00791,2026-05-05 13:25:15,SALE,-4,TXN-0000038,EMP-0089
MOV-00000164,PH-005,PRD-00170,2026-05-05 13:25:15,SALE,-1,TXN-0000038,EMP-0089
MOV-00000165,PH-005,PRD-00657,2026-05-05 13:25:15,SALE,-1,TXN-0000038,EMP-0089
MOV-00000166,PH-005,PRD-00329,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000167,PH-005,PRD-00620,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000168,PH-005,PRD-00397,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000169,PH-005,PRD-00173,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000170,PH-005,PRD-00211,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000171,PH-005,PRD-00004,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000172,PH-005,PRD-00538,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000173,PH-005,PRD-00157,2026-06-21 11:05:10,SALE,-1,TXN-0000039,EMP-0107
MOV-00000174,PH-002,PRD-00238,2026-05-13 14:56:11,SALE,-1,TXN-0000040,EMP-0034
MOV-00000175,PH-002,PRD-00474,2026-05-13 14:56:11,SALE,-1,TXN-0000040,EMP-0034
MOV-00000176,PH-002,PRD-00014,2026-05-13 14:56:11,SALE,-1,TXN-0000040,EMP-0034
MOV-00000177,PH-002,PRD-00514,2026-05-13 14:56:11,SALE,-1,TXN-0000040,EMP-0034
MOV-00000178,PH-001,PRD-00447,2026-06-12 20:36:09,SALE,-1,TXN-0000041,EMP-0016
MOV-00000179,PH-001,PRD-00250,2026-06-12 20:36:09,SALE,-1,TXN-0000041,EMP-0016
MOV-00000180,PH-001,PRD-00146,2026-06-12 20:36:09,SALE,-1,TXN-0000041,EMP-0016
MOV-00000181,PH-001,PRD-00480,2026-06-12 20:36:09,SALE,-3,TXN-0000041,EMP-0016
MOV-00000182,PH-001,PRD-00487,2026-06-12 20:36:09,SALE,-1,TXN-0000041,EMP-0016
MOV-00000183,PH-001,PRD-00697,2026-06-12 20:36:09,SALE,-1,TXN-0000041,EMP-0016
MOV-00000184,PH-004,PRD-00196,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000185,PH-004,PRD-00589,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000186,PH-004,PRD-00005,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000187,PH-004,PRD-00667,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000188,PH-004,PRD-00152,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000189,PH-004,PRD-00335,2026-06-09 12:09:37,SALE,-1,TXN-0000042,EMP-0081
MOV-00000190,PH-001,PRD-00265,2026-06-01 16:53:35,SALE,-1,TXN-0000043,EMP-0006
MOV-00000191,PH-001,PRD-00398,2026-06-01 16:53:35,SALE,-1,TXN-0000043,EMP-0006
MOV-00000192,PH-001,PRD-00306,2026-06-01 16:53:35,SALE,-1,TXN-0000043,EMP-0006
MOV-00000193,PH-001,PRD-00208,2026-05-12 13:49:10,SALE,-1,TXN-0000044,EMP-0013
MOV-00000194,PH-001,PRD-00529,2026-05-12 13:49:10,SALE,-1,TXN-0000044,EMP-0013
MOV-00000195,PH-001,PRD-00009,2026-05-24 08:16:58,SALE,-1,TXN-0000045,EMP-0013
MOV-00000196,PH-003,PRD-00782,2026-07-20 10:11:38,SALE,-1,TXN-0000046,EMP-0056
MOV-00000197,PH-003,PRD-00335,2026-07-20 10:11:38,SALE,-1,TXN-0000046,EMP-0056
MOV-00000198,PH-003,PRD-00749,2026-07-20 10:11:38,SALE,-1,TXN-0000046,EMP-0056
MOV-00000199,PH-003,PRD-00413,2026-07-20 10:11:38,SALE,-1,TXN-0000046,EMP-0056
MOV-00000200,PH-002,PRD-00772,2026-05-03 19:19:48,SALE,-2,TXN-0000047,EMP-0036
MOV-00000201,PH-002,PRD-00123,2026-05-03 19:19:48,SALE,-4,TXN-0000047,EMP-0036
MOV-00000202,PH-002,PRD-00105,2026-05-03 19:19:48,SALE,-1,TXN-0000047,EMP-0036
MOV-00000203,PH-002,PRD-00224,2026-06-07 19:33:38,SALE,-1,TXN-0000048,EMP-0037
MOV-00000204,PH-002,PRD-00307,2026-06-07 19:33:38,SALE,-1,TXN-0000048,EMP-0037
MOV-00000205,PH-002,PRD-00523,2026-06-07 19:33:38,SALE,-1,TXN-0000048,EMP-0037
MOV-00000206,PH-002,PRD-00494,2026-06-07 19:33:38,SALE,-4,TXN-0000048,EMP-0037
MOV-00000207,PH-002,PRD-00770,2026-06-07 19:33:38,SALE,-1,TXN-0000048,EMP-0037
MOV-00000208,PH-004,PRD-00585,2026-07-12 16:56:33,SALE,-3,TXN-0000049,EMP-0069
MOV-00000209,PH-004,PRD-00740,2026-07-12 16:56:33,SALE,-1,TXN-0000049,EMP-0069
MOV-00000210,PH-004,PRD-00124,2026-07-12 16:56:33,SALE,-1,TXN-0000049,EMP-0069
MOV-00000211,PH-004,PRD-00623,2026-07-12 16:56:33,SALE,-4,TXN-0000049,EMP-0069
MOV-00000212,PH-004,PRD-00291,2026-07-12 16:56:33,SALE,-1,TXN-0000049,EMP-0069
MOV-00000213,PH-004,PRD-00265,2026-07-12 16:56:33,SALE,-1,TXN-0000049,EMP-0069
MOV-00000214,PH-004,PRD-00436,2026-06-09 17:57:53,SALE,-1,TXN-0000050,EMP-0069
MOV-00000215,PH-004,PRD-00728,2026-06-09 17:57:53,SALE,-1,TXN-0000050,EMP-0069
MOV-00000216,PH-004,PRD-00388,2026-06-09 17:57:53,SALE,-1,TXN-0000050,EMP-0069
MOV-00000217,PH-005,PRD-00691,2026-05-21 17:33:21,SALE,-1,TXN-0000051,EMP-0107
MOV-00000218,PH-005,PRD-00795,2026-05-21 17:33:21,SALE,-1,TXN-0000051,EMP-0107
MOV-00000219,PH-005,PRD-00650,2026-05-21 17:33:21,SALE,-1,TXN-0000051,EMP-0107
MOV-00000220,PH-005,PRD-00490,2026-05-21 17:33:21,SALE,-1,TXN-0000051,EMP-0107
MOV-00000221,PH-001,PRD-00740,2026-06-17 21:44:13,SALE,-1,TXN-0000052,EMP-0001
MOV-00000222,PH-001,PRD-00759,2026-06-17 21:44:13,SALE,-2,TXN-0000052,EMP-0001
MOV-00000223,PH-001,PRD-00226,2026-07-02 18:00:31,SALE,-1,TXN-0000053,EMP-0016
MOV-00000224,PH-001,PRD-00572,2026-07-02 18:00:31,SALE,-1,TXN-0000053,EMP-0016
MOV-00000225,PH-001,PRD-00366,2026-07-02 18:00:31,SALE,-1,TXN-0000053,EMP-0016
MOV-00000226,PH-001,PRD-00319,2026-07-02 18:00:31,SALE,-1,TXN-0000053,EMP-0016
MOV-00000227,PH-004,PRD-00141,2026-05-31 11:10:29,SALE,-1,TXN-0000054,EMP-0078
MOV-00000228,PH-004,PRD-00321,2026-05-31 11:10:29,SALE,-1,TXN-0000054,EMP-0078
MOV-00000229,PH-004,PRD-00709,2026-05-31 11:10:29,SALE,-1,TXN-0000054,EMP-0078
MOV-00000230,PH-004,PRD-00513,2026-05-31 11:10:29,SALE,-4,TXN-0000054,EMP-0078
MOV-00000231,PH-004,PRD-00351,2026-05-05 10:02:02,SALE,-1,TXN-0000055,EMP-0081
MOV-00000232,PH-004,PRD-00299,2026-05-05 10:02:02,SALE,-1,TXN-0000055,EMP-0081
MOV-00000233,PH-004,PRD-00409,2026-05-05 10:02:02,SALE,-2,TXN-0000055,EMP-0081
MOV-00000234,PH-004,PRD-00641,2026-05-05 10:02:02,SALE,-1,TXN-0000055,EMP-0081
MOV-00000235,PH-004,PRD-00309,2026-05-05 10:02:02,SALE,-1,TXN-0000055,EMP-0081
MOV-00000236,PH-004,PRD-00536,2026-05-05 10:02:02,SALE,-1,TXN-0000055,EMP-0081
MOV-00000237,PH-004,PRD-00289,2026-05-30 12:26:35,SALE,-1,TXN-0000056,EMP-0086
MOV-00000238,PH-004,PRD-00419,2026-05-30 12:26:35,SALE,-1,TXN-0000056,EMP-0086
MOV-00000239,PH-004,PRD-00418,2026-05-30 12:26:35,SALE,-1,TXN-0000056,EMP-0086
MOV-00000240,PH-004,PRD-00368,2026-05-30 12:26:35,SALE,-1,TXN-0000056,EMP-0086
MOV-00000241,PH-004,PRD-00385,2026-05-30 12:26:35,SALE,-1,TXN-0000056,EMP-0086
MOV-00000242,PH-004,PRD-00749,2026-05-04 08:33:11,SALE,-4,TXN-0000057,EMP-0086
MOV-00000243,PH-004,PRD-00166,2026-05-04 08:33:11,SALE,-1,TXN-0000057,EMP-0086
MOV-00000244,PH-004,PRD-00483,2026-05-04 08:33:11,SALE,-1,TXN-0000057,EMP-0086
MOV-00000245,PH-001,PRD-00069,2026-07-29 19:04:21,SALE,-1,TXN-0000058,EMP-0018
MOV-00000246,PH-001,PRD-00236,2026-07-29 19:04:21,SALE,-2,TXN-0000058,EMP-0018
MOV-00000247,PH-001,PRD-00665,2026-07-29 19:04:21,SALE,-1,TXN-0000058,EMP-0018
MOV-00000248,PH-001,PRD-00237,2026-07-29 19:04:21,SALE,-1,TXN-0000058,EMP-0018
MOV-00000249,PH-001,PRD-00285,2026-07-29 19:04:21,SALE,-2,TXN-0000058,EMP-0018
MOV-00000250,PH-001,PRD-00351,2026-07-29 19:04:21,SALE,-4,TXN-0000058,EMP-0018
MOV-00000251,PH-001,PRD-00169,2026-06-16 09:10:11,SALE,-1,TXN-0000059,EMP-0014
MOV-00000252,PH-001,PRD-00584,2026-06-16 09:10:11,SALE,-1,TXN-0000059,EMP-0014
MOV-00000253,PH-001,PRD-00263,2026-06-16 09:10:11,SALE,-1,TXN-0000059,EMP-0014
