override_id,transaction_id,store_id,employee_id,approving_manager_id,product_id,override_datetime,original_amount,adjusted_amount,discount_amount,discount_percent,override_reason,approval_method,flagged,flag_reason
OVR-000036,TXN-0000572,PH-003,EMP-0058,EMP-0056,PRD-00239,2026-06-08 08:55:56,29.78,22.33,7.45,25.0,Manager price override,Manager PIN,False,
OVR-000037,TXN-0000599,PH-002,EMP-0042,EMP-0023,PRD-00444,2026-05-14 21:19:24,43.83,32.87,10.96,25.0,Manager price override,Manager PIN,False,
OVR-000038,TXN-0000612,PH-002,EMP-0035,EMP-0023,PRD-00617,2026-07-02 21:50:08,1.86,1.21,0.65,35.0,Manager price override,Manager PIN,False,
OVR-000039,TXN-0000625,PH-005,EMP-0103,EMP-0089,PRD-00706,2026-05-12 10:49:13,43.47,23.91,19.56,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000040,TXN-0000659,PH-005,EMP-0090,EMP-0091,PRD-00534,2026-05-07 09:02:21,60.0,39.0,21.0,35.0,Manager price override,Manager PIN,False,
OVR-000041,TXN-0000660,PH-002,EMP-0034,EMP-0023,PRD-00021,2026-05-06 16:11:42,51.34,33.37,17.97,35.0,Manager price override,Manager PIN,False,
OVR-000042,TXN-0000686,PH-004,EMP-0084,EMP-0079,PRD-00141,2026-06-22 10:03:36,53.49,29.42,24.07,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000043,TXN-0000737,PH-002,EMP-0023,EMP-0023,PRD-00132,2026-07-31 20:45:40,24.08,12.04,12.04,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000044,TXN-0000744,PH-002,EMP-0025,EMP-0023,PRD-00498,2026-05-21 19:01:50,67.86,44.11,23.75,35.0,Manager price override,Manager PIN,False,
OVR-000045,TXN-0000753,PH-005,EMP-0100,EMP-0089,PRD-00481,2026-05-11 13:49:30,36.76,27.57,9.19,25.0,Manager price override,Manager PIN,False,
OVR-000046,TXN-0000766,PH-001,EMP-0002,EMP-0002,PRD-00254,2026-07-24 08:39:41,7.67,3.84,3.83,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000047,TXN-0000773,PH-003,EMP-0059,EMP-0045,PRD-00216,2026-06-29 15:34:03,10.98,6.04,4.94,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000048,TXN-0000779,PH-004,EMP-0086,EMP-0068,PRD-00764,2026-05-29 08:00:38,16.66,9.16,7.5,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000049,TXN-0000780,PH-002,EMP-0024,EMP-0023,PRD-00051,2026-07-13 10:08:46,32.69,16.35,16.34,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000050,TXN-0000802,PH-002,EMP-0039,EMP-0023,PRD-00362,2026-06-25 14:33:18,45.52,34.14,11.38,25.0,Manager price override,Manager PIN,False,
OVR-000051,TXN-0000802,PH-002,EMP-0039,EMP-0023,PRD-00664,2026-06-25 14:33:18,3.87,1.93,1.94,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000052,TXN-0000803,PH-002,EMP-0034,EMP-0023,PRD-00113,2026-06-21 16:07:37,42.49,31.87,10.62,25.0,Manager price override,Manager PIN,False,
OVR-000053,TXN-0000819,PH-001,EMP-0013,EMP-0002,PRD-00468,2026-06-11 20:18:27,3.33,2.16,1.17,35.0,Manager price override,Manager PIN,False,
OVR-000054,TXN-0000828,PH-002,EMP-0037,EMP-0023,PRD-00172,2026-05-15 19:27:19,57.61,43.21,14.4,25.0,Manager price override,Manager PIN,False,
OVR-000055,TXN-0000828,PH-002,EMP-0037,EMP-0023,PRD-00564,2026-05-15 19:27:19,9.78,4.89,4.89,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000056,TXN-0000856,PH-004,EMP-0069,EMP-0068,PRD-00402,2026-05-09 17:29:15,11.4,7.41,3.99,35.0,Manager price override,Manager PIN,False,
OVR-000057,TXN-0000864,PH-002,EMP-0039,EMP-0023,PRD-00646,2026-06-14 20:52:27,164.88,123.66,41.22,25.0,Manager price override,Manager PIN,False,
OVR-000058,TXN-0000864,PH-002,EMP-0039,EMP-0023,PRD-00736,2026-06-14 20:52:27,35.78,17.89,17.89,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000059,TXN-0000868,PH-004,EMP-0084,EMP-0069,PRD-00403,2026-07-14 17:36:13,41.71,20.85,20.86,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000060,TXN-0000870,PH-005,EMP-0103,EMP-0090,PRD-00441,2026-07-03 20:30:39,54.7,41.02,13.68,25.0,Manager price override,Manager PIN,False,
OVR-000061,TXN-0000915,PH-005,EMP-0107,EMP-0089,PRD-00428,2026-07-19 12:49:49,147.39,110.54,36.85,25.0,Manager price override,Manager PIN,False,
OVR-000062,TXN-0000939,PH-002,EMP-0036,EMP-0023,PRD-00557,2026-07-19 20:25:08,6.71,5.03,1.68,25.0,Manager price override,Manager PIN,False,
OVR-000063,TXN-0000939,PH-002,EMP-0036,EMP-0023,PRD-00693,2026-07-19 20:25:08,29.63,22.22,7.41,25.0,Manager price override,Manager PIN,False,
OVR-000064,TXN-0000955,PH-005,EMP-0100,EMP-0100,PRD-00436,2026-07-08 11:12:59,38.63,28.97,9.66,25.0,Manager price override,Manager PIN,False,
OVR-000065,TXN-0000961,PH-005,EMP-0089,EMP-0101,PRD-00176,2026-07-26 20:58:43,13.68,7.52,6.16,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000066,TXN-0000987,PH-002,EMP-0036,EMP-0023,PRD-00437,2026-06-10 19:18:10,33.77,21.95,11.82,35.0,Manager price override,Manager PIN,False,
OVR-000067,TXN-0000987,PH-002,EMP-0036,EMP-0023,PRD-00128,2026-06-10 19:18:10,20.28,10.14,10.14,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000068,TXN-0000988,PH-002,EMP-0035,EMP-0023,PRD-00626,2026-07-20 12:48:46,157.92,102.65,55.27,35.0,Manager price override,Manager PIN,False,
OVR-000069,TXN-0001028,PH-002,EMP-0039,EMP-0023,PRD-00719,2026-07-09 11:21:48,7.83,3.91,3.92,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000070,TXN-0001054,PH-005,EMP-0107,EMP-0100,PRD-00045,2026-05-12 08:01:19,25.07,12.53,12.54,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000071,TXN-0001057,PH-005,EMP-0103,EMP-0100,PRD-00279,2026-05-21 08:14:41,32.39,21.05,11.34,35.0,Manager price override,Manager PIN,False,
OVR-000072,TXN-0001059,PH-002,EMP-0025,EMP-0023,PRD-00675,2026-07-17 18:51:08,46.08,29.95,16.13,35.0,Manager price override,Manager PIN,False,
OVR-000073,TXN-0001106,PH-005,EMP-0103,EMP-0090,PRD-00538,2026-07-14 13:13:05,43.36,28.18,15.18,35.0,Manager price override,Manager PIN,False,
OVR-000074,TXN-0001112,PH-005,EMP-0100,EMP-0089,PRD-00646,2026-07-15 18:12:24,164.88,82.44,82.44,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000075,TXN-0001133,PH-005,EMP-0103,EMP-0100,PRD-00265,2026-05-13 20:31:39,28.83,21.62,7.21,25.0,Manager price override,Manager PIN,False,
OVR-000076,TXN-0001136,PH-005,EMP-0089,EMP-0089,PRD-00633,2026-06-17 20:24:05,25.82,16.78,9.04,35.0,Manager price override,Manager PIN,False,
OVR-000077,TXN-0001154,PH-004,EMP-0085,EMP-0078,PRD-00288,2026-07-03 11:28:02,25.39,13.96,11.43,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000078,TXN-0001184,PH-005,EMP-0103,EMP-0091,PRD-00180,2026-07-06 19:50:19,56.67,28.33,28.34,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000079,TXN-0001221,PH-002,EMP-0024,EMP-0023,PRD-00009,2026-06-04 14:30:08,71.26,35.63,35.63,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000080,TXN-0001257,PH-002,EMP-0024,EMP-0023,PRD-00068,2026-05-05 18:24:53,43.22,21.61,21.61,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000081,TXN-0001258,PH-002,EMP-0023,EMP-0023,PRD-00182,2026-07-12 19:36:23,22.01,16.51,5.5,25.0,Manager price override,Manager PIN,False,
OVR-000082,TXN-0001260,PH-003,EMP-0064,EMP-0057,PRD-00780,2026-05-28 20:58:13,48.48,26.66,21.82,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000083,TXN-0001263,PH-002,EMP-0042,EMP-0023,PRD-00110,2026-07-19 19:09:34,41.9,23.04,18.86,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000084,TXN-0001268,PH-002,EMP-0037,EMP-0023,PRD-00441,2026-05-25 09:05:27,164.1,90.25,73.85,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000085,TXN-0001307,PH-003,EMP-0047,EMP-0047,PRD-00182,2026-06-17 13:22:12,22.01,12.11,9.9,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000086,TXN-0001312,PH-005,EMP-0106,EMP-0100,PRD-00502,2026-05-10 15:51:06,72.16,39.69,32.47,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000087,TXN-0001353,PH-002,EMP-0040,EMP-0023,PRD-00430,2026-07-21 13:49:12,51.17,25.58,25.59,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000088,TXN-0001377,PH-002,EMP-0035,EMP-0023,PRD-00382,2026-05-10 20:14:44,47.09,30.61,16.48,35.0,Manager price override,Manager PIN,False,
OVR-000089,TXN-0001395,PH-002,EMP-0038,EMP-0023,PRD-00692,2026-07-28 09:51:08,8.62,4.74,3.88,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000090,TXN-0001400,PH-004,EMP-0068,EMP-0078,PRD-00684,2026-05-15 17:19:21,101.8,66.17,35.63,35.0,Manager price override,Manager PIN,False,
OVR-000091,TXN-0001410,PH-003,EMP-0059,EMP-0047,PRD-00791,2026-07-20 20:59:11,55.02,27.51,27.51,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000092,TXN-0001412,PH-005,EMP-0102,EMP-0091,PRD-00381,2026-05-07 19:18:53,2.8,1.82,0.98,35.0,Manager price override,Manager PIN,False,
OVR-000093,TXN-0001417,PH-002,EMP-0035,EMP-0023,PRD-00121,2026-05-12 19:30:50,20.59,13.38,7.21,35.0,Manager price override,Manager PIN,False,
OVR-000094,TXN-0001441,PH-004,EMP-0069,EMP-0068,PRD-00304,2026-05-28 13:21:32,51.53,33.49,18.04,35.0,Manager price override,Manager PIN,False,
OVR-000095,TXN-0001462,PH-002,EMP-0040,EMP-0023,PRD-00547,2026-06-01 19:36:37,10.22,6.64,3.58,35.0,Manager price override,Manager PIN,False,
OVR-000096,TXN-0001464,PH-004,EMP-0081,EMP-0079,PRD-00008,2026-06-04 13:59:02,201.72,131.12,70.6,35.0,Manager price override,Manager PIN,False,
OVR-000097,TXN-0001522,PH-003,EMP-0063,EMP-0045,PRD-00173,2026-07-11 09:53:40,112.84,73.35,39.49,35.0,Manager price override,Manager PIN,False,
OVR-000098,TXN-0001538,PH-002,EMP-0042,EMP-0023,PRD-00605,2026-06-22 08:58:01,48.56,36.42,12.14,25.0,Manager price override,Manager PIN,False,
OVR-000099,TXN-0001540,PH-002,EMP-0041,EMP-0023,PRD-00225,2026-05-23 10:22:22,44.75,24.61,20.14,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000100,TXN-0001543,PH-003,EMP-0059,EMP-0046,PRD-00272,2026-07-06 15:40:15,60.63,30.31,30.32,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000101,TXN-0001545,PH-001,EMP-0015,EMP-0003,PRD-00785,2026-06-26 13:55:32,12.52,8.14,4.38,35.0,Manager price override,Manager PIN,False,
OVR-000102,TXN-0001550,PH-002,EMP-0040,EMP-0023,PRD-00117,2026-06-15 08:56:22,171.03,85.51,85.52,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000103,TXN-0001615,PH-002,EMP-0024,EMP-0023,PRD-00634,2026-05-04 15:22:04,28.09,21.07,7.02,25.0,Manager price override,Manager PIN,False,
OVR-000104,TXN-0001619,PH-002,EMP-0037,EMP-0023,PRD-00676,2026-06-30 20:57:13,55.35,41.51,13.84,25.0,Manager price override,Manager PIN,False,
OVR-000105,TXN-0001640,PH-005,EMP-0103,EMP-0091,PRD-00453,2026-07-07 08:35:25,72.19,46.92,25.27,35.0,Manager price override,Manager PIN,False,
OVR-000106,TXN-0001663,PH-002,EMP-0039,EMP-0023,PRD-00679,2026-07-08 18:58:18,46.75,35.06,11.69,25.0,Manager price override,Manager PIN,False,
OVR-000107,TXN-0001664,PH-002,EMP-0023,EMP-0023,PRD-00663,2026-07-24 17:43:02,27.78,18.06,9.72,35.0,Manager price override,Manager PIN,False,
OVR-000108,TXN-0001664,PH-002,EMP-0023,EMP-0023,PRD-00037,2026-07-24 17:43:02,56.96,28.48,28.48,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000109,TXN-0001693,PH-003,EMP-0045,EMP-0057,PRD-00076,2026-07-27 10:00:22,19.06,9.53,9.53,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000110,TXN-0001702,PH-004,EMP-0083,EMP-0068,PRD-00523,2026-05-23 16:56:26,102.56,76.92,25.64,25.0,Manager price override,Manager PIN,False,
OVR-000111,TXN-0001709,PH-001,EMP-0017,EMP-0002,PRD-00794,2026-05-09 08:43:56,44.49,33.37,11.12,25.0,Manager price override,Manager PIN,False,
OVR-000112,TXN-0001711,PH-002,EMP-0025,EMP-0023,PRD-00311,2026-07-21 21:33:06,8.6,4.3,4.3,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000113,TXN-0001743,PH-005,EMP-0108,EMP-0090,PRD-00267,2026-06-05 12:17:46,54.21,27.1,27.11,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000114,TXN-0001795,PH-005,EMP-0090,EMP-0101,PRD-00139,2026-06-01 15:04:34,25.36,13.95,11.41,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000115,TXN-0001803,PH-002,EMP-0041,EMP-0023,PRD-00452,2026-06-07 21:43:29,64.65,32.32,32.33,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000116,TXN-0001803,PH-002,EMP-0041,EMP-0023,PRD-00656,2026-06-07 21:43:29,39.51,29.63,9.88,25.0,Manager price override,Manager PIN,False,
OVR-000117,TXN-0001855,PH-004,EMP-0083,EMP-0069,PRD-00681,2026-05-28 11:38:58,54.64,40.98,13.66,25.0,Manager price override,Manager PIN,False,
OVR-000118,TXN-0001856,PH-003,EMP-0059,EMP-0045,PRD-00341,2026-07-06 10:08:44,3.62,1.99,1.63,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000119,TXN-0001860,PH-004,EMP-0084,EMP-0078,PRD-00484,2026-05-10 11:31:12,46.39,25.51,20.88,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000120,TXN-0001902,PH-003,EMP-0063,EMP-0046,PRD-00730,2026-07-26 13:14:24,10.49,6.82,3.67,35.0,Manager price override,Manager PIN,False,
OVR-000121,TXN-0001917,PH-001,EMP-0013,EMP-0003,PRD-00176,2026-07-18 19:31:49,13.68,7.52,6.16,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000122,TXN-0001932,PH-002,EMP-0036,EMP-0023,PRD-00547,2026-05-10 08:54:55,10.22,7.66,2.56,25.0,Manager price override,Manager PIN,False,
OVR-000123,TXN-0001933,PH-003,EMP-0057,EMP-0046,PRD-00179,2026-06-13 09:25:13,78.5,39.25,39.25,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000124,TXN-0001962,PH-002,EMP-0036,EMP-0023,PRD-00469,2026-06-12 19:29:58,16.18,8.09,8.09,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000125,TXN-0001972,PH-001,EMP-0001,EMP-0002,PRD-00066,2026-06-26 09:26:20,9.24,6.93,2.31,25.0,Manager price override,Manager PIN,False,
OVR-000126,TXN-0001984,PH-005,EMP-0091,EMP-0091,PRD-00585,2026-06-30 09:28:36,48.0,31.2,16.8,35.0,Manager price override,Manager PIN,False,
OVR-000127,TXN-0001995,PH-002,EMP-0041,EMP-0023,PRD-00690,2026-06-10 19:20:49,43.58,21.79,21.79,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000128,TXN-0002000,PH-001,EMP-0006,EMP-0002,PRD-00162,2026-06-09 14:57:26,26.69,17.35,9.34,35.0,Manager price override,Manager PIN,False,
OVR-000129,TXN-0002040,PH-002,EMP-0036,EMP-0023,PRD-00439,2026-07-23 19:58:12,35.58,23.13,12.45,35.0,Manager price override,Manager PIN,False,
OVR-000130,TXN-0002045,PH-001,EMP-0019,EMP-0013,PRD-00281,2026-05-31 14:55:48,4.29,2.14,2.15,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000131,TXN-0002047,PH-002,EMP-0034,EMP-0023,PRD-00367,2026-06-10 20:25:22,158.97,79.49,79.48,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000132,TXN-0002076,PH-003,EMP-0063,EMP-0045,PRD-00745,2026-05-27 20:51:58,3.4,1.7,1.7,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000133,TXN-0002094,PH-002,EMP-0024,EMP-0023,PRD-00260,2026-07-28 21:24:00,35.1,17.55,17.55,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000134,TXN-0002094,PH-002,EMP-0024,EMP-0023,PRD-00408,2026-07-28 21:24:00,10.44,5.22,5.22,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000135,TXN-0002094,PH-002,EMP-0024,EMP-0023,PRD-00542,2026-07-28 21:24:00,91.86,45.93,45.93,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000136,TXN-0002115,PH-002,EMP-0024,EMP-0023,PRD-00286,2026-06-11 17:17:07,25.7,19.28,6.42,25.0,Manager price override,Manager PIN,False,
OVR-000137,TXN-0002119,PH-003,EMP-0062,EMP-0046,PRD-00403,2026-05-10 11:56:30,41.71,27.11,14.6,35.0,Manager price override,Manager PIN,False,
OVR-000138,TXN-0002152,PH-002,EMP-0034,EMP-0023,PRD-00464,2026-06-30 14:55:42,2.2,1.21,0.99,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000139,TXN-0002200,PH-005,EMP-0107,EMP-0100,PRD-00108,2026-05-27 19:59:09,46.97,30.53,16.44,35.0,Manager price override,Manager PIN,False,
OVR-000140,TXN-0002225,PH-002,EMP-0041,EMP-0023,PRD-00474,2026-07-15 20:52:23,64.44,35.44,29.0,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000141,TXN-0002292,PH-002,EMP-0035,EMP-0023,PRD-00533,2026-06-19 19:48:34,62.85,31.42,31.43,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000142,TXN-0002311,PH-001,EMP-0017,EMP-0001,PRD-00028,2026-06-27 20:41:13,35.2,19.36,15.84,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000143,TXN-0002333,PH-004,EMP-0086,EMP-0078,PRD-00358,2026-05-14 09:54:59,58.49,43.87,14.62,25.0,Manager price override,Manager PIN,False,
OVR-000144,TXN-0002358,PH-005,EMP-0089,EMP-0100,PRD-00432,2026-05-05 11:40:24,23.39,12.86,10.53,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000145,TXN-0002365,PH-002,EMP-0037,EMP-0023,PRD-00753,2026-07-07 21:23:12,36.06,27.04,9.02,25.0,Manager price override,Manager PIN,False,
OVR-000146,TXN-0002400,PH-002,EMP-0042,EMP-0023,PRD-00215,2026-07-20 11:06:59,49.8,27.39,22.41,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000147,TXN-0002401,PH-005,EMP-0100,EMP-0089,PRD-00737,2026-05-26 16:26:39,30.03,15.01,15.02,50.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000148,TXN-0002412,PH-003,EMP-0056,EMP-0047,PRD-00288,2026-07-07 08:29:40,50.78,33.01,17.77,35.0,Manager price override,Manager PIN,False,
OVR-000149,TXN-0002426,PH-005,EMP-0106,EMP-0100,PRD-00798,2026-05-14 21:03:34,3.01,1.66,1.35,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000150,TXN-0002433,PH-003,EMP-0062,EMP-0057,PRD-00339,2026-05-15 18:58:48,20.84,11.46,9.38,45.0,Manager price override,Manager PIN,True,Discount exceeds 40%
OVR-000151,TXN-0002518,PH-002,EMP-0040,EMP-0023,PRD-00708,2026-06-09 09:27:27,19.62,12.75,6.87,35.0,Manager price override,Manager PIN,False,
OVR-000152,TXN-0002527,PH-002,EMP-0038,EMP-0023,PRD-00307,2026-06-16 20:58:42,38.99,29.24,9.75,25.0,Manager price override,Manager PIN,False,
