void_id,transaction_id,store_id,register_id,employee_id,approving_manager_id,void_datetime,void_amount,void_reason,stage,flagged,flag_reason
VOID-000031,TXN-0003297,PH-003,REG-04,EMP-0061,EMP-0046,2026-05-23 08:39:18,62.43,Price dispute,After Receipt Printed,False,
VOID-000032,TXN-0000480,PH-005,REG-02,EMP-0105,EMP-0090,2026-07-23 19:41:16,72.19,Price dispute,Before Payment,False,
VOID-000033,TXN-0002398,PH-002,REG-02,EMP-0040,EMP-0025,2026-05-12 17:28:40,42.74,Payment issue,After Payment Authorization,False,
VOID-000034,TXN-0002077,PH-005,REG-03,EMP-0090,EMP-0090,2026-07-09 19:40:53,9.84,Price dispute,Before Payment,False,
VOID-000035,TXN-0004389,PH-002,REG-06,EMP-0042,EMP-0034,2026-06-23 21:48:42,58.57,Payment issue,After Payment Authorization,False,
VOID-000036,TXN-0001316,PH-002,REG-01,EMP-0036,EMP-0025,2026-07-24 13:16:24,8.24,Customer changed mind,After Receipt Printed,False,
VOID-000037,TXN-0001939,PH-001,REG-03,EMP-0006,EMP-0002,2026-05-08 17:52:53,53.74,Payment issue,Before Payment,False,
VOID-000038,TXN-0001345,PH-003,REG-03,EMP-0046,EMP-0047,2026-05-24 08:52:24,33.68,Price dispute,After Payment Authorization,False,
VOID-000039,TXN-0000508,PH-004,REG-05,EMP-0079,EMP-0069,2026-07-25 14:56:36,18.82,Payment issue,After Payment Authorization,False,
VOID-000040,TXN-0001410,PH-003,REG-04,EMP-0062,EMP-0046,2026-07-26 13:25:07,56.95,Price dispute,After Payment Authorization,False,
VOID-000041,TXN-0004572,PH-001,REG-05,EMP-0018,EMP-0002,2026-05-31 09:57:45,30.21,Customer changed mind,Before Payment,False,
VOID-000042,TXN-0004125,PH-005,REG-01,EMP-0106,EMP-0100,2026-07-23 21:09:12,37.64,Payment issue,Before Payment,False,
VOID-000043,TXN-0001495,PH-004,REG-04,EMP-0082,EMP-0068,2026-06-19 12:33:28,10.31,Customer changed mind,Before Payment,False,
VOID-000044,TXN-0003528,PH-005,REG-05,EMP-0105,EMP-0091,2026-05-07 14:21:56,5.62,Price dispute,After Payment Authorization,False,
VOID-000045,TXN-0004449,PH-002,REG-05,EMP-0023,EMP-0034,2026-06-11 20:06:32,51.2,Duplicate scan,After Receipt Printed,False,
VOID-000046,TXN-0001785,PH-005,REG-02,EMP-0091,EMP-0089,2026-05-07 15:23:53,20.39,Price dispute,Before Payment,False,
VOID-000047,TXN-0001648,PH-001,REG-05,EMP-0001,EMP-0003,2026-05-22 17:18:10,9.61,Duplicate scan,After Receipt Printed,False,
VOID-000048,TXN-0003335,PH-002,REG-06,EMP-0040,EMP-0024,2026-06-12 11:29:01,6.56,Customer changed mind,After Payment Authorization,False,
VOID-000049,TXN-0002679,PH-003,REG-04,EMP-0059,EMP-0045,2026-06-26 14:01:06,17.66,Price dispute,After Payment Authorization,False,
VOID-000050,TXN-0003741,PH-001,REG-02,EMP-0002,EMP-0003,2026-06-15 08:22:48,77.23,Customer changed mind,Before Payment,False,
VOID-000051,TXN-0000800,PH-004,REG-04,EMP-0081,EMP-0068,2026-07-06 10:08:12,77.63,Customer changed mind,Before Payment,False,
VOID-000052,TXN-0000761,PH-005,REG-03,EMP-0107,EMP-0101,2026-07-23 09:35:48,10.58,Duplicate scan,After Receipt Printed,False,
VOID-000053,TXN-0000319,PH-001,REG-01,EMP-0012,EMP-0002,2026-07-16 09:38:19,79.14,Payment issue,After Payment Authorization,False,
VOID-000054,TXN-0002186,PH-002,REG-03,EMP-0038,EMP-0024,2026-05-15 14:50:06,78.49,Price dispute,Before Payment,False,
VOID-000055,TXN-0001983,PH-004,REG-06,EMP-0082,EMP-0067,2026-05-31 15:59:55,49.09,Payment issue,After Payment Authorization,False,
VOID-000056,TXN-0000574,PH-004,REG-01,EMP-0080,EMP-0079,2026-07-18 12:13:27,66.98,Duplicate scan,Before Payment,False,
VOID-000057,TXN-0001510,PH-005,REG-04,EMP-0100,EMP-0091,2026-07-08 16:25:19,70.0,Duplicate scan,After Payment Authorization,False,
VOID-000058,TXN-0004964,PH-003,REG-05,EMP-0057,EMP-0057,2026-06-29 17:46:06,66.98,Price dispute,Before Payment,False,
VOID-000059,TXN-0004967,PH-002,REG-04,EMP-0042,EMP-0035,2026-07-20 16:47:01,32.01,Payment issue,Before Payment,False,
VOID-000060,TXN-0001199,PH-004,REG-04,EMP-0085,EMP-0068,2026-05-15 09:17:13,22.32,Price dispute,Before Payment,False,
VOID-000061,TXN-0000457,PH-001,REG-03,EMP-0012,EMP-0001,2026-06-18 16:02:01,61.29,Price dispute,Before Payment,False,
VOID-000062,TXN-0003268,PH-004,REG-02,EMP-0068,EMP-0079,2026-07-28 08:28:00,65.66,Payment issue,Before Payment,False,
VOID-000063,TXN-0000270,PH-004,REG-02,EMP-0067,EMP-0078,2026-06-15 09:22:49,44.65,Payment issue,After Payment Authorization,False,
VOID-000064,TXN-0000526,PH-005,REG-04,EMP-0105,EMP-0090,2026-05-15 08:58:29,41.28,Price dispute,After Receipt Printed,False,
VOID-000065,TXN-0003877,PH-005,REG-01,EMP-0105,EMP-0089,2026-05-05 08:05:01,64.52,Payment issue,After Payment Authorization,False,
VOID-000066,TXN-0003011,PH-003,REG-01,EMP-0062,EMP-0046,2026-07-31 16:21:09,70.98,Customer changed mind,After Payment Authorization,False,
VOID-000067,TXN-0002941,PH-004,REG-05,EMP-0081,EMP-0079,2026-07-17 08:48:34,35.99,Customer changed mind,Before Payment,False,
VOID-000068,TXN-0001420,PH-005,REG-04,EMP-0106,EMP-0100,2026-06-24 08:19:08,13.36,Payment issue,After Receipt Printed,False,
VOID-000069,TXN-0002007,PH-001,REG-03,EMP-0019,EMP-0003,2026-05-29 21:19:09,75.05,Price dispute,After Receipt Printed,False,
VOID-000070,TXN-0002966,PH-004,REG-02,EMP-0067,EMP-0079,2026-06-22 18:24:32,54.88,Payment issue,Before Payment,False,
VOID-000071,TXN-0002196,PH-005,REG-05,EMP-0103,EMP-0101,2026-05-10 11:20:15,27.75,Duplicate scan,After Payment Authorization,False,
VOID-000072,TXN-0004450,PH-003,REG-03,EMP-0059,EMP-0045,2026-05-17 16:12:00,47.82,Price dispute,After Payment Authorization,False,
VOID-000073,TXN-0003718,PH-005,REG-06,EMP-0090,EMP-0090,2026-06-09 09:51:47,39.06,Customer changed mind,After Receipt Printed,False,
VOID-000074,TXN-0004311,PH-001,REG-02,EMP-0016,EMP-0013,2026-07-14 16:50:13,76.12,Duplicate scan,After Receipt Printed,False,
VOID-000075,TXN-0004102,PH-002,REG-06,EMP-0039,EMP-0034,2026-07-30 18:04:13,58.53,Duplicate scan,After Receipt Printed,False,
VOID-000076,TXN-0002199,PH-002,REG-06,EMP-0023,EMP-0023,2026-05-22 21:11:19,23.13,Payment issue,Before Payment,False,
VOID-000077,TXN-0002192,PH-002,REG-03,EMP-0023,EMP-0025,2026-06-30 16:40:59,59.79,Payment issue,Before Payment,False,
VOID-000078,TXN-0001924,PH-004,REG-02,EMP-0084,EMP-0079,2026-05-06 08:18:56,62.74,Customer changed mind,Before Payment,False,
VOID-000079,TXN-0002929,PH-004,REG-01,EMP-0086,EMP-0078,2026-07-19 15:11:04,31.13,Payment issue,After Payment Authorization,False,
VOID-000080,TXN-0001082,PH-001,REG-03,EMP-0012,EMP-0013,2026-07-04 17:11:31,30.8,Duplicate scan,After Receipt Printed,False,
VOID-000081,TXN-0001807,PH-003,REG-03,EMP-0057,EMP-0047,2026-06-09 19:42:59,21.97,Duplicate scan,Before Payment,False,
VOID-000082,TXN-0003854,PH-003,REG-04,EMP-0056,EMP-0047,2026-07-16 21:58:06,33.83,Duplicate scan,After Receipt Printed,False,
VOID-000083,TXN-0003042,PH-004,REG-01,EMP-0086,EMP-0079,2026-05-26 14:44:57,66.95,Customer changed mind,Before Payment,False,
VOID-000084,TXN-0003832,PH-002,REG-01,EMP-0040,EMP-0034,2026-06-10 17:20:31,35.95,Duplicate scan,Before Payment,False,
VOID-000085,TXN-0003028,PH-001,REG-06,EMP-0006,EMP-0012,2026-05-27 19:44:52,42.15,Duplicate scan,After Receipt Printed,False,
VOID-000086,TXN-0000814,PH-004,REG-05,EMP-0078,EMP-0067,2026-05-08 11:53:12,70.69,Payment issue,After Receipt Printed,False,
VOID-000087,TXN-0004748,PH-004,REG-04,EMP-0069,EMP-0078,2026-05-18 16:45:14,68.86,Duplicate scan,After Receipt Printed,False,
VOID-000088,TXN-0003595,PH-001,REG-05,EMP-0002,EMP-0013,2026-05-05 16:10:35,54.07,Customer changed mind,Before Payment,False,
VOID-000089,TXN-0001540,PH-002,REG-06,EMP-0036,EMP-0035,2026-06-11 17:43:42,5.43,Customer changed mind,After Receipt Printed,False,
VOID-000090,TXN-0002035,PH-001,REG-02,EMP-0017,EMP-0012,2026-07-02 09:08:49,55.09,Payment issue,After Receipt Printed,False,
VOID-000091,TXN-0001400,PH-004,REG-06,EMP-0086,EMP-0069,2026-05-27 10:04:40,37.46,Duplicate scan,Before Payment,False,
VOID-000092,TXN-0003872,PH-002,REG-05,EMP-0036,EMP-0034,2026-06-20 19:53:01,71.26,Duplicate scan,Before Payment,False,
VOID-000093,TXN-0001815,PH-001,REG-02,EMP-0012,EMP-0012,2026-06-19 08:19:46,9.1,Customer changed mind,Before Payment,False,
VOID-000094,TXN-0003209,PH-005,REG-03,EMP-0102,EMP-0091,2026-06-29 18:55:00,66.37,Price dispute,After Payment Authorization,False,
VOID-000095,TXN-0002352,PH-002,REG-06,EMP-0023,EMP-0025,2026-06-24 12:13:52,28.05,Price dispute,Before Payment,False,
VOID-000096,TXN-0003588,PH-004,REG-03,EMP-0081,EMP-0067,2026-05-06 08:23:59,20.02,Duplicate scan,After Payment Authorization,False,
VOID-000097,TXN-0003983,PH-003,REG-06,EMP-0058,EMP-0057,2026-07-18 15:03:54,64.93,Duplicate scan,Before Payment,False,
VOID-000098,TXN-0000751,PH-003,REG-05,EMP-0061,EMP-0046,2026-07-05 09:05:01,34.33,Duplicate scan,After Receipt Printed,False,
VOID-000099,TXN-0001948,PH-002,REG-03,EMP-0039,EMP-0023,2026-05-31 08:48:13,34.16,Customer changed mind,After Payment Authorization,False,
VOID-000100,TXN-0002899,PH-004,REG-04,EMP-0080,EMP-0069,2026-06-02 12:16:13,46.88,Payment issue,Before Payment,False,
VOID-000101,TXN-0004790,PH-001,REG-01,EMP-0019,EMP-0002,2026-06-01 08:49:25,9.68,Customer changed mind,Before Payment,False,
VOID-000102,TXN-0004107,PH-001,REG-02,EMP-0020,EMP-0002,2026-05-27 17:35:26,69.52,Duplicate scan,Before Payment,False,
VOID-000103,TXN-0000492,PH-005,REG-06,EMP-0103,EMP-0101,2026-06-21 13:08:30,42.85,Price dispute,After Payment Authorization,False,
VOID-000104,TXN-0000815,PH-005,REG-04,EMP-0107,EMP-0090,2026-06-21 14:36:06,74.09,Price dispute,After Receipt Printed,False,
VOID-000105,TXN-0001800,PH-004,REG-06,EMP-0069,EMP-0069,2026-07-08 09:30:14,39.62,Payment issue,Before Payment,False,
VOID-000106,TXN-0001745,PH-005,REG-03,EMP-0100,EMP-0091,2026-05-18 09:16:17,20.58,Price dispute,After Payment Authorization,False,
VOID-000107,TXN-0004912,PH-001,REG-05,EMP-0006,EMP-0002,2026-05-30 19:39:54,56.14,Price dispute,After Receipt Printed,False,
VOID-000108,TXN-0002063,PH-004,REG-01,EMP-0069,EMP-0079,2026-05-21 16:12:31,30.74,Payment issue,After Receipt Printed,False,
VOID-000109,TXN-0003508,PH-003,REG-03,EMP-0057,EMP-0046,2026-06-07 17:50:53,11.93,Payment issue,After Receipt Printed,False,
VOID-000110,TXN-0003449,PH-003,REG-01,EMP-0061,EMP-0046,2026-06-12 10:06:08,28.23,Price dispute,Before Payment,False,
VOID-000111,TXN-0002547,PH-004,REG-03,EMP-0069,EMP-0069,2026-07-24 10:52:19,29.25,Duplicate scan,After Receipt Printed,False,
VOID-000112,TXN-0002953,PH-003,REG-04,EMP-0062,EMP-0057,2026-06-04 14:37:59,71.49,Customer changed mind,Before Payment,False,
VOID-000113,TXN-0003009,PH-005,REG-03,EMP-0104,EMP-0090,2026-05-05 17:11:14,24.94,Payment issue,After Receipt Printed,False,
VOID-000114,TXN-0002276,PH-005,REG-02,EMP-0090,EMP-0090,2026-05-31 11:49:59,36.75,Payment issue,After Payment Authorization,False,
VOID-000115,TXN-0001522,PH-003,REG-02,EMP-0062,EMP-0057,2026-06-23 17:11:52,25.31,Duplicate scan,Before Payment,False,
VOID-000116,TXN-0004511,PH-001,REG-06,EMP-0019,EMP-0003,2026-06-02 17:46:29,39.14,Customer changed mind,After Payment Authorization,False,
VOID-000117,TXN-0002451,PH-002,REG-06,EMP-0023,EMP-0024,2026-07-06 12:53:19,65.55,Customer changed mind,After Payment Authorization,False,
VOID-000118,TXN-0001235,PH-005,REG-06,EMP-0107,EMP-0100,2026-07-11 21:23:59,78.1,Price dispute,Before Payment,False,
VOID-000119,TXN-0001049,PH-004,REG-05,EMP-0084,EMP-0078,2026-05-30 15:16:40,66.43,Duplicate scan,After Receipt Printed,False,
VOID-000120,TXN-0004567,PH-002,REG-03,EMP-0025,EMP-0035,2026-05-11 18:27:41,22.98,Duplicate scan,Before Payment,False,
