receipt_id,transaction_id,receipt_number,print_type,printed_datetime,printed_by_employee_id,register_id,store_id,print_reason
RCT-0000166,TXN-0002375,RCP-00002375,Original,2026-05-04 10:32:40,EMP-0015,REG-02,PH-001,
RCT-0000167,TXN-0000894,RCP-00000894,Original,2026-05-04 10:34:01,EMP-0102,REG-02,PH-005,
RCT-0000168,TXN-0004089,RCP-00004089,Original,2026-05-04 10:46:23,EMP-0079,REG-06,PH-004,
RCT-0000169,TXN-0004759,RCP-00004759,Original,2026-05-04 11:26:50,EMP-0016,REG-03,PH-001,
RCT-0000170,TXN-0003576,RCP-00003576,Original,2026-05-04 11:51:19,EMP-0012,REG-02,PH-001,
RCT-0000171,TXN-0001368,RCP-00001368,Original,2026-05-04 12:11:50,EMP-0085,REG-05,PH-004,
RCT-0000172,TXN-0001750,RCP-00001750,Original,2026-05-04 12:44:22,EMP-0020,REG-02,PH-001,
RCT-0000173,TXN-0004286,RCP-00004286,Original,2026-05-04 12:44:58,EMP-0105,REG-02,PH-005,
RCT-0000174,TXN-0003195,RCP-00003195,Original,2026-05-04 12:51:03,EMP-0059,REG-04,PH-003,
RCT-0000175,TXN-0002560,RCP-00002560,Original,2026-05-04 12:54:54,EMP-0083,REG-03,PH-004,
RCT-0000176,TXN-0001628,RCP-00001628,Original,2026-05-04 13:45:29,EMP-0084,REG-06,PH-004,
RCT-0000177,TXN-0003624,RCP-00003624,Original,2026-05-04 14:00:02,EMP-0103,REG-06,PH-005,
RCT-0000178,TXN-0003111,RCP-00003111,Original,2026-05-04 14:02:57,EMP-0103,REG-01,PH-005,
RCT-0000179,TXN-0001727,RCP-00001727,Original,2026-05-04 14:08:38,EMP-0034,REG-05,PH-002,
RCT-0000180,TXN-0001936,RCP-00001936,Original,2026-05-04 14:31:08,EMP-0061,REG-05,PH-003,
RCT-0000181,TXN-0001615,RCP-00001615,Original,2026-05-04 15:23:04,EMP-0024,REG-03,PH-002,
RCT-0000182,TXN-0001615,RCP-00001615,Gift Receipt,2026-05-04 15:24:04,EMP-0024,REG-03,PH-002,
RCT-0000183,TXN-0002298,RCP-00002298,Original,2026-05-04 15:41:00,EMP-0019,REG-03,PH-001,
RCT-0000184,TXN-0001717,RCP-00001717,Original,2026-05-04 16:09:35,EMP-0056,REG-01,PH-003,
RCT-0000185,TXN-0004852,RCP-00004852,Original,2026-05-04 16:18:00,EMP-0006,REG-05,PH-001,
RCT-0000186,TXN-0001956,RCP-00001956,Original,2026-05-04 18:02:19,EMP-0036,REG-04,PH-002,
RCT-0000187,TXN-0000784,RCP-00000784,Original,2026-05-04 18:11:50,EMP-0086,REG-06,PH-004,
RCT-0000188,TXN-0004805,RCP-00004805,Original,2026-05-04 18:13:39,EMP-0047,REG-01,PH-003,
RCT-0000189,TXN-0003284,RCP-00003284,Original,2026-05-04 18:32:45,EMP-0057,REG-03,PH-003,
RCT-0000190,TXN-0000747,RCP-00000747,Original,2026-05-04 18:40:10,EMP-0025,REG-05,PH-002,
RCT-0000191,TXN-0003337,RCP-00003337,Original,2026-05-04 18:42:17,EMP-0059,REG-06,PH-003,
RCT-0000192,TXN-0001892,RCP-00001892,Original,2026-05-04 19:00:31,EMP-0035,REG-02,PH-002,
RCT-0000193,TXN-0000019,RCP-00000019,Original,2026-05-04 19:10:24,EMP-0107,REG-03,PH-005,
RCT-0000194,TXN-0002306,RCP-00002306,Original,2026-05-04 19:11:47,EMP-0001,REG-01,PH-001,
RCT-0000195,TXN-0003291,RCP-00003291,Original,2026-05-04 19:30:09,EMP-0057,REG-04,PH-003,
RCT-0000196,TXN-0004092,RCP-00004092,Original,2026-05-04 19:57:33,EMP-0085,REG-05,PH-004,
RCT-0000197,TXN-0001771,RCP-00001771,Original,2026-05-04 20:11:55,EMP-0019,REG-02,PH-001,
RCT-0000198,TXN-0000101,RCP-00000101,Original,2026-05-04 20:46:38,EMP-0062,REG-03,PH-003,
RCT-0000199,TXN-0002968,RCP-00002968,Original,2026-05-04 21:14:34,EMP-0089,REG-01,PH-005,
RCT-0000200,TXN-0000797,RCP-00000797,Original,2026-05-04 21:25:24,EMP-0062,REG-06,PH-003,
RCT-0000201,TXN-0004448,RCP-00004448,Original,2026-05-04 21:38:39,EMP-0108,REG-05,PH-005,
RCT-0000202,TXN-0001449,RCP-00001449,Original,2026-05-04 21:57:03,EMP-0042,REG-04,PH-002,
RCT-0000203,TXN-0004239,RCP-00004239,Original,2026-05-05 08:38:22,EMP-0018,REG-05,PH-001,
RCT-0000204,TXN-0004177,RCP-00004177,Original,2026-05-05 08:52:13,EMP-0079,REG-05,PH-004,
RCT-0000205,TXN-0003579,RCP-00003579,Original,2026-05-05 08:52:36,EMP-0059,REG-03,PH-003,
RCT-0000206,TXN-0000638,RCP-00000638,Original,2026-05-05 08:56:22,EMP-0108,REG-05,PH-005,
RCT-0000207,TXN-0002611,RCP-00002611,Original,2026-05-05 09:15:55,EMP-0036,REG-02,PH-002,
RCT-0000208,TXN-0003443,RCP-00003443,Original,2026-05-05 09:41:35,EMP-0069,REG-01,PH-004,
RCT-0000209,TXN-0000055,RCP-00000055,Original,2026-05-05 10:03:02,EMP-0081,REG-03,PH-004,
RCT-0000210,TXN-0000134,RCP-00000134,Original,2026-05-05 10:05:57,EMP-0058,REG-02,PH-003,
RCT-0000211,TXN-0002113,RCP-00002113,Original,2026-05-05 10:07:21,EMP-0035,REG-02,PH-002,
RCT-0000212,TXN-0001143,RCP-00001143,Original,2026-05-05 10:24:45,EMP-0061,REG-03,PH-003,
RCT-0000213,TXN-0001651,RCP-00001651,Original,2026-05-05 10:38:52,EMP-0038,REG-03,PH-002,
RCT-0000214,TXN-0003677,RCP-00003677,Original,2026-05-05 10:44:18,EMP-0057,REG-05,PH-003,
RCT-0000215,TXN-0000175,RCP-00000175,Original,2026-05-05 10:59:00,EMP-0107,REG-04,PH-005,
RCT-0000216,TXN-0000020,RCP-00000020,Original,2026-05-05 11:17:05,EMP-0012,REG-01,PH-001,
RCT-0000217,TXN-0003813,RCP-00003813,Original,2026-05-05 11:31:33,EMP-0025,REG-02,PH-002,
RCT-0000218,TXN-0002358,RCP-00002358,Original,2026-05-05 11:41:24,EMP-0089,REG-01,PH-005,
RCT-0000219,TXN-0002214,RCP-00002214,Original,2026-05-05 11:42:46,EMP-0057,REG-06,PH-003,
RCT-0000220,TXN-0004857,RCP-00004857,Original,2026-05-05 11:53:17,EMP-0078,REG-06,PH-004,
RCT-0000221,TXN-0001338,RCP-00001338,Original,2026-05-05 12:05:58,EMP-0086,REG-01,PH-004,
RCT-0000222,TXN-0000221,RCP-00000221,Original,2026-05-05 12:24:07,EMP-0040,REG-04,PH-002,
RCT-0000223,TXN-0004850,RCP-00004850,Original,2026-05-05 12:43:06,EMP-0084,REG-01,PH-004,
RCT-0000224,TXN-0000038,RCP-00000038,Original,2026-05-05 13:26:15,EMP-0089,REG-06,PH-005,
RCT-0000225,TXN-0004772,RCP-00004772,Original,2026-05-05 13:56:33,EMP-0091,REG-04,PH-005,
RCT-0000226,TXN-0002056,RCP-00002056,Original,2026-05-05 14:17:24,EMP-0047,REG-04,PH-003,
RCT-0000227,TXN-0003655,RCP-00003655,Original,2026-05-05 14:21:42,EMP-0014,REG-01,PH-001,
RCT-0000228,TXN-0004371,RCP-00004371,Original,2026-05-05 14:30:36,EMP-0012,REG-02,PH-001,
RCT-0000229,TXN-0002916,RCP-00002916,Original,2026-05-05 14:59:11,EMP-0020,REG-05,PH-001,
RCT-0000230,TXN-0004592,RCP-00004592,Original,2026-05-05 15:02:02,EMP-0089,REG-01,PH-005,
RCT-0000231,TXN-0002590,RCP-00002590,Original,2026-05-05 15:18:04,EMP-0081,REG-04,PH-004,
RCT-0000232,TXN-0003285,RCP-00003285,Original,2026-05-05 15:23:55,EMP-0046,REG-04,PH-003,
RCT-0000233,TXN-0002057,RCP-00002057,Original,2026-05-05 15:29:24,EMP-0104,REG-03,PH-005,
RCT-0000234,TXN-0000209,RCP-00000209,Original,2026-05-05 15:42:21,EMP-0003,REG-04,PH-001,
RCT-0000235,TXN-0004370,RCP-00004370,Original,2026-05-05 15:50:52,EMP-0060,REG-01,PH-003,
RCT-0000236,TXN-0003976,RCP-00003976,Original,2026-05-05 15:58:07,EMP-0019,REG-02,PH-001,
RCT-0000237,TXN-0003229,RCP-00003229,Original,2026-05-05 15:58:50,EMP-0106,REG-02,PH-005,
RCT-0000238,TXN-0003779,RCP-00003779,Original,2026-05-05 16:12:06,EMP-0101,REG-04,PH-005,
RCT-0000239,TXN-0002088,RCP-00002088,Original,2026-05-05 16:13:55,EMP-0083,REG-03,PH-004,
