refund_id,refund_transaction_id,original_transaction_id,store_id,register_id,employee_id,approving_manager_id,customer_id,refund_datetime,refund_amount,refund_method,refund_reason,original_receipt_present,days_after_purchase,manager_override,risk_score,flagged,flag_reason
REF-000049,RTX-000049,TXN-0003724,PH-001,REG-05,EMP-0006,EMP-0003,CUS-00070,2026-07-08 14:16:00,30.73,Gift Card,No Receipt,True,63,True,15,False,
REF-000050,RTX-000050,TXN-0000050,PH-001,REG-02,EMP-0006,EMP-0013,CUS-01110,2026-07-23 12:08:00,75.83,Cash,Customer Changed Mind,True,44,True,35,False,High value
REF-000051,RTX-000051,TXN-0000857,PH-001,REG-02,EMP-0006,EMP-0002,CUS-00642,2026-07-02 12:43:00,61.35,Cash,Incorrect Product,True,3,True,15,False,
REF-000052,RTX-000052,TXN-0003494,PH-001,REG-02,EMP-0006,EMP-0003,,2026-07-23 20:05:00,73.95,Cash,No Receipt,True,53,True,35,False,After 8 PM
REF-000053,RTX-000053,TXN-0002407,PH-001,REG-05,EMP-0006,EMP-0012,CUS-00612,2026-07-16 20:01:00,34.76,Gift Card,Incorrect Product,True,18,True,35,False,After 8 PM
REF-000054,RTX-000054,TXN-0003655,PH-001,REG-06,EMP-0006,EMP-0013,CUS-02478,2026-07-17 20:32:00,63.8,Original Payment,Customer Changed Mind,True,73,True,35,False,After 8 PM
REF-000055,RTX-000055,TXN-0000356,PH-001,REG-03,EMP-0006,EMP-0013,CUS-03693,2026-07-27 12:22:00,70.66,Gift Card,Other,True,7,True,15,False,
REF-000056,RTX-000056,TXN-0001513,PH-001,REG-02,EMP-0006,EMP-0012,CUS-03840,2026-07-03 13:04:00,21.5,Original Payment,Customer Changed Mind,True,51,True,15,False,
REF-000057,RTX-000057,TXN-0003335,PH-001,REG-06,EMP-0006,EMP-0002,CUS-01647,2026-07-20 20:14:00,65.49,Gift Card,Customer Changed Mind,True,80,True,35,False,After 8 PM
REF-000058,RTX-000058,TXN-0001861,PH-001,REG-06,EMP-0006,EMP-0012,CUS-02292,2026-07-28 14:28:00,9.09,Cash,Incorrect Product,True,13,True,15,False,
REF-000059,RTX-000059,TXN-0000700,PH-001,REG-03,EMP-0006,EMP-0013,CUS-04245,2026-07-16 12:12:00,43.58,Original Payment,Customer Changed Mind,True,37,True,15,False,
REF-000060,RTX-000060,TXN-0002066,PH-001,REG-06,EMP-0006,EMP-0003,CUS-04696,2026-07-25 12:01:00,50.48,Cash,Incorrect Product,True,12,True,15,False,
REF-000061,RTX-000061,TXN-0001522,PH-003,REG-02,EMP-0045,EMP-0045,CUS-02097,2026-07-13 13:53:40,97.94,Gift Card,Incorrect Product,True,2,True,35,False,High value
REF-000062,RTX-000062,TXN-0000112,PH-003,REG-06,EMP-0056,EMP-0057,CUS-00203,2026-07-23 17:12:30,36.26,Cash,No Receipt,True,14,True,15,False,
REF-000063,RTX-000063,TXN-0001869,PH-002,REG-05,EMP-0035,EMP-0023,,2026-08-08 23:41:49,29.63,Original Payment,Other,True,13,True,35,False,After 8 PM
REF-000064,RTX-000064,TXN-0001659,PH-003,REG-06,EMP-0060,EMP-0045,,2026-07-26 21:32:24,20.22,Cash,Product Defective,False,20,True,70,True,No receipt; After 8 PM
REF-000065,RTX-000065,TXN-0001259,PH-005,REG-03,EMP-0103,EMP-0090,CUS-04678,2026-07-12 12:44:45,42.88,Gift Card,No Receipt,True,9,True,15,False,
REF-000066,RTX-000066,TXN-0002385,PH-004,REG-06,EMP-0080,EMP-0078,,2026-06-18 00:28:20,144.86,Original Payment,Other,True,9,True,35,False,High value
REF-000067,RTX-000067,TXN-0001574,PH-003,REG-06,EMP-0057,EMP-0045,CUS-01836,2026-05-18 12:43:02,2.8,Gift Card,Customer Changed Mind,True,4,True,15,False,
REF-000068,RTX-000068,TXN-0000223,PH-005,REG-05,EMP-0089,EMP-0101,CUS-00255,2026-06-13 15:05:43,58.49,Original Payment,Product Defective,True,25,True,15,False,
REF-000069,RTX-000069,TXN-0001151,PH-003,REG-05,EMP-0062,EMP-0047,,2026-06-07 15:54:59,58.94,Cash,Incorrect Product,True,3,True,15,False,
REF-000070,RTX-000070,TXN-0001650,PH-005,REG-04,EMP-0091,EMP-0100,CUS-02591,2026-05-19 13:31:26,42.07,Cash,Customer Changed Mind,True,3,True,15,False,
REF-000071,RTX-000071,TXN-0002774,PH-003,REG-05,EMP-0045,EMP-0047,,2026-07-29 17:49:21,47.49,Cash,Customer Changed Mind,True,25,True,15,False,
REF-000072,RTX-000072,TXN-0002161,PH-001,REG-04,EMP-0002,EMP-0001,CUS-04842,2026-07-23 08:45:42,132.43,Gift Card,Customer Changed Mind,True,21,True,35,False,High value
REF-000073,RTX-000073,TXN-0000561,PH-005,REG-06,EMP-0105,EMP-0091,CUS-01096,2026-06-01 23:05:33,86.07,Original Payment,Other,True,12,True,55,True,After 8 PM; High value
REF-000074,RTX-000074,TXN-0003184,PH-001,REG-03,EMP-0016,EMP-0012,CUS-00499,2026-05-28 20:06:24,41.35,Gift Card,Other,True,10,True,35,False,After 8 PM
REF-000075,RTX-000075,TXN-0004622,PH-004,REG-05,EMP-0084,EMP-0068,CUS-00674,2026-07-05 12:09:33,18.75,Gift Card,Product Defective,True,22,True,15,False,
REF-000076,RTX-000076,TXN-0003734,PH-002,REG-01,EMP-0024,EMP-0023,CUS-02030,2026-05-25 16:45:21,152.18,Cash,Other,False,1,True,70,True,No receipt; High value
REF-000077,RTX-000077,TXN-0001511,PH-001,REG-03,EMP-0018,EMP-0001,CUS-04734,2026-05-11 16:17:31,77.49,Gift Card,Product Defective,True,4,True,35,False,High value
REF-000078,RTX-000078,TXN-0000254,PH-005,REG-01,EMP-0104,EMP-0091,,2026-07-23 01:14:36,72.19,Original Payment,Incorrect Product,True,26,True,15,False,
REF-000079,RTX-000079,TXN-0003401,PH-002,REG-03,EMP-0037,EMP-0035,CUS-03267,2026-08-06 21:26:12,41.08,Original Payment,Product Defective,True,10,True,35,False,After 8 PM
REF-000080,RTX-000080,TXN-0001680,PH-005,REG-02,EMP-0101,EMP-0091,CUS-01238,2026-06-08 14:06:40,66.69,Original Payment,Other,True,15,True,15,False,
REF-000081,RTX-000081,TXN-0003398,PH-003,REG-01,EMP-0059,EMP-0047,CUS-04671,2026-07-02 20:54:30,4.1,Gift Card,Customer Changed Mind,True,23,True,35,False,After 8 PM
REF-000082,RTX-000082,TXN-0002519,PH-005,REG-06,EMP-0100,EMP-0090,,2026-08-02 15:03:37,96.78,Original Payment,Incorrect Product,True,13,True,35,False,High value
REF-000083,RTX-000083,TXN-0004623,PH-003,REG-01,EMP-0047,EMP-0046,CUS-02817,2026-08-09 14:07:33,99.83,Gift Card,Customer Changed Mind,True,22,True,35,False,High value
REF-000084,RTX-000084,TXN-0001248,PH-001,REG-01,EMP-0015,EMP-0003,CUS-01350,2026-05-17 19:26:25,37.85,Original Payment,No Receipt,True,7,True,15,False,
REF-000085,RTX-000085,TXN-0001900,PH-004,REG-02,EMP-0067,EMP-0079,CUS-02079,2026-07-25 14:55:21,36.36,Original Payment,Product Defective,True,13,True,15,False,
REF-000086,RTX-000086,TXN-0001287,PH-003,REG-06,EMP-0062,EMP-0056,CUS-03271,2026-07-02 16:59:59,109.71,Cash,Customer Changed Mind,True,25,True,35,False,High value
REF-000087,RTX-000087,TXN-0000481,PH-005,REG-01,EMP-0100,EMP-0090,,2026-07-11 12:52:53,66.76,Gift Card,Other,True,23,True,15,False,
REF-000088,RTX-000088,TXN-0003008,PH-004,REG-03,EMP-0067,EMP-0069,CUS-03950,2026-06-26 11:18:32,39.16,Cash,Incorrect Product,True,12,True,15,False,
REF-000089,RTX-000089,TXN-0000851,PH-003,REG-05,EMP-0064,EMP-0056,CUS-02729,2026-06-04 11:10:32,37.71,Gift Card,Customer Changed Mind,True,4,True,15,False,
REF-000090,RTX-000090,TXN-0003915,PH-005,REG-06,EMP-0108,EMP-0100,,2026-06-04 08:49:39,25.67,Original Payment,Other,True,6,True,15,False,
REF-000091,RTX-000091,TXN-0003492,PH-004,REG-06,EMP-0067,EMP-0078,CUS-01026,2026-06-21 10:08:09,2.95,Gift Card,No Receipt,True,2,True,15,False,
REF-000092,RTX-000092,TXN-0001896,PH-004,REG-04,EMP-0079,EMP-0078,CUS-04319,2026-06-28 22:12:10,33.77,Original Payment,Incorrect Product,True,4,True,35,False,After 8 PM
REF-000093,RTX-000093,TXN-0003285,PH-003,REG-02,EMP-0057,EMP-0056,CUS-00432,2026-05-25 19:22:55,22.96,Original Payment,Product Defective,True,20,True,15,False,
REF-000094,RTX-000094,TXN-0004251,PH-004,REG-05,EMP-0083,EMP-0067,,2026-05-24 14:25:25,2.92,Gift Card,Product Defective,True,10,True,15,False,
REF-000095,RTX-000095,TXN-0000298,PH-004,REG-01,EMP-0079,EMP-0069,CUS-04369,2026-06-14 00:31:10,11.4,Gift Card,Incorrect Product,True,23,True,15,False,
REF-000096,RTX-000096,TXN-0002563,PH-003,REG-06,EMP-0047,EMP-0047,,2026-05-26 21:56:19,8.8,Cash,Other,True,5,True,35,False,After 8 PM
REF-000097,RTX-000097,TXN-0003459,PH-005,REG-01,EMP-0105,EMP-0089,CUS-04287,2026-07-19 19:58:10,51.52,Cash,Product Defective,True,20,True,15,False,
REF-000098,RTX-000098,TXN-0003705,PH-003,REG-02,EMP-0061,EMP-0046,,2026-05-28 17:31:43,70.66,Original Payment,Incorrect Product,True,4,True,15,False,
REF-000099,RTX-000099,TXN-0003044,PH-002,REG-04,EMP-0037,EMP-0025,CUS-04097,2026-06-19 19:10:43,27.78,Cash,Product Defective,True,23,True,15,False,
REF-000100,RTX-000100,TXN-0002974,PH-001,REG-04,EMP-0012,EMP-0002,CUS-01155,2026-07-21 13:20:55,35.11,Original Payment,Customer Changed Mind,True,12,True,15,False,
REF-000101,RTX-000101,TXN-0003706,PH-005,REG-03,EMP-0091,EMP-0101,CUS-01847,2026-05-26 20:29:01,35.39,Gift Card,No Receipt,True,18,True,35,False,After 8 PM
REF-000102,RTX-000102,TXN-0002288,PH-001,REG-04,EMP-0014,EMP-0002,CUS-04358,2026-06-08 21:45:30,2.92,Gift Card,Product Defective,True,6,True,35,False,After 8 PM
REF-000103,RTX-000103,TXN-0004447,PH-005,REG-03,EMP-0102,EMP-0101,,2026-07-25 19:27:33,103.2,Gift Card,Product Defective,True,23,True,35,False,High value
REF-000104,RTX-000104,TXN-0001561,PH-004,REG-06,EMP-0068,EMP-0069,CUS-01867,2026-05-04 21:47:26,13.91,Cash,Incorrect Product,True,3,True,35,False,After 8 PM
REF-000105,RTX-000105,TXN-0003833,PH-004,REG-04,EMP-0085,EMP-0079,CUS-02349,2026-06-29 19:29:32,55.27,Original Payment,Other,True,15,True,15,False,
REF-000106,RTX-000106,TXN-0002549,PH-005,REG-02,EMP-0103,EMP-0101,CUS-01971,2026-08-17 15:38:22,38.99,Cash,Incorrect Product,True,25,True,15,False,
REF-000107,RTX-000107,TXN-0000036,PH-001,REG-05,EMP-0013,EMP-0002,,2026-08-06 19:58:24,67.87,Gift Card,Other,True,22,True,15,False,
REF-000108,RTX-000108,TXN-0002660,PH-002,REG-06,EMP-0039,EMP-0025,CUS-01395,2026-08-12 17:24:21,4.89,Gift Card,Incorrect Product,False,15,True,50,True,No receipt
REF-000109,RTX-000109,TXN-0004320,PH-005,REG-01,EMP-0107,EMP-0089,,2026-06-30 21:30:26,29.33,Cash,Other,True,2,True,35,False,After 8 PM
REF-000110,RTX-000110,TXN-0002412,PH-003,REG-01,EMP-0058,EMP-0046,CUS-02687,2026-07-24 10:29:40,13.82,Cash,Incorrect Product,True,17,True,15,False,
REF-000111,RTX-000111,TXN-0004967,PH-002,REG-03,EMP-0034,EMP-0034,CUS-03261,2026-06-23 10:03:22,59.86,Gift Card,No Receipt,True,9,True,15,False,
REF-000112,RTX-000112,TXN-0000958,PH-004,REG-01,EMP-0069,EMP-0069,CUS-04351,2026-05-14 15:45:11,1.61,Cash,Other,True,1,True,15,False,
REF-000113,RTX-000113,TXN-0002354,PH-001,REG-05,EMP-0001,EMP-0013,CUS-04002,2026-08-04 18:38:52,31.3,Original Payment,Incorrect Product,True,20,True,15,False,
REF-000114,RTX-000114,TXN-0001420,PH-005,REG-05,EMP-0089,EMP-0090,CUS-04164,2026-06-11 13:38:52,15.08,Gift Card,Product Defective,True,4,True,15,False,
REF-000115,RTX-000115,TXN-0001215,PH-001,REG-06,EMP-0003,EMP-0001,,2026-08-03 23:54:13,82.74,Original Payment,Product Defective,True,6,True,55,True,After 8 PM; High value
REF-000116,RTX-000116,TXN-0004733,PH-001,REG-03,EMP-0018,EMP-0012,,2026-06-22 15:22:20,305.16,Original Payment,Product Defective,True,17,True,35,False,High value
REF-000117,RTX-000117,TXN-0000413,PH-002,REG-06,EMP-0024,EMP-0035,CUS-03158,2026-06-18 15:18:09,278.69,Cash,Product Defective,True,14,True,35,False,High value
REF-000118,RTX-000118,TXN-0001482,PH-001,REG-03,EMP-0003,EMP-0002,CUS-04962,2026-06-08 17:47:02,26.35,Original Payment,Product Defective,True,16,True,15,False,
REF-000119,RTX-000119,TXN-0002963,PH-005,REG-05,EMP-0108,EMP-0090,,2026-08-15 18:44:00,103.02,Cash,Incorrect Product,True,23,True,35,False,High value
REF-000120,RTX-000120,TXN-0004385,PH-004,REG-05,EMP-0069,EMP-0078,,2026-05-22 19:51:33,68.21,Gift Card,Incorrect Product,True,17,True,15,False,
REF-000121,RTX-000121,TXN-0001681,PH-001,REG-04,EMP-0019,EMP-0013,CUS-04517,2026-07-17 20:06:19,100.47,Gift Card,Product Defective,True,24,True,55,True,After 8 PM; High value
REF-000122,RTX-000122,TXN-0003993,PH-001,REG-06,EMP-0018,EMP-0003,CUS-00593,2026-07-23 22:28:41,42.43,Gift Card,Product Defective,False,9,True,70,True,No receipt; After 8 PM
REF-000123,RTX-000123,TXN-0002730,PH-005,REG-04,EMP-0107,EMP-0091,CUS-03772,2026-07-21 09:18:31,57.56,Cash,Product Defective,True,6,True,15,False,
REF-000124,RTX-000124,TXN-0001095,PH-002,REG-06,EMP-0042,EMP-0025,,2026-07-03 18:29:45,3.29,Gift Card,No Receipt,True,6,True,15,False,
REF-000125,RTX-000125,TXN-0001255,PH-003,REG-03,EMP-0063,EMP-0046,CUS-00234,2026-06-27 13:16:30,3.78,Cash,Customer Changed Mind,True,1,True,15,False,
REF-000126,RTX-000126,TXN-0003865,PH-004,REG-03,EMP-0083,EMP-0067,CUS-00789,2026-07-03 00:10:50,157.46,Cash,Incorrect Product,True,18,True,35,False,High value
REF-000127,RTX-000127,TXN-0003284,PH-003,REG-01,EMP-0057,EMP-0045,CUS-04390,2026-05-19 20:31:45,238.56,Original Payment,Product Defective,False,15,True,90,True,No receipt; After 8 PM; High value
REF-000128,RTX-000128,TXN-0003342,PH-005,REG-03,EMP-0106,EMP-0100,CUS-02056,2026-07-25 11:07:45,29.67,Cash,Other,True,22,True,15,False,
REF-000129,RTX-000129,TXN-0004662,PH-002,REG-01,EMP-0040,EMP-0034,,2026-06-16 12:36:10,57.63,Gift Card,Other,True,14,True,15,False,
REF-000130,RTX-000130,TXN-0000482,PH-001,REG-06,EMP-0017,EMP-0003,,2026-06-05 18:03:14,38.87,Cash,Customer Changed Mind,True,8,True,15,False,
REF-000131,RTX-000131,TXN-0004853,PH-005,REG-04,EMP-0102,EMP-0090,CUS-02749,2026-07-23 22:02:34,9.34,Cash,Incorrect Product,True,1,True,35,False,After 8 PM
REF-000132,RTX-000132,TXN-0004715,PH-004,REG-05,EMP-0081,EMP-0078,CUS-02910,2026-08-06 16:38:15,53.25,Gift Card,Customer Changed Mind,True,16,True,15,False,
REF-000133,RTX-000133,TXN-0004375,PH-005,REG-04,EMP-0107,EMP-0090,CUS-02210,2026-07-08 19:03:54,39.85,Cash,Product Defective,True,24,True,15,False,
REF-000134,RTX-000134,TXN-0002314,PH-003,REG-03,EMP-0059,EMP-0046,CUS-03152,2026-07-03 21:38:11,103.88,Gift Card,Other,True,15,True,55,True,After 8 PM; High value
REF-000135,RTX-000135,TXN-0000650,PH-003,REG-06,EMP-0059,EMP-0047,CUS-03640,2026-06-04 23:55:49,85.63,Original Payment,Customer Changed Mind,True,18,True,55,True,After 8 PM; High value
REF-000136,RTX-000136,TXN-0001489,PH-002,REG-04,EMP-0024,EMP-0023,CUS-01961,2026-08-14 14:07:47,64.99,Cash,Product Defective,True,16,True,15,False,
REF-000137,RTX-000137,TXN-0001111,PH-002,REG-03,EMP-0041,EMP-0034,CUS-00168,2026-08-25 19:50:19,44.17,Gift Card,No Receipt,True,25,True,15,False,
REF-000138,RTX-000138,TXN-0000667,PH-001,REG-05,EMP-0001,EMP-0003,,2026-05-26 21:24:01,38.39,Gift Card,No Receipt,True,9,True,35,False,After 8 PM
REF-000139,RTX-000139,TXN-0000810,PH-005,REG-05,EMP-0102,EMP-0101,CUS-00918,2026-05-29 13:37:30,129.66,Gift Card,No Receipt,True,4,True,35,False,High value
REF-000140,RTX-000140,TXN-0001361,PH-002,REG-06,EMP-0042,EMP-0024,,2026-05-26 08:23:24,20.28,Cash,Other,True,6,True,15,False,
REF-000141,RTX-000141,TXN-0002984,PH-001,REG-01,EMP-0018,EMP-0013,,2026-07-28 21:28:54,80.47,Gift Card,Customer Changed Mind,True,2,True,55,True,After 8 PM; High value
REF-000142,RTX-000142,TXN-0001239,PH-002,REG-02,EMP-0042,EMP-0023,CUS-04619,2026-05-14 21:48:52,47.02,Original Payment,Product Defective,True,11,True,35,False,After 8 PM
REF-000143,RTX-000143,TXN-0000881,PH-001,REG-06,EMP-0012,EMP-0013,CUS-04363,2026-06-17 20:18:19,30.41,Original Payment,Customer Changed Mind,True,21,True,35,False,After 8 PM
REF-000144,RTX-000144,TXN-0000334,PH-002,REG-05,EMP-0042,EMP-0035,CUS-03854,2026-07-28 23:19:01,3.75,Original Payment,Incorrect Product,False,12,True,70,True,No receipt; After 8 PM
REF-000145,RTX-000145,TXN-0003223,PH-005,REG-06,EMP-0091,EMP-0100,CUS-03128,2026-06-19 09:26:13,72.7,Gift Card,No Receipt,True,14,True,15,False,
REF-000146,RTX-000146,TXN-0002185,PH-005,REG-05,EMP-0103,EMP-0089,CUS-00517,2026-07-06 17:32:30,11.68,Original Payment,Product Defective,True,7,True,15,False,
REF-000147,RTX-000147,TXN-0001951,PH-005,REG-04,EMP-0107,EMP-0101,CUS-03489,2026-07-19 14:59:14,51.31,Gift Card,Product Defective,True,14,True,15,False,
