transaction_item_id,transaction_id,product_id,quantity,unit_price,unit_cost,discount_amount,tax_amount,line_total,override_applied,override_employee_id,department
LI-00000196,TXN-0000046,PRD-00782,1,21.75,10.91,0,1.79,21.75,False,,Grocery
LI-00000197,TXN-0000046,PRD-00335,1,46.97,25.49,0,3.88,46.97,False,,Seasonal
LI-00000198,TXN-0000046,PRD-00749,1,19.74,14.11,0,1.63,19.74,False,,Grocery
LI-00000199,TXN-0000046,PRD-00413,1,33.36,15.93,0,2.75,33.36,False,,First Aid
LI-00000200,TXN-0000047,PRD-00772,2,30.77,20.23,0,5.08,61.54,False,,Household
LI-00000201,TXN-0000047,PRD-00123,4,30.82,15.54,0,10.17,123.28,False,,Vitamins & Supplements
LI-00000202,TXN-0000047,PRD-00105,1,6.63,4.46,0,0.55,6.63,False,,Seasonal
LI-00000203,TXN-0000048,PRD-00224,1,5.6,2.78,2.8,0.23,2.8,True,EMP-0023,Beauty
LI-00000204,TXN-0000048,PRD-00307,1,38.99,21.69,0,3.22,38.99,False,,Beverages
LI-00000205,TXN-0000048,PRD-00523,1,25.64,13.16,0,2.12,25.64,False,,First Aid
LI-00000206,TXN-0000048,PRD-00494,4,1.37,1.0,0.27,0.43,5.21,False,,Vitamins & Supplements
LI-00000207,TXN-0000048,PRD-00770,1,4.31,2.61,0,0.36,4.31,False,,Vitamins & Supplements
LI-00000208,TXN-0000049,PRD-00585,3,48.0,22.88,0,11.88,144.0,False,,First Aid
LI-00000209,TXN-0000049,PRD-00740,1,41.75,27.49,10.44,2.58,31.31,True,EMP-0078,Grocery
LI-00000210,TXN-0000049,PRD-00124,1,37.8,19.99,0,3.12,37.8,False,,Beverages
LI-00000211,TXN-0000049,PRD-00623,4,45.23,30.54,0,14.93,180.92,False,,Household
LI-00000212,TXN-0000049,PRD-00291,1,13.91,6.91,0,1.15,13.91,False,,Seasonal
LI-00000213,TXN-0000049,PRD-00265,1,28.83,18.07,0,2.38,28.83,False,,Vitamins & Supplements
LI-00000214,TXN-0000050,PRD-00436,1,38.63,26.82,0,3.19,38.63,False,,OTC Medication
LI-00000215,TXN-0000050,PRD-00728,1,44.17,21.15,0,3.64,44.17,False,,OTC Medication
LI-00000216,TXN-0000050,PRD-00388,1,31.66,22.66,0,2.61,31.66,False,,Personal Care
LI-00000217,TXN-0000051,PRD-00691,1,17.1,11.74,0,1.41,17.1,False,,OTC Medication
LI-00000218,TXN-0000051,PRD-00795,1,36.92,27.11,0,3.05,36.92,False,,First Aid
LI-00000219,TXN-0000051,PRD-00650,1,11.68,8.66,0,0.96,11.68,False,,Seasonal
LI-00000220,TXN-0000051,PRD-00490,1,36.63,23.47,0,3.02,36.63,False,,Vitamins & Supplements
LI-00000221,TXN-0000052,PRD-00740,1,41.75,27.49,0,3.44,41.75,False,,Grocery
LI-00000222,TXN-0000052,PRD-00759,2,44.06,32.45,0,7.27,88.12,False,,Beverages
LI-00000223,TXN-0000053,PRD-00226,1,41.21,30.78,0,3.4,41.21,False,,Snacks
LI-00000224,TXN-0000053,PRD-00572,1,72.3,33.51,0,5.96,72.3,False,,Grocery
LI-00000225,TXN-0000053,PRD-00366,1,14.62,9.25,0,1.21,14.62,False,,Household
LI-00000226,TXN-0000053,PRD-00319,1,50.44,28.34,0,4.16,50.44,False,,Personal Care
LI-00000227,TXN-0000054,PRD-00141,1,53.49,25.66,0,4.41,53.49,False,,Beverages
LI-00000228,TXN-0000054,PRD-00321,1,43.0,30.45,6.45,3.02,36.55,False,,Personal Care
LI-00000229,TXN-0000054,PRD-00709,1,53.18,27.96,0,4.39,53.18,False,,Medical Supplies
LI-00000230,TXN-0000054,PRD-00513,4,26.35,14.63,0,8.7,105.4,False,,Beverages
LI-00000231,TXN-0000055,PRD-00351,1,15.36,9.13,1.54,1.14,13.82,False,,First Aid
LI-00000232,TXN-0000055,PRD-00299,1,34.67,15.0,0,2.86,34.67,False,,OTC Medication
LI-00000233,TXN-0000055,PRD-00409,2,67.11,30.89,0,11.07,134.22,False,,Vitamins & Supplements
LI-00000234,TXN-0000055,PRD-00641,1,26.35,11.1,0,2.17,26.35,False,,Medical Supplies
LI-00000235,TXN-0000055,PRD-00309,1,7.59,4.76,0,0.63,7.59,False,,Household
LI-00000236,TXN-0000055,PRD-00536,1,16.08,7.79,1.61,1.19,14.47,False,,Beverages
LI-00000237,TXN-0000056,PRD-00289,1,11.81,7.63,2.36,0.78,9.45,False,,Beauty
LI-00000238,TXN-0000056,PRD-00419,1,44.29,29.44,8.86,2.92,35.43,False,,Seasonal
LI-00000239,TXN-0000056,PRD-00418,1,15.36,9.04,0,1.27,15.36,False,,Medical Supplies
LI-00000240,TXN-0000056,PRD-00368,1,2.44,1.16,0,0.2,2.44,False,,Snacks
LI-00000241,TXN-0000056,PRD-00385,1,68.02,33.24,0,5.61,68.02,False,,Household
LI-00000242,TXN-0000057,PRD-00749,4,19.74,14.11,7.9,5.86,71.06,False,,Grocery
LI-00000243,TXN-0000057,PRD-00166,1,41.56,22.63,0,3.43,41.56,False,,Vitamins & Supplements
LI-00000244,TXN-0000057,PRD-00483,1,20.18,11.46,1.01,1.58,19.17,False,,Grocery
LI-00000245,TXN-0000058,PRD-00069,1,66.76,31.86,0,5.51,66.76,False,,Beverages
LI-00000246,TXN-0000058,PRD-00236,2,9.63,4.59,0,1.59,19.26,False,,Beverages
LI-00000247,TXN-0000058,PRD-00665,1,44.92,33.64,0,3.71,44.92,False,,Beauty
LI-00000248,TXN-0000058,PRD-00237,1,30.22,15.88,0,2.49,30.22,False,,Personal Care
LI-00000249,TXN-0000058,PRD-00285,2,9.92,6.56,0,1.64,19.84,False,,Seasonal
LI-00000250,TXN-0000058,PRD-00351,4,15.36,9.13,0,5.07,61.44,False,,First Aid
LI-00000251,TXN-0000059,PRD-00169,1,3.6,2.24,0,0.3,3.6,False,,Vitamins & Supplements
LI-00000252,TXN-0000059,PRD-00584,1,22.06,13.55,0,1.82,22.06,False,,Beauty
LI-00000253,TXN-0000059,PRD-00263,1,39.05,17.47,0,3.22,39.05,False,,Personal Care
LI-00000254,TXN-0000059,PRD-00741,1,9.41,6.84,0,0.78,9.41,False,,Household
LI-00000255,TXN-0000059,PRD-00529,1,19.53,13.95,0,1.61,19.53,False,,Snacks
LI-00000256,TXN-0000060,PRD-00291,1,13.91,6.91,0,1.15,13.91,False,,Seasonal
LI-00000257,TXN-0000060,PRD-00469,3,16.18,7.17,0,4.0,48.54,False,,Vitamins & Supplements
LI-00000258,TXN-0000060,PRD-00795,1,36.92,27.11,0,3.05,36.92,False,,First Aid
LI-00000259,TXN-0000060,PRD-00475,1,28.69,14.89,0,2.37,28.69,False,,Beauty
LI-00000260,TXN-0000061,PRD-00535,1,51.16,25.04,0,4.22,51.16,False,,Grocery
LI-00000261,TXN-0000061,PRD-00562,1,32.73,21.74,0,2.7,32.73,False,,Grocery
LI-00000262,TXN-0000062,PRD-00571,1,40.42,23.81,2.02,3.17,38.4,False,,Personal Care
LI-00000263,TXN-0000062,PRD-00692,1,8.62,6.14,0,0.71,8.62,False,,Snacks
LI-00000264,TXN-0000062,PRD-00516,1,23.2,16.03,0,1.91,23.2,False,,Seasonal
LI-00000265,TXN-0000062,PRD-00177,1,16.24,11.75,0,1.34,16.24,False,,Seasonal
LI-00000266,TXN-0000063,PRD-00230,1,34.35,23.67,0,2.83,34.35,False,,Grocery
LI-00000267,TXN-0000063,PRD-00090,3,16.77,8.79,0,4.15,50.31,False,,Beverages
LI-00000268,TXN-0000063,PRD-00779,1,31.84,22.93,0,2.63,31.84,False,,Personal Care
