refund_item_id,refund_id,product_id,quantity,original_unit_price,refunded_amount,returned_to_inventory,item_condition,disposal_required
RLI-0000037,REF-000026,PRD-00060,1,37.9,30.32,True,Resellable,False
RLI-0000038,REF-000027,PRD-00436,1,38.63,32.84,True,Resellable,False
RLI-0000039,REF-000027,PRD-00071,1,46.51,46.51,True,Resellable,False
RLI-0000040,REF-000028,PRD-00657,1,34.01,34.01,True,Resellable,False
RLI-0000041,REF-000029,PRD-00034,1,33.7,33.7,True,Resellable,False
RLI-0000042,REF-000030,PRD-00456,1,30.73,30.73,True,Resellable,False
RLI-0000043,REF-000030,PRD-00379,2,12.23,24.46,True,Resellable,False
RLI-0000044,REF-000031,PRD-00592,1,47.09,47.09,True,Resellable,False
RLI-0000045,REF-000032,PRD-00430,1,51.17,51.17,True,Resellable,False
RLI-0000046,REF-000033,PRD-00531,1,51.58,51.58,True,Resellable,False
RLI-0000047,REF-000034,PRD-00283,1,7.13,7.13,True,Resellable,False
RLI-0000048,REF-000034,PRD-00238,2,8.6,17.2,True,Resellable,False
RLI-0000049,REF-000035,PRD-00500,1,15.34,15.34,True,Resellable,False
RLI-0000050,REF-000035,PRD-00133,1,40.7,40.7,True,Resellable,False
RLI-0000051,REF-000036,PRD-00461,1,64.63,64.63,True,Resellable,False
RLI-0000052,REF-000036,PRD-00498,1,22.62,21.49,True,Resellable,False
RLI-0000053,REF-000037,PRD-00430,4,51.17,204.68,True,Resellable,False
RLI-0000054,REF-000037,PRD-00154,1,7.19,7.19,True,Resellable,False
RLI-0000055,REF-000038,PRD-00663,1,27.78,27.78,True,Resellable,False
RLI-0000056,REF-000038,PRD-00199,1,14.83,14.83,True,Resellable,False
RLI-0000057,REF-000039,PRD-00255,1,50.91,50.91,True,Resellable,False
RLI-0000058,REF-000040,PRD-00657,2,34.01,68.02,True,Resellable,False
RLI-0000059,REF-000041,PRD-00005,1,2.92,2.92,True,Resellable,False
RLI-0000060,REF-000042,PRD-00069,1,66.76,66.76,True,Resellable,False
RLI-0000061,REF-000043,PRD-00180,4,56.67,192.68,True,Resellable,False
RLI-0000062,REF-000044,PRD-00374,1,16.55,13.24,True,Resellable,False
RLI-0000063,REF-000045,PRD-00513,1,26.35,26.35,True,Resellable,False
RLI-0000064,REF-000045,PRD-00716,1,35.19,35.19,True,Resellable,False
RLI-0000065,REF-000046,PRD-00309,1,7.59,7.59,True,Resellable,False
RLI-0000066,REF-000047,PRD-00580,4,34.63,138.52,True,Resellable,False
RLI-0000067,REF-000047,PRD-00203,1,8.06,6.85,True,Resellable,False
RLI-0000068,REF-000048,PRD-00144,1,5.12,5.12,True,Resellable,False
RLI-0000069,REF-000049,PRD-00761,1,14.49,14.49,True,Resellable,False
RLI-0000070,REF-000049,PRD-00177,1,16.24,16.24,True,Resellable,False
RLI-0000071,REF-000050,PRD-00388,1,31.66,31.66,True,Resellable,False
RLI-0000072,REF-000050,PRD-00728,1,44.17,44.17,True,Resellable,False
RLI-0000073,REF-000051,PRD-00787,1,30.2,30.2,True,Resellable,False
RLI-0000074,REF-000051,PRD-00638,1,32.79,31.15,True,Resellable,False
RLI-0000075,REF-000052,PRD-00456,1,30.73,30.73,True,Resellable,False
RLI-0000076,REF-000052,PRD-00068,1,43.22,43.22,True,Resellable,False
RLI-0000077,REF-000053,PRD-00588,1,1.92,1.92,True,Resellable,False
RLI-0000078,REF-000053,PRD-00445,1,32.84,32.84,True,Resellable,False
RLI-0000079,REF-000054,PRD-00058,1,63.8,63.8,True,Resellable,False
RLI-0000080,REF-000055,PRD-00776,1,70.66,70.66,True,Resellable,False
RLI-0000081,REF-000056,PRD-00251,1,22.63,21.5,True,Resellable,False
RLI-0000082,REF-000057,PRD-00511,1,12.31,12.31,True,Resellable,False
RLI-0000083,REF-000057,PRD-00709,1,53.18,53.18,True,Resellable,False
RLI-0000084,REF-000058,PRD-00399,1,10.1,9.09,True,Resellable,False
RLI-0000085,REF-000059,PRD-00399,1,10.1,10.1,True,Resellable,False
RLI-0000086,REF-000059,PRD-00454,1,33.48,33.48,True,Resellable,False
RLI-0000087,REF-000060,PRD-00191,1,50.48,50.48,True,Resellable,False
RLI-0000088,REF-000061,PRD-00173,2,56.42,73.35,True,Resellable,False
RLI-0000089,REF-000061,PRD-00651,1,28.93,24.59,True,Resellable,False
RLI-0000090,REF-000062,PRD-00451,1,13.36,12.02,True,Resellable,False
RLI-0000091,REF-000062,PRD-00075,1,24.24,24.24,True,Resellable,False
RLI-0000092,REF-000063,PRD-00693,1,29.63,29.63,True,Resellable,False
RLI-0000093,REF-000064,PRD-00290,1,18.11,18.11,True,Resellable,False
RLI-0000094,REF-000064,PRD-00153,1,2.11,2.11,True,Resellable,False
RLI-0000095,REF-000065,PRD-00613,1,40.73,40.73,True,Resellable,False
RLI-0000096,REF-000065,PRD-00104,1,2.15,2.15,True,Resellable,False
RLI-0000097,REF-000066,PRD-00095,1,78.1,78.1,True,Resellable,False
RLI-0000098,REF-000066,PRD-00069,1,66.76,66.76,True,Resellable,False
RLI-0000099,REF-000067,PRD-00381,1,2.8,2.8,True,Resellable,False
RLI-0000100,REF-000068,PRD-00358,1,58.49,58.49,True,Resellable,False
RLI-0000101,REF-000069,PRD-00252,1,42.88,40.74,True,Resellable,False
RLI-0000102,REF-000069,PRD-00380,1,22.75,18.2,True,Resellable,False
RLI-0000103,REF-000070,PRD-00670,1,42.07,42.07,True,Resellable,False
RLI-0000104,REF-000071,PRD-00269,1,47.49,47.49,True,Resellable,False
RLI-0000105,REF-000072,PRD-00180,1,56.67,56.67,True,Resellable,False
RLI-0000106,REF-000072,PRD-00642,1,75.76,75.76,True,Resellable,False
RLI-0000107,REF-000073,PRD-00230,1,34.35,34.35,True,Resellable,False
RLI-0000108,REF-000073,PRD-00346,1,51.72,51.72,True,Resellable,False
RLI-0000109,REF-000074,PRD-00348,1,36.36,30.91,True,Resellable,False
RLI-0000110,REF-000074,PRD-00408,1,10.44,10.44,True,Resellable,False
RLI-0000111,REF-000075,PRD-00749,1,19.74,18.75,True,Resellable,False
RLI-0000112,REF-000076,PRD-00095,1,78.1,74.2,True,Resellable,False
RLI-0000113,REF-000076,PRD-00307,2,38.99,77.98,True,Resellable,False
RLI-0000114,REF-000077,PRD-00747,1,26.73,26.73,True,Resellable,False
RLI-0000115,REF-000077,PRD-00091,1,50.76,50.76,True,Resellable,False
RLI-0000116,REF-000078,PRD-00453,1,72.19,72.19,True,Resellable,False
RLI-0000117,REF-000079,PRD-00545,1,35.11,35.11,True,Resellable,False
RLI-0000118,REF-000079,PRD-00105,1,6.63,5.97,True,Resellable,False
RLI-0000119,REF-000080,PRD-00192,1,66.69,66.69,True,Resellable,False
RLI-0000120,REF-000081,PRD-00144,1,5.12,4.1,True,Resellable,False
RLI-0000121,REF-000082,PRD-00111,4,23.69,94.76,True,Resellable,False
RLI-0000122,REF-000082,PRD-00424,1,2.38,2.02,True,Resellable,False
RLI-0000123,REF-000083,PRD-00752,1,37.68,32.03,True,Resellable,False
RLI-0000124,REF-000083,PRD-00332,1,67.8,67.8,True,Resellable,False
RLI-0000125,REF-000084,PRD-00450,1,37.85,37.85,True,Resellable,False
RLI-0000126,REF-000085,PRD-00348,1,36.36,36.36,True,Resellable,False
RLI-0000127,REF-000086,PRD-00032,3,33.49,100.47,True,Resellable,False
RLI-0000128,REF-000086,PRD-00066,1,9.24,9.24,True,Resellable,False
RLI-0000129,REF-000087,PRD-00069,1,66.76,66.76,True,Resellable,False
RLI-0000130,REF-000088,PRD-00646,1,41.22,39.16,True,Resellable,False
RLI-0000131,REF-000089,PRD-00489,1,39.69,37.71,True,Resellable,False
RLI-0000132,REF-000090,PRD-00021,1,25.67,25.67,True,Resellable,False
RLI-0000133,REF-000091,PRD-00762,1,2.95,2.95,True,Resellable,False
RLI-0000134,REF-000092,PRD-00437,1,33.77,33.77,True,Resellable,False
RLI-0000135,REF-000093,PRD-00171,1,22.96,22.96,True,Resellable,False
RLI-0000136,REF-000094,PRD-00005,1,2.92,2.92,True,Resellable,False
RLI-0000137,REF-000095,PRD-00402,1,11.4,11.4,True,Resellable,False
RLI-0000138,REF-000096,PRD-00798,1,3.01,3.01,True,Resellable,False
RLI-0000139,REF-000096,PRD-00743,1,5.79,5.79,True,Resellable,False
RLI-0000140,REF-000097,PRD-00754,1,4.47,4.47,True,Resellable,False
RLI-0000141,REF-000097,PRD-00295,1,47.05,47.05,True,Resellable,False
RLI-0000142,REF-000098,PRD-00776,1,70.66,70.66,True,Resellable,False
RLI-0000143,REF-000099,PRD-00663,1,27.78,27.78,True,Resellable,False
RLI-0000144,REF-000100,PRD-00545,1,35.11,35.11,True,Resellable,False
RLI-0000145,REF-000101,PRD-00165,1,35.39,35.39,True,Resellable,False
RLI-0000146,REF-000102,PRD-00005,1,2.92,2.92,True,Resellable,False
RLI-0000147,REF-000103,PRD-00721,3,34.4,103.2,True,Resellable,False
RLI-0000148,REF-000104,PRD-00717,1,13.91,13.91,True,Resellable,False
RLI-0000149,REF-000105,PRD-00339,1,20.84,20.84,True,Resellable,False
RLI-0000150,REF-000105,PRD-00480,1,34.43,34.43,True,Resellable,False
RLI-0000151,REF-000106,PRD-00307,1,38.99,38.99,True,Resellable,False
RLI-0000152,REF-000107,PRD-00064,1,26.79,26.79,True,Resellable,False
RLI-0000153,REF-000107,PRD-00198,1,48.33,41.08,True,Resellable,False
RLI-0000154,REF-000108,PRD-00515,1,6.11,4.89,True,Resellable,False
RLI-0000155,REF-000109,PRD-00063,1,5.49,5.49,True,Resellable,False
RLI-0000156,REF-000109,PRD-00696,1,23.84,23.84,True,Resellable,False
RLI-0000157,REF-000110,PRD-00351,1,15.36,13.82,True,Resellable,False
RLI-0000158,REF-000111,PRD-00342,1,38.11,38.11,True,Resellable,False
RLI-0000159,REF-000111,PRD-00669,1,21.75,21.75,True,Resellable,False
RLI-0000160,REF-000112,PRD-00135,1,2.01,1.61,True,Resellable,False
RLI-0000161,REF-000113,PRD-00397,3,6.51,19.53,True,Resellable,False
RLI-0000162,REF-000113,PRD-00372,1,11.77,11.77,True,Resellable,False
RLI-0000163,REF-000114,PRD-00577,1,7.89,7.89,True,Resellable,False
RLI-0000164,REF-000114,PRD-00154,1,7.19,7.19,True,Resellable,False
RLI-0000165,REF-000115,PRD-00533,1,62.85,59.71,True,Resellable,False
RLI-0000166,REF-000115,PRD-00075,1,24.24,23.03,True,Resellable,False
RLI-0000167,REF-000116,PRD-00377,4,64.29,257.16,True,Resellable,False
RLI-0000168,REF-000116,PRD-00585,1,48.0,48.0,True,Resellable,False
RLI-0000169,REF-000117,PRD-00609,4,68.47,273.88,True,Resellable,False
RLI-0000170,REF-000117,PRD-00236,1,9.63,4.81,True,Resellable,False
RLI-0000171,REF-000118,PRD-00513,1,26.35,26.35,True,Resellable,False
RLI-0000172,REF-000119,PRD-00433,1,48.81,48.81,True,Resellable,False
RLI-0000173,REF-000119,PRD-00267,1,54.21,54.21,True,Resellable,False
RLI-0000174,REF-000120,PRD-00124,1,37.8,34.02,True,Resellable,False
RLI-0000175,REF-000120,PRD-00024,1,34.19,34.19,True,Resellable,False
RLI-0000176,REF-000121,PRD-00673,1,43.8,43.8,True,Resellable,False
RLI-0000177,REF-000121,PRD-00180,1,56.67,56.67,True,Resellable,False
RLI-0000178,REF-000122,PRD-00470,2,4.33,8.66,True,Resellable,False
RLI-0000179,REF-000122,PRD-00437,1,33.77,33.77,True,Resellable,False
RLI-0000180,REF-000123,PRD-00184,1,14.64,14.64,True,Resellable,False
RLI-0000181,REF-000123,PRD-00512,1,42.92,42.92,True,Resellable,False
RLI-0000182,REF-000124,PRD-00462,1,3.65,3.29,True,Resellable,False
RLI-0000183,REF-000125,PRD-00345,1,3.78,3.78,True,Resellable,False
RLI-0000184,REF-000126,PRD-00207,2,8.5,17.0,True,Resellable,False
RLI-0000185,REF-000126,PRD-00463,3,46.82,140.46,True,Resellable,False
RLI-0000186,REF-000127,PRD-00800,4,59.64,238.56,True,Resellable,False
RLI-0000187,REF-000128,PRD-00134,4,1.55,6.2,True,Resellable,False
RLI-0000188,REF-000128,PRD-00522,1,23.47,23.47,True,Resellable,False
RLI-0000189,REF-000129,PRD-00175,1,57.63,57.63,True,Resellable,False
RLI-0000190,REF-000130,PRD-00468,1,3.33,3.33,True,Resellable,False
RLI-0000191,REF-000130,PRD-00003,1,35.54,35.54,True,Resellable,False
RLI-0000192,REF-000131,PRD-00573,1,9.34,9.34,True,Resellable,False
RLI-0000193,REF-000132,PRD-00097,1,53.25,53.25,True,Resellable,False
RLI-0000194,REF-000133,PRD-00492,1,24.43,24.43,True,Resellable,False
RLI-0000195,REF-000133,PRD-00440,1,15.42,15.42,True,Resellable,False
RLI-0000196,REF-000134,PRD-00767,1,46.87,46.87,True,Resellable,False
RLI-0000197,REF-000134,PRD-00117,1,57.01,57.01,True,Resellable,False
RLI-0000198,REF-000135,PRD-00499,1,43.81,43.81,True,Resellable,False
RLI-0000199,REF-000135,PRD-00318,1,52.27,41.82,True,Resellable,False
RLI-0000200,REF-000136,PRD-00542,1,30.62,30.62,True,Resellable,False
RLI-0000201,REF-000136,PRD-00724,1,38.19,34.37,True,Resellable,False
RLI-0000202,REF-000137,PRD-00728,1,44.17,44.17,True,Resellable,False
RLI-0000203,REF-000138,PRD-00465,1,14.82,14.82,True,Resellable,False
RLI-0000204,REF-000138,PRD-00404,1,23.57,23.57,True,Resellable,False
RLI-0000205,REF-000139,PRD-00068,3,43.22,129.66,True,Resellable,False
RLI-0000206,REF-000140,PRD-00128,1,20.28,20.28,True,Resellable,False
RLI-0000207,REF-000141,PRD-00430,1,51.17,51.17,True,Resellable,False
RLI-0000208,REF-000141,PRD-00490,1,36.63,29.3,True,Resellable,False
RLI-0000209,REF-000142,PRD-00579,1,47.02,47.02,True,Resellable,False
RLI-0000210,REF-000143,PRD-00372,1,11.77,11.77,True,Resellable,False
RLI-0000211,REF-000143,PRD-00640,1,19.62,18.64,True,Resellable,False
RLI-0000212,REF-000144,PRD-00247,1,3.75,3.75,True,Resellable,False
RLI-0000213,REF-000145,PRD-00243,1,56.04,56.04,True,Resellable,False
RLI-0000214,REF-000145,PRD-00065,2,8.33,16.66,True,Resellable,False
RLI-0000215,REF-000146,PRD-00650,1,11.68,11.68,True,Resellable,False
RLI-0000216,REF-000147,PRD-00557,1,6.71,6.71,True,Resellable,False
RLI-0000217,REF-000147,PRD-00487,1,44.6,44.6,True,Resellable,False
RLI-0000218,REF-000148,PRD-00702,1,29.8,29.8,True,Resellable,False
RLI-0000219,REF-000148,PRD-00578,1,19.29,18.33,True,Resellable,False
RLI-0000220,REF-000149,PRD-00216,1,10.98,9.88,True,Resellable,False
RLI-0000221,REF-000149,PRD-00218,4,42.58,170.32,True,Resellable,False
RLI-0000222,REF-000150,PRD-00441,1,54.7,54.7,True,Resellable,False
RLI-0000223,REF-000151,PRD-00459,1,44.54,44.54,True,Resellable,False
RLI-0000224,REF-000151,PRD-00023,1,5.93,5.93,True,Resellable,False
RLI-0000225,REF-000152,PRD-00586,1,54.21,54.21,True,Resellable,False
RLI-0000226,REF-000153,PRD-00750,1,8.07,8.07,True,Resellable,False
RLI-0000227,REF-000153,PRD-00038,4,56.71,226.84,True,Resellable,False
RLI-0000228,REF-000154,PRD-00701,1,7.14,7.14,True,Resellable,False
RLI-0000229,REF-000154,PRD-00262,1,43.62,43.62,True,Resellable,False
RLI-0000230,REF-000155,PRD-00510,1,56.16,56.16,True,Resellable,False
RLI-0000231,REF-000155,PRD-00355,1,26.09,26.09,True,Resellable,False
RLI-0000232,REF-000156,PRD-00239,1,29.78,29.78,True,Resellable,False
RLI-0000233,REF-000157,PRD-00314,1,12.91,12.91,True,Resellable,False
RLI-0000234,REF-000157,PRD-00789,1,20.45,20.45,True,Resellable,False
RLI-0000235,REF-000158,PRD-00603,1,50.45,50.45,True,Resellable,False
RLI-0000236,REF-000159,PRD-00048,1,20.77,20.77,True,Resellable,False
RLI-0000237,REF-000160,PRD-00771,1,23.95,23.95,True,Resellable,False
RLI-0000238,REF-000161,PRD-00446,1,35.47,35.47,True,Resellable,False
RLI-0000239,REF-000162,PRD-00679,2,46.75,74.8,True,Resellable,False
RLI-0000240,REF-000163,PRD-00529,1,19.53,19.53,True,Resellable,False
RLI-0000241,REF-000164,PRD-00549,1,15.74,15.74,True,Resellable,False
RLI-0000242,REF-000165,PRD-00741,3,9.41,28.23,True,Resellable,False
RLI-0000243,REF-000166,PRD-00475,1,28.69,25.82,True,Resellable,False
RLI-0000244,REF-000166,PRD-00552,1,25.96,25.96,True,Resellable,False
RLI-0000245,REF-000167,PRD-00323,1,56.36,53.54,True,Resellable,False
RLI-0000246,REF-000168,PRD-00052,4,38.28,153.12,True,Resellable,False
RLI-0000247,REF-000168,PRD-00422,1,28.56,27.13,True,Resellable,False
RLI-0000248,REF-000169,PRD-00557,1,6.71,6.71,True,Resellable,False
RLI-0000249,REF-000170,PRD-00262,1,43.62,43.62,True,Resellable,False
RLI-0000250,REF-000170,PRD-00646,1,41.22,41.22,True,Resellable,False
RLI-0000251,REF-000171,PRD-00113,1,42.49,31.87,True,Resellable,False
RLI-0000252,REF-000171,PRD-00643,4,31.96,127.84,True,Resellable,False
RLI-0000253,REF-000172,PRD-00262,1,43.62,43.62,True,Resellable,False
RLI-0000254,REF-000172,PRD-00469,1,16.18,16.18,True,Resellable,False
RLI-0000255,REF-000173,PRD-00297,1,6.1,6.1,True,Resellable,False
RLI-0000256,REF-000174,PRD-00200,1,64.75,64.75,True,Resellable,False
RLI-0000257,REF-000174,PRD-00095,1,78.1,78.1,True,Resellable,False
RLI-0000258,REF-000175,PRD-00707,1,58.68,49.88,True,Resellable,False
RLI-0000259,REF-000176,PRD-00210,1,61.56,61.56,True,Resellable,False
RLI-0000260,REF-000177,PRD-00126,1,22.49,22.49,True,Resellable,False
RLI-0000261,REF-000177,PRD-00619,1,23.65,23.65,True,Resellable,False
RLI-0000262,REF-000178,PRD-00712,4,38.55,154.2,True,Resellable,False
RLI-0000263,REF-000179,PRD-00232,1,4.05,4.05,True,Resellable,False
RLI-0000264,REF-000180,PRD-00402,1,11.4,11.4,True,Resellable,False
RLI-0000265,REF-000180,PRD-00239,1,29.78,25.31,True,Resellable,False
RLI-0000266,REF-000181,PRD-00097,1,53.25,53.25,True,Resellable,False
RLI-0000267,REF-000182,PRD-00668,1,31.33,29.76,True,Resellable,False
RLI-0000268,REF-000182,PRD-00286,1,25.7,24.41,True,Resellable,False
RLI-0000269,REF-000183,PRD-00759,1,44.06,44.06,True,Resellable,False
RLI-0000270,REF-000183,PRD-00523,1,25.64,25.64,True,Resellable,False
RLI-0000271,REF-000184,PRD-00087,1,9.28,9.28,True,Resellable,False
RLI-0000272,REF-000185,PRD-00637,1,5.69,4.84,True,Resellable,False
RLI-0000273,REF-000185,PRD-00780,1,48.48,48.48,True,Resellable,False
RLI-0000274,REF-000186,PRD-00728,1,44.17,44.17,True,Resellable,False
RLI-0000275,REF-000186,PRD-00199,2,14.83,26.69,True,Resellable,False
RLI-0000276,REF-000187,PRD-00298,3,48.94,146.82,True,Resellable,False
RLI-0000277,REF-000188,PRD-00046,2,2.52,5.04,True,Resellable,False
RLI-0000278,REF-000189,PRD-00671,2,10.29,20.58,True,Resellable,False
RLI-0000279,REF-000190,PRD-00788,1,25.31,24.04,True,Resellable,False
RLI-0000280,REF-000191,PRD-00443,4,51.39,205.56,True,Resellable,False
RLI-0000281,REF-000192,PRD-00201,1,27.51,23.38,True,Resellable,False
RLI-0000282,REF-000193,PRD-00297,3,6.1,18.3,True,Resellable,False
RLI-0000283,REF-000193,PRD-00258,1,35.44,35.44,True,Resellable,False
RLI-0000284,REF-000194,PRD-00340,1,11.31,10.18,True,Resellable,False
RLI-0000285,REF-000195,PRD-00281,1,1.43,1.43,True,Resellable,False
RLI-0000286,REF-000196,PRD-00128,1,20.28,18.25,True,Resellable,False
RLI-0000287,REF-000196,PRD-00260,1,35.1,35.1,True,Resellable,False
RLI-0000288,REF-000197,PRD-00175,1,57.63,57.63,True,Resellable,False
RLI-0000289,REF-000198,PRD-00704,1,16.64,16.64,True,Resellable,False
RLI-0000290,REF-000199,PRD-00136,2,60.52,121.04,True,Resellable,False
RLI-0000291,REF-000199,PRD-00048,1,20.77,20.77,True,Resellable,False
RLI-0000292,REF-000200,PRD-00673,1,43.8,43.8,True,Resellable,False
RLI-0000293,REF-000201,PRD-00265,1,28.83,24.51,True,Resellable,False
RLI-0000294,REF-000202,PRD-00503,4,1.66,5.31,True,Resellable,False
RLI-0000295,REF-000202,PRD-00049,1,40.42,40.42,True,Resellable,False
RLI-0000296,REF-000203,PRD-00782,1,21.75,21.75,True,Resellable,False
RLI-0000297,REF-000203,PRD-00201,1,27.51,27.51,True,Resellable,False
RLI-0000298,REF-000204,PRD-00604,1,60.94,60.94,True,Resellable,False
RLI-0000299,REF-000204,PRD-00754,1,4.47,4.47,True,Resellable,False
RLI-0000300,REF-000205,PRD-00529,1,19.53,19.53,True,Resellable,False
RLI-0000301,REF-000205,PRD-00519,1,9.97,9.97,True,Resellable,False
RLI-0000302,REF-000206,PRD-00352,1,42.71,42.71,True,Resellable,False
RLI-0000303,REF-000207,PRD-00484,1,46.39,37.11,True,Resellable,False
RLI-0000304,REF-000208,PRD-00069,3,66.76,200.28,True,Resellable,False
RLI-0000305,REF-000209,PRD-00616,1,48.74,48.74,True,Resellable,False
RLI-0000306,REF-000209,PRD-00760,1,1.4,1.4,True,Resellable,False
RLI-0000307,REF-000210,PRD-00695,1,3.98,3.18,True,Resellable,False
RLI-0000308,REF-000211,PRD-00716,1,35.19,29.91,True,Resellable,False
RLI-0000309,REF-000211,PRD-00666,1,36.74,36.74,True,Resellable,False
RLI-0000310,REF-000212,PRD-00166,1,41.56,41.56,True,Resellable,False
RLI-0000311,REF-000213,PRD-00489,1,39.69,39.69,True,Resellable,False
RLI-0000312,REF-000213,PRD-00694,1,25.05,21.29,True,Resellable,False
RLI-0000313,REF-000214,PRD-00795,1,36.92,36.92,True,Resellable,False
RLI-0000314,REF-000215,PRD-00329,4,18.11,72.44,True,Resellable,False
RLI-0000315,REF-000216,PRD-00337,1,17.2,17.2,True,Resellable,False
RLI-0000316,REF-000217,PRD-00417,1,12.05,9.64,True,Resellable,False
RLI-0000317,REF-000218,PRD-00074,1,19.8,19.8,True,Resellable,False
RLI-0000318,REF-000219,PRD-00616,4,48.74,194.96,True,Resellable,False
RLI-0000319,REF-000219,PRD-00636,1,4.11,4.11,True,Resellable,False
RLI-0000320,REF-000220,PRD-00246,1,12.35,11.11,True,Resellable,False
RLI-0000321,REF-000221,PRD-00707,4,58.68,234.72,True,Resellable,False
RLI-0000322,REF-000222,PRD-00213,1,25.92,25.92,True,Resellable,False
RLI-0000323,REF-000222,PRD-00070,1,25.86,25.86,True,Resellable,False
RLI-0000324,REF-000223,PRD-00156,1,40.93,40.93,True,Resellable,False
RLI-0000325,REF-000224,PRD-00617,1,1.86,1.86,True,Resellable,False
RLI-0000326,REF-000224,PRD-00221,1,31.12,31.12,True,Resellable,False
RLI-0000327,REF-000225,PRD-00412,1,17.61,17.61,True,Resellable,False
RLI-0000328,REF-000225,PRD-00294,1,42.79,40.65,True,Resellable,False
RLI-0000329,REF-000226,PRD-00135,2,2.01,4.02,True,Resellable,False
RLI-0000330,REF-000227,PRD-00410,1,14.49,14.49,True,Resellable,False
RLI-0000331,REF-000228,PRD-00660,1,23.43,21.09,True,Resellable,False
RLI-0000332,REF-000228,PRD-00015,1,12.99,12.99,True,Resellable,False
RLI-0000333,REF-000229,PRD-00106,1,37.72,37.72,True,Resellable,False
RLI-0000334,REF-000229,PRD-00680,1,28.92,28.92,True,Resellable,False
RLI-0000335,REF-000230,PRD-00762,1,2.95,2.36,True,Resellable,False
RLI-0000336,REF-000231,PRD-00121,2,20.59,41.18,True,Resellable,False
RLI-0000337,REF-000231,PRD-00522,1,23.47,18.78,True,Resellable,False
RLI-0000338,REF-000232,PRD-00145,1,5.51,5.51,True,Resellable,False
