drawer_session_id,store_id,register_id,employee_id,opened_at,closed_at,opening_cash,expected_cash,counted_cash,cash_variance,no_sale_open_count,cash_refund_total,cash_sales_total,approving_manager_id,flagged,flag_reason
DRW-0000058,PH-002,REG-06,EMP-0025,2026-06-23 08:00:00,2026-06-23 16:40:00,200.0,707.62,712.47,4.85,2,138.75,923.08,EMP-0024,False,
DRW-0000059,PH-005,REG-01,EMP-0105,2026-06-22 08:06:00,2026-06-22 16:04:00,200.0,1406.08,1409.82,3.74,1,58.76,688.61,EMP-0091,False,
DRW-0000060,PH-005,REG-03,EMP-0090,2026-06-09 12:00:00,2026-06-09 20:15:00,200.0,1585.97,1590.92,4.95,3,125.3,889.26,EMP-0100,False,
DRW-0000061,PH-001,REG-06,EMP-0012,2026-05-29 08:00:00,2026-05-29 16:18:00,200.0,1269.15,1266.89,-2.26,3,77.5,587.63,EMP-0002,False,
DRW-0000062,PH-002,REG-06,EMP-0025,2026-05-31 12:00:00,2026-05-31 19:48:00,200.0,1376.73,1375.33,-1.4,2,82.16,1263.03,EMP-0035,False,
DRW-0000063,PH-002,REG-02,EMP-0037,2026-07-19 08:00:00,2026-07-19 16:06:00,200.0,1851.58,1851.03,-0.55,4,14.47,798.98,EMP-0023,False,
DRW-0000064,PH-003,REG-04,EMP-0060,2026-06-23 08:00:00,2026-06-23 16:21:00,200.0,1806.72,1806.67,-0.05,4,146.78,1175.31,EMP-0045,False,
DRW-0000065,PH-002,REG-02,EMP-0034,2026-05-08 14:00:00,2026-05-08 22:29:00,200.0,997.44,1000.55,3.11,4,107.01,841.59,EMP-0034,False,
DRW-0000066,PH-001,REG-04,EMP-0017,2026-07-15 10:00:00,2026-07-15 18:31:00,200.0,1800.03,1796.42,-3.61,5,111.89,1619.08,EMP-0012,False,
DRW-0000067,PH-001,REG-01,EMP-0003,2026-05-09 08:00:00,2026-05-09 16:16:00,200.0,718.13,722.41,4.28,3,101.02,1227.47,EMP-0013,False,
DRW-0000068,PH-005,REG-05,EMP-0100,2026-06-14 14:00:00,2026-06-14 22:33:00,200.0,1786.06,1782.59,-3.47,4,122.98,1142.23,EMP-0090,False,
DRW-0000069,PH-004,REG-06,EMP-0078,2026-07-16 12:00:00,2026-07-16 20:28:00,200.0,1206.9,1211.07,4.17,5,0.63,1000.36,EMP-0079,False,
DRW-0000070,PH-005,REG-01,EMP-0089,2026-07-26 08:16:00,2026-07-26 16:14:00,200.0,800.98,801.66,0.68,2,89.7,947.66,EMP-0090,False,
DRW-0000071,PH-005,REG-01,EMP-0102,2026-06-12 10:00:00,2026-06-12 17:58:00,200.0,572.8,533.43,-39.37,5,18.17,1070.43,EMP-0091,True,Repeated shortage with elevated no-sale opens
DRW-0000072,PH-005,REG-06,EMP-0104,2026-05-02 14:00:00,2026-05-02 22:42:00,200.0,932.43,933.91,1.48,4,23.99,1784.1,EMP-0100,False,
DRW-0000073,PH-005,REG-03,EMP-0107,2026-05-19 08:00:00,2026-05-19 16:15:00,200.0,1895.26,1898.92,3.66,4,112.88,412.97,EMP-0089,False,
DRW-0000074,PH-005,REG-02,EMP-0100,2026-07-06 10:00:00,2026-07-06 18:32:00,200.0,668.46,670.85,2.39,0,13.36,657.06,EMP-0101,False,
DRW-0000075,PH-004,REG-01,EMP-0086,2026-07-20 14:00:00,2026-07-20 22:44:00,200.0,1254.23,1249.36,-4.87,3,62.37,1567.95,EMP-0067,False,
DRW-0000076,PH-002,REG-05,EMP-0039,2026-05-31 10:00:00,2026-05-31 18:07:00,200.0,1603.96,1604.95,0.99,4,28.89,1532.26,EMP-0023,False,
DRW-0000077,PH-003,REG-04,EMP-0063,2026-06-15 10:00:00,2026-06-15 17:49:00,200.0,1404.96,1403.49,-1.47,2,96.65,1583.71,EMP-0056,False,
DRW-0000078,PH-004,REG-06,EMP-0069,2026-05-17 10:00:00,2026-05-17 18:27:00,200.0,1001.84,998.58,-3.26,1,88.99,1247.62,EMP-0078,False,
DRW-0000079,PH-002,REG-04,EMP-0042,2026-06-03 12:00:00,2026-06-03 20:05:00,200.0,547.53,543.79,-3.74,3,28.95,1012.9,EMP-0024,False,
DRW-0000080,PH-003,REG-06,EMP-0059,2026-05-20 14:00:00,2026-05-20 21:54:00,200.0,1230.74,1226.85,-3.89,5,78.7,1114.24,EMP-0047,False,
DRW-0000081,PH-002,REG-02,EMP-0023,2026-06-24 08:00:00,2026-06-24 15:49:00,200.0,1469.41,1465.01,-4.4,2,113.24,833.71,EMP-0034,False,
DRW-0000082,PH-003,REG-03,EMP-0060,2026-06-01 08:00:00,2026-06-01 15:57:00,200.0,884.04,883.85,-0.19,3,139.13,1085.28,EMP-0047,False,
DRW-0000083,PH-001,REG-03,EMP-0013,2026-06-25 10:12:00,2026-06-25 18:43:00,200.0,1439.68,1439.44,-0.24,2,3.1,1286.15,EMP-0012,False,
DRW-0000084,PH-004,REG-05,EMP-0082,2026-05-22 08:00:00,2026-05-22 15:45:00,200.0,710.1,713.67,3.57,5,96.25,820.92,EMP-0078,False,
DRW-0000085,PH-001,REG-03,EMP-0002,2026-06-19 14:00:00,2026-06-19 22:10:00,200.0,862.71,858.45,-4.26,0,67.13,899.09,EMP-0003,False,
DRW-0000086,PH-002,REG-03,EMP-0025,2026-06-18 08:00:00,2026-06-18 16:36:00,200.0,505.18,502.6,-2.58,1,72.71,1327.53,EMP-0035,False,
DRW-0000087,PH-005,REG-01,EMP-0091,2026-06-26 12:00:00,2026-06-26 20:05:00,200.0,974.48,973.1,-1.38,3,131.09,999.67,EMP-0091,False,
DRW-0000088,PH-003,REG-05,EMP-0059,2026-06-11 08:00:00,2026-06-11 16:25:00,200.0,1725.21,1722.89,-2.32,5,101.07,375.97,EMP-0046,False,
DRW-0000089,PH-005,REG-01,EMP-0100,2026-05-30 14:00:00,2026-05-30 22:04:00,200.0,875.67,873.75,-1.92,5,76.94,1472.28,EMP-0090,False,
DRW-0000090,PH-001,REG-05,EMP-0003,2026-07-26 14:19:00,2026-07-26 22:27:00,200.0,983.48,987.68,4.2,5,64.31,704.91,EMP-0013,False,
DRW-0000091,PH-005,REG-02,EMP-0091,2026-06-17 14:00:00,2026-06-17 22:20:00,200.0,872.43,872.23,-0.2,2,81.95,864.73,EMP-0089,False,
DRW-0000092,PH-005,REG-06,EMP-0105,2026-05-05 08:00:00,2026-05-05 16:19:00,200.0,530.58,533.73,3.15,2,83.55,1609.9,EMP-0091,False,
DRW-0000093,PH-002,REG-06,EMP-0023,2026-06-09 08:00:00,2026-06-09 16:34:00,200.0,634.23,635.48,1.25,1,28.68,1104.32,EMP-0023,False,
DRW-0000094,PH-001,REG-06,EMP-0014,2026-06-15 10:00:00,2026-06-15 18:36:00,200.0,793.99,794.79,0.8,4,13.42,1627.68,EMP-0003,False,
DRW-0000095,PH-005,REG-05,EMP-0102,2026-06-01 08:00:00,2026-06-01 16:32:00,200.0,1253.48,1253.71,0.23,4,43.55,371.41,EMP-0100,False,
DRW-0000096,PH-005,REG-03,EMP-0101,2026-06-09 08:00:00,2026-06-09 16:43:00,200.0,1159.4,1155.25,-4.15,0,5.71,1370.08,EMP-0101,False,
DRW-0000097,PH-005,REG-04,EMP-0089,2026-07-28 12:00:00,2026-07-28 20:26:00,200.0,1264.29,1262.33,-1.96,0,123.19,322.21,EMP-0089,False,
DRW-0000098,PH-003,REG-01,EMP-0047,2026-05-02 10:00:00,2026-05-02 18:34:00,200.0,710.24,707.1,-3.14,0,23.41,1284.07,EMP-0057,False,
DRW-0000099,PH-002,REG-04,EMP-0036,2026-07-12 08:00:00,2026-07-12 16:30:00,200.0,915.47,915.74,0.27,4,79.73,1234.93,EMP-0024,False,
DRW-0000100,PH-001,REG-06,EMP-0014,2026-06-19 14:00:00,2026-06-19 21:56:00,200.0,545.23,548.04,2.81,1,108.86,980.78,EMP-0012,False,
DRW-0000101,PH-003,REG-05,EMP-0046,2026-07-04 12:00:00,2026-07-04 20:38:00,200.0,1871.14,1872.48,1.34,0,57.21,467.14,EMP-0045,False,
DRW-0000102,PH-004,REG-01,EMP-0068,2026-06-15 12:00:00,2026-06-15 20:24:00,200.0,762.73,765.01,2.28,5,3.37,322.57,EMP-0069,False,
DRW-0000103,PH-002,REG-05,EMP-0036,2026-05-29 08:01:00,2026-05-29 16:31:00,200.0,1653.54,1650.2,-3.34,2,129.36,645.57,EMP-0034,False,
DRW-0000104,PH-001,REG-03,EMP-0012,2026-05-27 10:00:00,2026-05-27 18:01:00,200.0,537.15,538.9,1.75,1,22.74,1070.83,EMP-0003,False,
DRW-0000105,PH-002,REG-05,EMP-0025,2026-05-16 14:00:00,2026-05-16 22:18:00,200.0,1988.83,1992.21,3.38,0,97.65,1496.89,EMP-0024,False,
DRW-0000106,PH-003,REG-04,EMP-0063,2026-06-18 14:00:00,2026-06-18 22:07:00,200.0,1950.93,1950.08,-0.85,1,8.99,888.55,EMP-0045,False,
DRW-0000107,PH-004,REG-05,EMP-0085,2026-07-30 10:00:00,2026-07-30 18:17:00,200.0,1142.03,1138.69,-3.34,2,61.45,1321.08,EMP-0069,False,
DRW-0000108,PH-002,REG-04,EMP-0034,2026-06-24 08:00:00,2026-06-24 16:00:00,200.0,549.22,548.05,-1.17,4,117.0,387.91,EMP-0023,False,
DRW-0000109,PH-002,REG-05,EMP-0039,2026-07-07 12:00:00,2026-07-07 20:00:00,200.0,512.81,515.94,3.13,1,148.67,823.3,EMP-0034,False,
DRW-0000110,PH-004,REG-03,EMP-0084,2026-05-23 10:20:00,2026-05-23 17:53:00,200.0,1020.83,1019.88,-0.95,3,123.76,706.92,EMP-0068,False,
DRW-0000111,PH-001,REG-06,EMP-0013,2026-05-17 08:00:00,2026-05-17 16:16:00,200.0,515.44,515.37,-0.07,4,96.78,1312.0,EMP-0003,False,
DRW-0000112,PH-005,REG-04,EMP-0107,2026-07-24 08:00:00,2026-07-24 16:22:00,200.0,871.35,869.52,-1.83,0,128.89,425.31,EMP-0089,False,
DRW-0000113,PH-001,REG-06,EMP-0016,2026-05-08 10:00:00,2026-05-08 18:06:00,200.0,646.52,650.47,3.95,1,80.18,1546.01,EMP-0003,False,
DRW-0000114,PH-004,REG-04,EMP-0085,2026-07-11 10:00:00,2026-07-11 18:44:00,200.0,940.06,940.53,0.47,5,0.09,751.02,EMP-0069,False,
DRW-0000115,PH-003,REG-06,EMP-0059,2026-05-01 08:00:00,2026-05-01 16:29:00,200.0,802.95,807.08,4.13,3,110.04,594.04,EMP-0057,False,
DRW-0000116,PH-002,REG-05,EMP-0042,2026-07-12 12:00:00,2026-07-12 19:46:00,200.0,1654.52,1652.01,-2.51,1,125.73,312.45,EMP-0025,False,
DRW-0000117,PH-003,REG-02,EMP-0063,2026-07-08 14:00:00,2026-07-08 22:05:00,200.0,984.83,988.03,3.2,1,15.08,963.59,EMP-0045,False,
DRW-0000118,PH-004,REG-06,EMP-0078,2026-06-04 10:08:00,2026-06-04 17:56:00,200.0,662.46,666.78,4.32,0,108.85,520.21,EMP-0079,False,
DRW-0000119,PH-003,REG-05,EMP-0064,2026-05-03 14:00:00,2026-05-03 21:58:00,200.0,624.34,628.52,4.18,2,114.96,1538.57,EMP-0057,False,
DRW-0000120,PH-002,REG-05,EMP-0040,2026-07-15 14:00:00,2026-07-15 22:20:00,200.0,1277.05,1272.18,-4.87,5,65.6,321.81,EMP-0034,False,
DRW-0000121,PH-001,REG-04,EMP-0020,2026-05-22 08:00:00,2026-05-22 16:44:00,200.0,668.66,666.78,-1.88,2,23.82,526.76,EMP-0002,False,
DRW-0000122,PH-005,REG-01,EMP-0091,2026-07-20 12:00:00,2026-07-20 19:46:00,200.0,1580.76,1576.32,-4.44,0,80.64,1539.72,EMP-0091,False,
DRW-0000123,PH-005,REG-04,EMP-0108,2026-05-29 14:07:00,2026-05-29 21:50:00,200.0,1210.63,1210.64,0.01,2,139.49,1346.86,EMP-0089,False,
DRW-0000124,PH-001,REG-06,EMP-0012,2026-07-19 08:00:00,2026-07-19 15:56:00,200.0,620.95,625.38,4.43,0,123.41,1019.77,EMP-0003,False,
DRW-0000125,PH-004,REG-03,EMP-0069,2026-06-21 10:10:00,2026-06-21 18:45:00,200.0,1711.26,1710.54,-0.72,0,17.33,893.41,EMP-0079,False,
DRW-0000126,PH-002,REG-02,EMP-0024,2026-05-29 12:00:00,2026-05-29 20:02:00,200.0,615.61,613.91,-1.7,0,82.37,616.97,EMP-0025,False,
DRW-0000127,PH-002,REG-01,EMP-0040,2026-05-30 12:00:00,2026-05-30 20:43:00,200.0,1899.26,1897.83,-1.43,0,34.31,1701.05,EMP-0034,False,
DRW-0000128,PH-005,REG-03,EMP-0107,2026-06-07 10:00:00,2026-06-07 18:20:00,200.0,521.84,517.43,-4.41,0,0.23,1747.32,EMP-0100,False,
DRW-0000129,PH-002,REG-01,EMP-0038,2026-06-18 08:00:00,2026-06-18 15:51:00,200.0,1991.77,1990.47,-1.3,4,92.65,1029.52,EMP-0025,False,
DRW-0000130,PH-002,REG-02,EMP-0039,2026-05-03 08:00:00,2026-05-03 15:57:00,200.0,1305.02,1308.56,3.54,5,58.32,1492.6,EMP-0034,False,
DRW-0000131,PH-003,REG-02,EMP-0057,2026-05-24 08:00:00,2026-05-24 15:57:00,200.0,521.8,517.42,-4.38,3,26.14,729.66,EMP-0047,False,
DRW-0000132,PH-001,REG-04,EMP-0017,2026-06-12 14:00:00,2026-06-12 22:18:00,200.0,535.19,537.05,1.86,0,73.19,1349.36,EMP-0002,False,
DRW-0000133,PH-002,REG-01,EMP-0039,2026-05-07 12:00:00,2026-05-07 20:09:00,200.0,537.41,539.51,2.1,0,52.02,1259.37,EMP-0024,False,
DRW-0000134,PH-005,REG-04,EMP-0107,2026-05-03 08:00:00,2026-05-03 16:06:00,200.0,1490.13,1491.14,1.01,5,68.85,1302.66,EMP-0100,False,
DRW-0000135,PH-001,REG-04,EMP-0015,2026-06-05 10:00:00,2026-06-05 18:13:00,200.0,1233.55,1235.15,1.6,1,93.02,1168.54,EMP-0013,False,
DRW-0000136,PH-001,REG-03,EMP-0019,2026-06-27 10:00:00,2026-06-27 18:08:00,200.0,1051.3,1049.64,-1.66,3,106.4,849.0,EMP-0013,False,
DRW-0000137,PH-005,REG-03,EMP-0090,2026-05-13 10:00:00,2026-05-13 18:44:00,200.0,699.95,700.46,0.51,0,43.32,1331.63,EMP-0090,False,
DRW-0000138,PH-004,REG-01,EMP-0068,2026-06-27 14:00:00,2026-06-27 22:25:00,200.0,1188.58,1191.03,2.45,2,137.1,1100.21,EMP-0068,False,
DRW-0000139,PH-001,REG-06,EMP-0003,2026-07-04 08:00:00,2026-07-04 16:35:00,200.0,1828.8,1824.74,-4.06,0,42.4,774.39,EMP-0002,False,
DRW-0000140,PH-004,REG-02,EMP-0067,2026-05-27 08:00:00,2026-05-27 16:25:00,200.0,892.98,897.7,4.72,4,136.87,1108.9,EMP-0067,False,
DRW-0000141,PH-001,REG-03,EMP-0012,2026-07-07 08:00:00,2026-07-07 16:21:00,200.0,563.1,565.22,2.12,3,128.37,1717.91,EMP-0003,False,
DRW-0000142,PH-005,REG-02,EMP-0091,2026-07-10 08:00:00,2026-07-10 15:58:00,200.0,651.31,654.6,3.29,0,47.18,583.01,EMP-0090,False,
DRW-0000143,PH-002,REG-03,EMP-0035,2026-05-01 14:00:00,2026-05-01 22:33:00,200.0,1222.67,1222.76,0.09,5,65.05,340.07,EMP-0025,False,
DRW-0000144,PH-004,REG-03,EMP-0078,2026-06-16 10:00:00,2026-06-16 18:36:00,200.0,732.97,731.08,-1.89,3,125.5,1630.41,EMP-0069,False,
DRW-0000145,PH-001,REG-01,EMP-0019,2026-06-01 14:00:00,2026-06-01 21:56:00,200.0,1858.53,1854.02,-4.51,1,48.02,345.09,EMP-0013,False,
DRW-0000146,PH-001,REG-04,EMP-0020,2026-06-02 08:00:00,2026-06-02 16:45:00,200.0,1237.09,1239.23,2.14,5,106.28,816.81,EMP-0012,False,
DRW-0000147,PH-001,REG-01,EMP-0006,2026-07-13 12:00:00,2026-07-13 20:03:00,200.0,947.4,943.8,-3.6,5,91.03,1255.47,EMP-0001,False,
DRW-0000148,PH-005,REG-06,EMP-0106,2026-07-31 08:15:00,2026-07-31 16:06:00,200.0,1026.29,1025.07,-1.22,2,105.86,837.76,EMP-0090,False,
DRW-0000149,PH-003,REG-03,EMP-0058,2026-07-11 14:00:00,2026-07-11 22:18:00,200.0,596.74,598.05,1.31,0,26.67,1223.78,EMP-0046,False,
DRW-0000150,PH-001,REG-01,EMP-0003,2026-06-07 10:00:00,2026-06-07 17:50:00,200.0,1790.82,1786.14,-4.68,4,119.01,865.16,EMP-0002,False,
DRW-0000151,PH-004,REG-05,EMP-0086,2026-05-25 12:00:00,2026-05-25 20:21:00,200.0,1274.36,1279.3,4.94,0,139.37,698.4,EMP-0079,False,
DRW-0000152,PH-005,REG-06,EMP-0101,2026-05-23 14:00:00,2026-05-23 21:46:00,200.0,1985.29,1986.46,1.17,4,23.44,1462.23,EMP-0101,False,
DRW-0000153,PH-002,REG-04,EMP-0042,2026-07-11 14:00:00,2026-07-11 22:10:00,200.0,680.55,681.64,1.09,3,112.82,939.41,EMP-0025,False,
DRW-0000154,PH-003,REG-05,EMP-0062,2026-05-10 10:00:00,2026-05-10 18:24:00,200.0,688.97,691.52,2.55,2,111.94,812.05,EMP-0047,False,
