adjustment_id,store_id,product_id,employee_id,approving_manager_id,adjustment_datetime,adjustment_type,quantity_before,adjustment_quantity,quantity_after,adjustment_value,reason,reference_document,flagged,flag_reason
ADJ-0000016,PH-001,PRD-00029,EMP-0017,EMP-0013,2026-07-05 17:00:00,Shrinkage,20,-2,18,-59.7,Shrinkage,,False,
ADJ-0000017,PH-001,PRD-00582,EMP-0014,EMP-0001,2026-07-06 17:00:00,Shrinkage,44,-2,42,-2.22,Shrinkage,,False,
ADJ-0000018,PH-001,PRD-00602,EMP-0016,EMP-0012,2026-07-17 19:00:00,Cycle Count,66,2,68,23.68,Cycle Count,,False,
ADJ-0000019,PH-001,PRD-00487,EMP-0005,EMP-0003,2026-07-24 15:00:00,Cycle Count,5,1,6,32.86,Cycle Count,,False,
ADJ-0000020,PH-001,PRD-00362,EMP-0004,EMP-0013,2026-07-13 18:00:00,Cycle Count,93,1,94,29.24,Cycle Count,,False,
ADJ-0000021,PH-001,PRD-00346,EMP-0022,EMP-0001,2026-07-30 10:00:00,Cycle Count,57,2,59,52.3,Cycle Count,,False,
ADJ-0000022,PH-001,PRD-00135,EMP-0004,EMP-0012,2026-07-13 11:00:00,Cycle Count,6,1,7,1.01,Cycle Count,,False,
ADJ-0000023,PH-001,PRD-00451,EMP-0001,EMP-0013,2026-07-15 08:00:00,Shrinkage,2,-1,1,-9.8,Shrinkage,,False,
ADJ-0000024,PH-001,PRD-00240,EMP-0018,EMP-0002,2026-07-10 20:00:00,Cycle Count,42,1,43,2.93,Cycle Count,,False,
ADJ-0000025,PH-001,PRD-00200,EMP-0006,EMP-0012,2026-07-19 13:00:00,Shrinkage,0,0,0,0.0,Shrinkage,,False,
ADJ-0000026,PH-001,PRD-00269,EMP-0008,EMP-0012,2026-07-29 10:00:00,Shrinkage,47,-2,45,-40.2,Shrinkage,,False,
ADJ-0000027,PH-001,PRD-00704,EMP-0022,EMP-0012,2026-07-06 20:00:00,Shrinkage,72,-2,70,-17.68,Shrinkage,,False,
ADJ-0000028,PH-001,PRD-00677,EMP-0005,EMP-0002,2026-07-06 14:00:00,Cycle Count,63,2,65,39.88,Cycle Count,,False,
ADJ-0000029,PH-001,PRD-00675,EMP-0016,EMP-0002,2026-07-26 14:00:00,Shrinkage,55,-1,54,-31.02,Shrinkage,,False,
ADJ-0000030,PH-001,PRD-00688,EMP-0004,EMP-0001,2026-07-13 17:00:00,Shrinkage,25,-2,23,-57.82,Shrinkage,,False,
ADJ-0000031,PH-001,PRD-00588,EMP-0003,EMP-0013,2026-07-18 17:00:00,Cycle Count,83,2,85,2.82,Cycle Count,,False,
ADJ-0000032,PH-001,PRD-00480,EMP-0018,EMP-0013,2026-07-16 14:00:00,Cycle Count,2,2,4,48.32,Cycle Count,,False,
ADJ-0000033,PH-001,PRD-00228,EMP-0016,EMP-0013,2026-07-09 20:00:00,Shrinkage,99,-2,97,-24.16,Shrinkage,,False,
ADJ-0000034,PH-001,PRD-00409,EMP-0022,EMP-0003,2026-07-23 20:00:00,Shrinkage,12,-2,10,-61.78,Shrinkage,,False,
ADJ-0000035,PH-001,PRD-00703,EMP-0017,EMP-0001,2026-07-07 10:00:00,Cycle Count,54,1,55,3.01,Cycle Count,,False,
ADJ-0000036,PH-001,PRD-00195,EMP-0008,EMP-0001,2026-07-07 18:00:00,Shrinkage,2,-1,1,-21.92,Shrinkage,,False,
ADJ-0000037,PH-001,PRD-00427,EMP-0021,EMP-0002,2026-07-11 15:00:00,Shrinkage,100,-3,97,-76.35,Shrinkage,,False,
ADJ-0000038,PH-001,PRD-00768,EMP-0022,EMP-0012,2026-07-08 10:00:00,Shrinkage,1,-1,0,-15.99,Shrinkage,,False,
ADJ-0000039,PH-001,PRD-00545,EMP-0010,EMP-0013,2026-07-04 18:00:00,Cycle Count,5,3,8,54.72,Cycle Count,,False,
ADJ-0000040,PH-001,PRD-00180,EMP-0005,EMP-0003,2026-07-10 10:00:00,Shrinkage,12,-1,11,-29.82,Shrinkage,,False,
ADJ-0000041,PH-001,PRD-00585,EMP-0002,EMP-0013,2026-07-13 12:00:00,Cycle Count,24,2,26,45.76,Cycle Count,,False,
ADJ-0000042,PH-001,PRD-00767,EMP-0020,EMP-0003,2026-07-27 21:00:00,Cycle Count,48,3,51,97.29,Cycle Count,,False,
ADJ-0000043,PH-001,PRD-00297,EMP-0020,EMP-0002,2026-07-19 17:00:00,Cycle Count,0,2,2,8.26,Cycle Count,,False,
ADJ-0000044,PH-001,PRD-00417,EMP-0007,EMP-0003,2026-07-30 09:00:00,Shrinkage,55,-1,54,-7.57,Shrinkage,,False,
ADJ-0000045,PH-001,PRD-00590,EMP-0006,EMP-0003,2026-07-10 21:00:00,Shrinkage,62,-3,59,-45.42,Shrinkage,,False,
ADJ-0000046,PH-001,PRD-00122,EMP-0006,EMP-0002,2026-07-29 09:00:00,Shrinkage,54,-2,52,-18.96,Shrinkage,,False,
ADJ-0000047,PH-001,PRD-00432,EMP-0017,EMP-0003,2026-07-14 14:00:00,Cycle Count,59,1,60,16.63,Cycle Count,,False,
ADJ-0000048,PH-001,PRD-00171,EMP-0014,EMP-0013,2026-07-21 11:00:00,Cycle Count,68,3,71,37.05,Cycle Count,,False,
ADJ-0000049,PH-001,PRD-00032,EMP-0011,EMP-0003,2026-07-13 21:00:00,Cycle Count,88,3,91,56.82,Cycle Count,,False,
ADJ-0000050,PH-001,PRD-00438,EMP-0013,EMP-0003,2026-07-30 18:00:00,Cycle Count,43,2,45,66.58,Cycle Count,,False,
ADJ-0000051,PH-001,PRD-00475,EMP-0012,EMP-0003,2026-07-08 16:00:00,Cycle Count,52,2,54,29.78,Cycle Count,,False,
ADJ-0000052,PH-001,PRD-00321,EMP-0020,EMP-0013,2026-07-26 19:00:00,Cycle Count,41,2,43,60.9,Cycle Count,,False,
ADJ-0000053,PH-001,PRD-00207,EMP-0017,EMP-0002,2026-07-14 17:00:00,Cycle Count,37,2,39,10.88,Cycle Count,,False,
ADJ-0000054,PH-001,PRD-00306,EMP-0009,EMP-0012,2026-07-08 15:00:00,Cycle Count,69,1,70,7.5,Cycle Count,,False,
ADJ-0000055,PH-001,PRD-00039,EMP-0020,EMP-0012,2026-07-01 11:00:00,Shrinkage,3,-3,0,-30.3,Shrinkage,,False,
ADJ-0000056,PH-001,PRD-00578,EMP-0014,EMP-0002,2026-07-23 14:00:00,Cycle Count,37,1,38,10.48,Cycle Count,,False,
ADJ-0000057,PH-001,PRD-00448,EMP-0001,EMP-0003,2026-07-11 18:00:00,Shrinkage,56,-2,54,-68.16,Shrinkage,,False,
ADJ-0000058,PH-001,PRD-00579,EMP-0015,EMP-0013,2026-07-21 19:00:00,Shrinkage,96,-3,93,-90.66,Shrinkage,,False,
ADJ-0000059,PH-001,PRD-00756,EMP-0011,EMP-0002,2026-07-23 15:00:00,Cycle Count,31,1,32,8.3,Cycle Count,,False,
ADJ-0000060,PH-001,PRD-00684,EMP-0018,EMP-0012,2026-07-12 09:00:00,Cycle Count,10,1,11,14.09,Cycle Count,,False,
ADJ-0000061,PH-001,PRD-00310,EMP-0020,EMP-0002,2026-07-27 13:00:00,Shrinkage,88,-2,86,-30.48,Shrinkage,,False,
ADJ-0000062,PH-001,PRD-00302,EMP-0012,EMP-0013,2026-07-27 11:00:00,Cycle Count,86,2,88,65.2,Cycle Count,,False,
ADJ-0000063,PH-001,PRD-00224,EMP-0001,EMP-0003,2026-07-16 20:00:00,Shrinkage,46,-3,43,-8.34,Shrinkage,,False,
ADJ-0000064,PH-001,PRD-00062,EMP-0014,EMP-0013,2026-07-23 18:00:00,Cycle Count,24,1,25,14.47,Cycle Count,,False,
ADJ-0000065,PH-001,PRD-00173,EMP-0012,EMP-0002,2026-07-14 17:00:00,Cycle Count,81,3,84,98.16,Cycle Count,,False,
ADJ-0000066,PH-001,PRD-00023,EMP-0015,EMP-0013,2026-07-01 21:00:00,Shrinkage,45,-3,42,-9.45,Shrinkage,,False,
ADJ-0000067,PH-001,PRD-00380,EMP-0015,EMP-0012,2026-07-06 19:00:00,Shrinkage,31,-3,28,-38.4,Shrinkage,,False,
ADJ-0000068,PH-001,PRD-00710,EMP-0017,EMP-0001,2026-07-19 11:00:00,Shrinkage,81,-1,80,-14.59,Shrinkage,,False,
ADJ-0000069,PH-001,PRD-00428,EMP-0003,EMP-0013,2026-07-09 12:00:00,Cycle Count,10,2,12,41.44,Cycle Count,,False,
ADJ-0000070,PH-001,PRD-00149,EMP-0005,EMP-0001,2026-07-20 17:00:00,Cycle Count,31,2,33,64.38,Cycle Count,,False,
ADJ-0000071,PH-001,PRD-00307,EMP-0009,EMP-0013,2026-07-13 11:00:00,Shrinkage,63,-2,61,-43.38,Shrinkage,,False,
ADJ-0000072,PH-001,PRD-00275,EMP-0005,EMP-0012,2026-07-11 20:00:00,Cycle Count,39,1,40,20.16,Cycle Count,,False,
ADJ-0000073,PH-001,PRD-00575,EMP-0015,EMP-0013,2026-07-26 14:00:00,Cycle Count,4,3,7,90.03,Cycle Count,,False,
ADJ-0000074,PH-001,PRD-00360,EMP-0010,EMP-0001,2026-07-03 17:00:00,Cycle Count,38,1,39,16.45,Cycle Count,,False,
ADJ-0000075,PH-001,PRD-00721,EMP-0017,EMP-0003,2026-07-09 15:00:00,Shrinkage,29,-1,28,-19.22,Shrinkage,,False,
ADJ-0000076,PH-001,PRD-00611,EMP-0011,EMP-0013,2026-07-19 21:00:00,Shrinkage,62,-2,60,-8.16,Shrinkage,,False,
ADJ-0000077,PH-001,PRD-00181,EMP-0018,EMP-0002,2026-07-06 14:00:00,Cycle Count,88,3,91,39.45,Cycle Count,,False,
ADJ-0000078,PH-001,PRD-00598,EMP-0010,EMP-0012,2026-07-16 11:00:00,Cycle Count,2,1,3,17.87,Cycle Count,,False,
ADJ-0000079,PH-001,PRD-00237,EMP-0008,EMP-0013,2026-07-11 20:00:00,Shrinkage,44,-2,42,-31.76,Shrinkage,,False,
ADJ-0000080,PH-001,PRD-00033,EMP-0019,EMP-0003,2026-07-24 11:00:00,Shrinkage,4,-1,3,-31.48,Shrinkage,,False,
ADJ-0000081,PH-001,PRD-00778,EMP-0019,EMP-0002,2026-07-06 13:00:00,Shrinkage,88,-2,86,-39.76,Shrinkage,,False,
ADJ-0000082,PH-001,PRD-00110,EMP-0009,EMP-0003,2026-07-08 14:00:00,Shrinkage,31,-3,28,-90.15,Shrinkage,,False,
ADJ-0000083,PH-001,PRD-00456,EMP-0014,EMP-0001,2026-07-29 19:00:00,Cycle Count,42,2,44,34.56,Cycle Count,,False,
ADJ-0000084,PH-001,PRD-00724,EMP-0001,EMP-0001,2026-07-16 16:00:00,Cycle Count,87,2,89,40.74,Cycle Count,,False,
ADJ-0000085,PH-001,PRD-00121,EMP-0015,EMP-0001,2026-07-27 10:00:00,Shrinkage,24,-2,22,-24.72,Shrinkage,,False,
ADJ-0000086,PH-001,PRD-00031,EMP-0013,EMP-0012,2026-07-05 21:00:00,Cycle Count,45,3,48,55.47,Cycle Count,,False,
ADJ-0000087,PH-001,PRD-00447,EMP-0013,EMP-0013,2026-07-03 16:00:00,Shrinkage,100,-1,99,-21.91,Shrinkage,,False,
ADJ-0000088,PH-001,PRD-00679,EMP-0004,EMP-0001,2026-07-17 11:00:00,Shrinkage,41,-2,39,-51.12,Shrinkage,,False,
ADJ-0000089,PH-001,PRD-00400,EMP-0016,EMP-0003,2026-07-31 20:00:00,Shrinkage,84,-2,82,-62.8,Shrinkage,,False,
ADJ-0000090,PH-001,PRD-00735,EMP-0012,EMP-0002,2026-07-21 17:00:00,Shrinkage,96,-1,95,-34.77,Shrinkage,,False,
ADJ-0000091,PH-001,PRD-00139,EMP-0004,EMP-0002,2026-07-29 09:00:00,Cycle Count,35,3,38,47.01,Cycle Count,,False,
ADJ-0000092,PH-001,PRD-00044,EMP-0013,EMP-0003,2026-07-11 17:00:00,Cycle Count,8,2,10,15.16,Cycle Count,,False,
ADJ-0000093,PH-001,PRD-00273,EMP-0004,EMP-0001,2026-07-15 12:00:00,Cycle Count,82,3,85,94.65,Cycle Count,,False,
ADJ-0000094,PH-001,PRD-00493,EMP-0004,EMP-0013,2026-07-09 19:00:00,Shrinkage,73,-3,70,-32.7,Shrinkage,,False,
ADJ-0000095,PH-001,PRD-00411,EMP-0005,EMP-0013,2026-07-18 09:00:00,Shrinkage,43,-3,40,-26.67,Shrinkage,,False,
ADJ-0000096,PH-001,PRD-00162,EMP-0003,EMP-0002,2026-07-08 13:00:00,Cycle Count,52,2,54,35.88,Cycle Count,,False,
ADJ-0000097,PH-001,PRD-00177,EMP-0007,EMP-0013,2026-07-04 20:00:00,Cycle Count,72,1,73,11.75,Cycle Count,,False,
ADJ-0000098,PH-001,PRD-00270,EMP-0017,EMP-0012,2026-07-06 09:00:00,Shrinkage,78,-1,77,-13.74,Shrinkage,,False,
ADJ-0000099,PH-001,PRD-00372,EMP-0022,EMP-0013,2026-07-12 17:00:00,Shrinkage,18,-3,15,-24.3,Shrinkage,,False,
ADJ-0000100,PH-001,PRD-00227,EMP-0004,EMP-0002,2026-07-27 08:00:00,Cycle Count,14,1,15,19.36,Cycle Count,,False,
ADJ-0000101,PH-001,PRD-00370,EMP-0008,EMP-0013,2026-07-20 20:00:00,Shrinkage,27,-3,24,-47.82,Shrinkage,,False,
ADJ-0000102,PH-001,PRD-00628,EMP-0006,EMP-0003,2026-07-16 16:00:00,Shrinkage,91,-2,89,-34.92,Shrinkage,,False,
ADJ-0000103,PH-001,PRD-00696,EMP-0009,EMP-0003,2026-07-14 18:00:00,Cycle Count,45,1,46,11.45,Cycle Count,,False,
ADJ-0000104,PH-001,PRD-00230,EMP-0020,EMP-0001,2026-07-15 10:00:00,Cycle Count,56,3,59,71.01,Cycle Count,,False,
ADJ-0000105,PH-001,PRD-00741,EMP-0020,EMP-0002,2026-07-28 14:00:00,Shrinkage,80,-1,79,-6.84,Shrinkage,,False,
ADJ-0000106,PH-001,PRD-00510,EMP-0016,EMP-0003,2026-07-04 11:00:00,Shrinkage,92,-2,90,-51.7,Shrinkage,,False,
ADJ-0000107,PH-001,PRD-00350,EMP-0016,EMP-0002,2026-07-08 13:00:00,Cycle Count,25,2,27,12.94,Cycle Count,,False,
ADJ-0000108,PH-001,PRD-00108,EMP-0020,EMP-0001,2026-07-10 12:00:00,Cycle Count,82,1,83,23.71,Cycle Count,,False,
ADJ-0000109,PH-001,PRD-00706,EMP-0010,EMP-0013,2026-07-27 20:00:00,Cycle Count,83,1,84,27.17,Cycle Count,,False,
ADJ-0000110,PH-001,PRD-00430,EMP-0002,EMP-0002,2026-07-26 15:00:00,Shrinkage,54,-2,52,-52.26,Shrinkage,,False,
ADJ-0000111,PH-001,PRD-00694,EMP-0013,EMP-0003,2026-07-16 10:00:00,Cycle Count,5,1,6,11.41,Cycle Count,,False,
ADJ-0000112,PH-001,PRD-00193,EMP-0019,EMP-0003,2026-07-16 15:00:00,Cycle Count,84,2,86,7.9,Cycle Count,,False,
ADJ-0000113,PH-001,PRD-00700,EMP-0008,EMP-0013,2026-07-02 15:00:00,Cycle Count,58,3,61,51.09,Cycle Count,,False,
ADJ-0000114,PH-001,PRD-00537,EMP-0021,EMP-0012,2026-07-21 13:00:00,Cycle Count,66,1,67,9.44,Cycle Count,,False,
ADJ-0000115,PH-001,PRD-00441,EMP-0011,EMP-0012,2026-07-17 09:00:00,Cycle Count,85,1,86,34.84,Cycle Count,,False,
ADJ-0000116,PH-001,PRD-00624,EMP-0015,EMP-0003,2026-07-03 14:00:00,Cycle Count,14,1,15,18.71,Cycle Count,,False,
ADJ-0000117,PH-001,PRD-00279,EMP-0021,EMP-0002,2026-07-20 12:00:00,Cycle Count,79,2,81,46.76,Cycle Count,,False,
ADJ-0000118,PH-001,PRD-00260,EMP-0015,EMP-0013,2026-07-09 17:00:00,Shrinkage,48,-1,47,-26.14,Shrinkage,,False,
ADJ-0000119,PH-001,PRD-00640,EMP-0020,EMP-0001,2026-07-02 13:00:00,Shrinkage,44,-1,43,-12.17,Shrinkage,,False,
ADJ-0000120,PH-001,PRD-00606,EMP-0019,EMP-0013,2026-07-15 17:00:00,Shrinkage,42,-2,40,-9.06,Shrinkage,,False,
ADJ-0000121,PH-001,PRD-00107,EMP-0001,EMP-0013,2026-07-02 20:00:00,Shrinkage,77,-3,74,-33.51,Shrinkage,,False,
ADJ-0000122,PH-001,PRD-00729,EMP-0002,EMP-0002,2026-07-07 17:00:00,Cycle Count,16,2,18,51.24,Cycle Count,,False,
ADJ-0000123,PH-001,PRD-00732,EMP-0002,EMP-0012,2026-07-22 17:00:00,Cycle Count,59,2,61,47.98,Cycle Count,,False,
ADJ-0000124,PH-001,PRD-00419,EMP-0015,EMP-0003,2026-07-28 16:00:00,Shrinkage,34,-3,31,-88.32,Shrinkage,,False,
ADJ-0000125,PH-001,PRD-00309,EMP-0008,EMP-0002,2026-07-05 12:00:00,Cycle Count,95,2,97,9.52,Cycle Count,,False,
ADJ-0000126,PH-001,PRD-00644,EMP-0017,EMP-0002,2026-07-26 17:00:00,Cycle Count,10,2,12,30.72,Cycle Count,,False,
ADJ-0000127,PH-001,PRD-00612,EMP-0018,EMP-0003,2026-07-05 11:00:00,Cycle Count,40,3,43,99.6,Cycle Count,,False,
ADJ-0000128,PH-001,PRD-00632,EMP-0009,EMP-0002,2026-07-19 08:00:00,Shrinkage,93,-3,90,-40.65,Shrinkage,,False,
ADJ-0000129,PH-001,PRD-00167,EMP-0014,EMP-0003,2026-07-19 09:00:00,Cycle Count,45,3,48,61.35,Cycle Count,,False,
ADJ-0000130,PH-001,PRD-00056,EMP-0003,EMP-0001,2026-07-24 13:00:00,Shrinkage,79,-2,77,-41.34,Shrinkage,,False,
ADJ-0000131,PH-001,PRD-00071,EMP-0006,EMP-0012,2026-07-08 09:00:00,Cycle Count,81,1,82,21.23,Cycle Count,,False,
ADJ-0000132,PH-001,PRD-00020,EMP-0013,EMP-0012,2026-07-27 20:00:00,Cycle Count,12,3,15,36.27,Cycle Count,,False,
ADJ-0000133,PH-001,PRD-00363,EMP-0012,EMP-0013,2026-07-12 21:00:00,Shrinkage,70,-3,67,-13.44,Shrinkage,,False,
ADJ-0000134,PH-001,PRD-00562,EMP-0008,EMP-0001,2026-07-28 20:00:00,Shrinkage,9,-2,7,-43.48,Shrinkage,,False,
ADJ-0000135,PH-001,PRD-00317,EMP-0014,EMP-0013,2026-07-22 20:00:00,Shrinkage,82,-2,80,-25.38,Shrinkage,,False,
ADJ-0000136,PH-001,PRD-00209,EMP-0002,EMP-0013,2026-07-10 12:00:00,Cycle Count,72,3,75,56.94,Cycle Count,,False,
ADJ-0000137,PH-001,PRD-00042,EMP-0008,EMP-0013,2026-07-17 08:00:00,Shrinkage,61,-1,60,-26.51,Shrinkage,,False,
ADJ-0000138,PH-001,PRD-00605,EMP-0018,EMP-0003,2026-07-16 15:00:00,Shrinkage,41,-2,39,-48.3,Shrinkage,,False,
ADJ-0000139,PH-001,PRD-00629,EMP-0011,EMP-0002,2026-07-10 09:00:00,Shrinkage,48,-1,47,-27.35,Shrinkage,,False,
ADJ-0000140,PH-001,PRD-00369,EMP-0020,EMP-0002,2026-07-21 14:00:00,Cycle Count,12,2,14,65.72,Cycle Count,,False,
ADJ-0000141,PH-001,PRD-00536,EMP-0017,EMP-0012,2026-07-18 11:00:00,Cycle Count,87,1,88,7.79,Cycle Count,,False,
ADJ-0000142,PH-001,PRD-00516,EMP-0003,EMP-0003,2026-07-14 15:00:00,Cycle Count,89,3,92,48.09,Cycle Count,,False,
ADJ-0000143,PH-001,PRD-00748,EMP-0001,EMP-0012,2026-07-24 09:00:00,Cycle Count,19,3,22,80.4,Cycle Count,,False,
ADJ-0000144,PH-001,PRD-00034,EMP-0012,EMP-0012,2026-07-14 20:00:00,Shrinkage,2,-2,0,-44.44,Shrinkage,,False,
ADJ-0000145,PH-001,PRD-00563,EMP-0014,EMP-0002,2026-07-27 17:00:00,Cycle Count,63,3,66,39.84,Cycle Count,,False,
ADJ-0000146,PH-001,PRD-00525,EMP-0017,EMP-0003,2026-07-26 18:00:00,Shrinkage,43,-1,42,-2.23,Shrinkage,,False,
ADJ-0000147,PH-001,PRD-00723,EMP-0008,EMP-0001,2026-07-13 18:00:00,Cycle Count,38,3,41,5.88,Cycle Count,,False,
ADJ-0000148,PH-001,PRD-00745,EMP-0022,EMP-0013,2026-07-10 21:00:00,Cycle Count,17,3,20,2.64,Cycle Count,,False,
ADJ-0000149,PH-001,PRD-00019,EMP-0016,EMP-0013,2026-07-27 20:00:00,Cycle Count,34,2,36,28.8,Cycle Count,,False,
ADJ-0000150,PH-001,PRD-00683,EMP-0011,EMP-0001,2026-07-15 15:00:00,Shrinkage,100,-2,98,-67.92,Shrinkage,,False,
ADJ-0000151,PH-001,PRD-00535,EMP-0013,EMP-0012,2026-07-11 09:00:00,Cycle Count,48,1,49,25.04,Cycle Count,,False,
ADJ-0000152,PH-001,PRD-00445,EMP-0005,EMP-0002,2026-07-13 10:00:00,Cycle Count,66,1,67,19.49,Cycle Count,,False,
ADJ-0000153,PH-001,PRD-00357,EMP-0005,EMP-0002,2026-07-19 19:00:00,Cycle Count,74,1,75,1.57,Cycle Count,,False,
ADJ-0000154,PH-001,PRD-00424,EMP-0016,EMP-0002,2026-07-02 19:00:00,Shrinkage,5,-3,2,-3.0,Shrinkage,,False,
ADJ-0000155,PH-001,PRD-00378,EMP-0007,EMP-0012,2026-07-24 21:00:00,Cycle Count,25,3,28,86.13,Cycle Count,,False,
ADJ-0000156,PH-001,PRD-00773,EMP-0011,EMP-0003,2026-07-03 17:00:00,Cycle Count,61,1,62,8.28,Cycle Count,,False,
ADJ-0000157,PH-001,PRD-00004,EMP-0012,EMP-0012,2026-07-10 13:00:00,Cycle Count,21,2,23,42.26,Cycle Count,,False,
ADJ-0000158,PH-001,PRD-00046,EMP-0009,EMP-0012,2026-07-15 20:00:00,Shrinkage,46,-3,43,-4.89,Shrinkage,,False,
ADJ-0000159,PH-001,PRD-00120,EMP-0011,EMP-0012,2026-07-12 18:00:00,Cycle Count,80,1,81,21.49,Cycle Count,,False,
ADJ-0000160,PH-001,PRD-00746,EMP-0018,EMP-0012,2026-07-24 08:00:00,Shrinkage,5,-1,4,-0.86,Shrinkage,,False,
ADJ-0000161,PH-001,PRD-00755,EMP-0004,EMP-0012,2026-07-10 08:00:00,Cycle Count,93,1,94,16.37,Cycle Count,,False,
ADJ-0000162,PH-001,PRD-00157,EMP-0020,EMP-0002,2026-07-02 10:00:00,Shrinkage,81,-3,78,-31.53,Shrinkage,,False,
ADJ-0000163,PH-001,PRD-00093,EMP-0004,EMP-0003,2026-07-20 19:00:00,Shrinkage,14,-1,13,-3.45,Shrinkage,,False,
ADJ-0000164,PH-001,PRD-00412,EMP-0018,EMP-0002,2026-07-12 11:00:00,Shrinkage,55,-1,54,-10.35,Shrinkage,,False,
ADJ-0000165,PH-001,PRD-00159,EMP-0003,EMP-0001,2026-07-30 17:00:00,Shrinkage,82,-3,79,-84.57,Shrinkage,,False,
ADJ-0000166,PH-001,PRD-00112,EMP-0014,EMP-0003,2026-07-11 11:00:00,Shrinkage,80,-3,77,-27.27,Shrinkage,,False,
ADJ-0000167,PH-001,PRD-00114,EMP-0003,EMP-0001,2026-07-21 12:00:00,Shrinkage,25,-3,22,-27.99,Shrinkage,,False,
ADJ-0000168,PH-001,PRD-00060,EMP-0012,EMP-0001,2026-07-31 16:00:00,Shrinkage,52,-2,50,-39.4,Shrinkage,,False,
ADJ-0000169,PH-001,PRD-00187,EMP-0006,EMP-0002,2026-07-09 15:00:00,Shrinkage,84,-1,83,-8.43,Shrinkage,,False,
ADJ-0000170,PH-001,PRD-00398,EMP-0021,EMP-0013,2026-07-24 13:00:00,Shrinkage,95,-3,92,-46.2,Shrinkage,,False,
ADJ-0000171,PH-001,PRD-00532,EMP-0002,EMP-0012,2026-07-25 13:00:00,Shrinkage,59,-1,58,-13.44,Shrinkage,,False,
ADJ-0000172,PH-001,PRD-00075,EMP-0005,EMP-0003,2026-07-04 08:00:00,Shrinkage,24,-2,22,-21.24,Shrinkage,,False,
ADJ-0000173,PH-001,PRD-00117,EMP-0001,EMP-0012,2026-07-02 20:00:00,Shrinkage,79,-1,78,-25.66,Shrinkage,,False,
ADJ-0000174,PH-001,PRD-00278,EMP-0006,EMP-0012,2026-07-08 17:00:00,Cycle Count,1,1,2,27.59,Cycle Count,,False,
ADJ-0000175,PH-001,PRD-00403,EMP-0014,EMP-0001,2026-07-22 17:00:00,Shrinkage,21,-3,18,-59.13,Shrinkage,,False,
ADJ-0000176,PH-001,PRD-00304,EMP-0016,EMP-0003,2026-07-21 19:00:00,Cycle Count,89,2,91,62.0,Cycle Count,,False,
ADJ-0000177,PH-001,PRD-00727,EMP-0022,EMP-0012,2026-07-16 12:00:00,Cycle Count,56,1,57,9.7,Cycle Count,,False,
ADJ-0000178,PH-001,PRD-00479,EMP-0004,EMP-0003,2026-07-25 12:00:00,Shrinkage,53,-2,51,-37.3,Shrinkage,,False,
ADJ-0000179,PH-001,PRD-00511,EMP-0006,EMP-0012,2026-07-10 18:00:00,Shrinkage,20,-1,19,-6.77,Shrinkage,,False,
